Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-12-29,51.76,51.94,51.45,51.76,,34640.0,1792304.0,,,
2017-12-28,51.65,51.82,51.43,51.6,,40660.0,2099024.0,,,
2017-12-27,51.45,51.89,50.76,51.82,,57452.0,2957018.0,,,
2017-12-22,51.05,51.5,50.92,51.32,,71165.0,3641949.0,,,
2017-12-21,51.16,51.52,50.9,51.4,,120649.0,6179433.0,,,
2017-12-20,51.88,52.04,51.2,51.27,,50587.0,2610258.0,,,
2017-12-19,52.73,52.73,51.07,51.66,,137313.0,7102361.0,,,
2017-12-18,52.37,52.75,51.61,52.62,,129733.0,6770499.0,,,
2017-12-15,52.7,52.7,51.64,52.01,,204080.0,10596319.0,,,
2017-12-14,53.11,53.54,52.15,52.67,,132981.0,7016953.0,,,
2017-12-13,52.64,53.35,52.48,53.09,,128434.0,6801159.0,,,
2017-12-12,52.29,53.1,51.82,52.43,,87911.0,4615924.0,,,
2017-12-11,52.28,52.45,51.26,52.14,,71817.0,3724193.0,,,
2017-12-08,51.5,52.83,51.28,52.12,,109157.0,5690648.0,,,
2017-12-07,50.89,51.47,50.81,51.47,,48123.0,2463848.0,,,
2017-12-06,50.8,51.11,50.39,50.89,,88730.0,4504075.0,,,
2017-12-05,51.21,51.38,50.4,51.25,,83023.0,4231971.0,,,
2017-12-04,49.5,51.23,49.5,51.14,,94385.0,4800027.0,,,
2017-12-01,49.52,50.49,49.17,49.86,,101733.0,5065932.0,,,
2017-11-30,48.64,49.84,48.28,49.7,,123019.0,6085171.0,,,
2017-11-29,49.64,49.64,48.7,48.75,,67342.0,3292223.0,,,
2017-11-28,49.09,49.89,49.03,49.25,,42669.0,2107358.0,,,
2017-11-27,49.13,49.73,48.96,49.2,,102180.0,5055762.0,,,
2017-11-24,49.11,49.41,48.87,49.11,,50350.0,2472842.0,,,
2017-11-23,48.8,49.46,48.45,49.2,,38834.0,1909352.0,,,
2017-11-22,48.4,49.61,48.39,48.8,,91142.0,4478093.0,,,
2017-11-21,47.25,48.59,46.78,48.39,,78502.0,3782098.0,,,
2017-11-20,46.57,47.38,46.54,47.04,,97252.0,4563515.0,,,
2017-11-17,47.03,47.15,46.8,46.84,,54107.0,2540820.0,,,
2017-11-16,47.09,47.23,46.55,47.03,,89373.0,4195732.0,,,
2017-11-15,47.98,48.01,46.75,47.05,,67593.0,3188321.0,,,
2017-11-14,48.4,48.9,47.84,48.0,,67672.0,3259979.0,,,
2017-11-13,48.38,48.61,47.76,48.34,,76286.0,3681337.0,,,
2017-11-10,47.3,48.89,47.16,48.34,,90245.0,4361552.0,,,
