code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
LOCTHUAN,2002-01-01,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-01,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-01,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-01,,1.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-01,,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-01,,4.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-02,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-02,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-02,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-02,,1.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-02,,8.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-02,,4.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-03,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-03,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-03,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-03,,1.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-03,,7.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-03,,3.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-04,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-04,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-04,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-04,,1.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-04,,6.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-04,,2.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-05,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-05,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-05,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-05,,1.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-05,,5.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-05,,2.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-06,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-06,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-06,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-06,,1.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-06,,5.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-06,,3.1,10.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-07,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-02-07,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-03-07,,1.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-04-07,,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-05-07,,7.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-06-07,,4.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2002-01-08,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
