code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BINHDAI,2006-01-01,,2.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-01,,4.6,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-01,,8.6,23.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-01,,6.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-01,,4.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-01,,3.5,11.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-02,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-02,,4.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-02,,9.4,25.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-02,,5.8,16.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-02,,4.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-02,,3.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-03,,2.5,6.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-03,,2.8,16.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-03,,8.8,24.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-03,,5.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-03,,3.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-03,,3.1,10.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-04,,2.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-04,,2.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-04,,6.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-04,,3.6,13.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-04,,4.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-04,,2.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-05,,2.9,7.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-05,,3.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-05,,5.7,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-05,,3.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-05,,4.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-05,,2.9,9.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-06,,3.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-06,,1.9,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-06,,5.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-06,,3.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-06,,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-06,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-07,,2.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-07,,1.7,20.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-07,,5.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-07,,3.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-07,,3.9,13.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-07,,2.8,9.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-08,,2.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-08,,5.2,19.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-08,,5.0,19.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-08,,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-08,,4.3,14.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-08,,2.7,9.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-09,,2.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-09,,7.3,21.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-09,,3.2,20.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-09,,2.9,14.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-09,,6.9,14.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-09,,2.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-10,,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-10,,6.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-10,,3.3,19.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-10,,3.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-10,,9.9,16.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-10,,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-11,,3.2,8.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-11,,5.7,19.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-11,,3.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-11,,3.3,16.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-11,,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-11,,3.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-12,,3.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-12,,6.2,21.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-12,,3.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-12,,3.4,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-12,,7.3,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-12,,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-13,,3.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-13,,7.4,23.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-13,,7.4,15.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-13,,3.6,16.9,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-05-13,,6.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-06-13,,2.9,8.7,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-01-14,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-02-14,,6.6,22.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-03-14,,6.9,16.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2006-04-14,,4.0,17.1,,,,,,,,,,,,,,,,,,,,,,,,
