code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BENTRAI,2007-01-01,,2.2,8.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-01,,9.2,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-01,,4.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-01,,6.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-01,,8.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-01,,5.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-02,,2.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-02,,8.8,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-02,,5.5,17.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-02,,7.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-02,,8.1,21.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-02,,4.9,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-03,,2.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-03,,8.2,15.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-03,,7.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-03,,7.7,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-03,,8.0,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-03,,5.3,15.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-04,,2.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-04,,7.5,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-04,,6.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-04,,7.1,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-04,,8.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-04,,5.5,13.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-05,,2.3,9.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-05,,7.1,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-05,,6.1,15.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-05,,7.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-05,,7.5,18.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-05,,4.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-06,,2.5,9.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-06,,6.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-06,,6.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-06,,6.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-06,,6.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-06,,4.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-07,,2.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-07,,5.2,11.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-07,,5.2,15.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-07,,7.5,16.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-07,,5.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-07,,3.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-08,,2.4,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-08,,5.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-08,,5.3,14.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-08,,7.2,18.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-08,,5.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-08,,3.6,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-09,,2.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-09,,2.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-09,,4.5,14.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-09,,7.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-09,,4.2,16.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-09,,1.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-10,,2.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-10,,1.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-10,,4.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-10,,6.1,23.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-10,,4.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-10,,1.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-11,,2.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-11,,2.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-11,,4.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-11,,6.4,29.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-11,,3.6,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-11,,2.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-12,,3.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-12,,2.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-12,,4.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-12,,6.7,28.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-05-12,,3.4,21.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-06-12,,2.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-01-13,,3.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-02-13,,2.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-03-13,,3.9,13.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2007-04-13,,6.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,
