code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
ANTHUAN,2008-01-01,,2.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-01,,3.5,20.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-01,,6.3,23.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-01,,7.1,20.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-01,,10.5,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-06-01,,5.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-01-02,,2.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-02,,4.8,20.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-02,,10.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-02,,7.4,20.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-02,,10.1,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-06-02,,6.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-01-03,,1.8,8.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-03,,5.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-03,,8.4,21.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-03,,14.5,21.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-03,,9.5,16.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-06-03,,6.2,16.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-01-04,,2.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-04,,5.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-04,,9.1,20.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-04,,12.0,22.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-04,,9.4,15.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-06-04,,6.4,18.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-01-05,,2.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-05,,5.9,19.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-05,,40.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-05,,13.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-05,,9.8,17.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-06-05,,6.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-01-06,,2.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-02-06,,7.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-03-06,,10.5,22.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-04-06,,15.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2008-05-06,,9.3,18.1,,,,,,,,,,,,,,,,,,,,,,,,
