code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
SONDOC,2011-01-01,,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-01,,1.7,6.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-01,,2.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-01,,4.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-01,,4.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-02,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-02,,1.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-02,,2.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-02,,4.7,8.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-02,,3.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-03,,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-03,,2.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-03,,3.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-03,,4.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-03,,3.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-04,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-04,,1.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-04,,1.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-04,,5.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-04,,3.3,7.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-05,,0.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-05,,1.4,6.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-05,,2.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-05,,5.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-05,,3.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-06,,0.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-06,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-06,,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-06,,5.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-06,,3.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-07,,0.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-07,,1.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-07,,2.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-07,,4.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-07,,3.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-08,,0.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-08,,0.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-08,,2.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-08,,4.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-08,,3.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-09,,0.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-09,,0.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-09,,2.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-09,,4.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-09,,2.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-10,,0.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-10,,0.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-10,,2.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-10,,4.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-10,,2.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-11,,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-11,,0.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-11,,2.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-11,,4.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-11,,1.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-12,,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-12,,0.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-12,,2.6,8.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-12,,6.5,12.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-12,,1.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-13,,0.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-13,,0.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-03-13,,3.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-04-13,,6.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-05-13,,1.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-01-14,,0.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2011-02-14,,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,
