code,date,min,max
THANHTHOIA,2018-01-01,0.0,0.03
THANHTHOIA,2018-01-02,0.0,0.03
THANHTHOIA,2018-01-03,0.0,0.03
THANHTHOIA,2018-01-04,0.0,0.03
THANHTHOIA,2018-01-05,0.0,0.03
THANHTHOIA,2018-01-06,0.0,0.03
THANHTHOIA,2018-01-07,0.0,0.03
THANHTHOIA,2018-01-08,0.0,0.03
THANHTHOIA,2018-01-09,0.0,0.03
THANHTHOIA,2018-01-10,0.0,0.03
THANHTHOIA,2018-01-11,0.0,0.03
THANHTHOIA,2018-01-12,0.0,0.03
THANHTHOIA,2018-01-13,0.03,0.1
THANHTHOIA,2018-01-14,0.1,0.2
THANHTHOIA,2018-01-15,0.1,0.1
THANHTHOIA,2018-01-16,0.03,0.03
THANHTHOIA,2018-01-17,0.03,0.04
THANHTHOIA,2018-01-18,0.02,0.02
THANHTHOIA,2018-01-19,0.03,0.05
THANHTHOIA,2018-01-20,0.02,0.02
THANHTHOIA,2018-01-21,0.02,0.02
THANHTHOIA,2018-01-22,0.03,0.03
THANHTHOIA,2018-01-23,0.02,0.02
THANHTHOIA,2018-01-24,0.03,0.03
THANHTHOIA,2018-01-25,0.03,0.03
THANHTHOIA,2018-01-26,0.03,0.03
THANHTHOIA,2018-01-27,0.03,0.04
THANHTHOIA,2018-01-28,0.04,0.04
THANHTHOIA,2018-01-29,0.05,0.05
THANHTHOIA,2018-01-30,0.05,0.05
THANHTHOIA,2018-01-31,0.05,0.05
THANHTHOIA,2018-02-01,0.08,0.08
THANHTHOIA,2018-02-02,0.08,0.09
THANHTHOIA,2018-02-03,0.08,0.1
THANHTHOIA,2018-02-04,0.09,0.11
THANHTHOIA,2018-02-05,0.1,0.12
THANHTHOIA,2018-02-06,0.1,0.11
THANHTHOIA,2018-02-07,0.09,0.1
THANHTHOIA,2018-02-08,0.11,0.15
THANHTHOIA,2018-02-09,0.15,0.16
THANHTHOIA,2018-02-10,0.17,0.2
THANHTHOIA,2018-02-11,0.21,0.22
THANHTHOIA,2018-02-12,0.2,0.22
THANHTHOIA,2018-02-13,0.22,0.24
THANHTHOIA,2018-02-14,0.17,0.19
THANHTHOIA,2018-02-15,0.17,0.18
THANHTHOIA,2018-02-16,0.12,0.22
THANHTHOIA,2018-02-17,0.21,0.21
THANHTHOIA,2018-02-18,0.18,0.19
THANHTHOIA,2018-02-19,0.18,0.18
THANHTHOIA,2018-02-20,0.17,0.19
THANHTHOIA,2018-02-21,0.15,0.16
THANHTHOIA,2018-02-22,0.15,0.15
THANHTHOIA,2018-02-23,0.17,0.18
THANHTHOIA,2018-02-24,0.17,0.2
THANHTHOIA,2018-02-25,0.18,0.2
THANHTHOIA,2018-02-26,0.18,0.21
THANHTHOIA,2018-02-27,0.22,0.3
THANHTHOIA,2018-02-28,0.4,0.45
