code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
ANTHUAN,2013-02-03,11.3,24.9,11.3,12.0,16.2,19.6,21.5,17.5,15.7,14.9,19.2,24.9,24.6,19.4
ANTHUAN,2013-02-04,10.5,25.1,14.0,10.6,10.5,13.8,17.8,19.8,17.8,15.5,16.3,21.8,25.1,21.9
ANTHUAN,2013-02-05,10.0,24.7,16.4,12.7,10.0,11.2,15.4,19.2,17.9,14.9,16.8,21.7,24.7,23.5
ANTHUAN,2013-02-10,10.7,26.3,23.6,24.9,20.4,18.2,15.4,10.7,14.5,21.6,26.3,22.5,21.2,20.9
ANTHUAN,2013-02-11,14.2,26.8,24.8,26.8,23.2,21.8,18.8,15.3,14.2,20.2,24.4,22.9,21.3,17.2
ANTHUAN,2013-02-12,15.0,27.4,21.4,25.9,27.4,23.3,19.1,16.5,15.0,18.6,26.6,26.6,22.2,18.2
ANTHUAN,2013-02-19,11.9,24.1,14.9,13.0,11.9,12.8,17.8,21.3,22.1,22.6,22.5,23.0,24.1,22.2
ANTHUAN,2013-02-20,10.0,23.6,18.9,13.7,10.5,10.0,14.1,20.2,21.8,23.5,22.9,22.5,23.3,23.6
ANTHUAN,2013-02-21,11.7,23.3,21.0,17.5,15.1,11.7,12.0,15.2,20.4,22.7,23.3,21.0,21.6,20.4
ANTHUAN,2013-02-27,19.4,28.6,24.7,27.7,28.0,24.8,22.7,20.7,20.6,25.5,28.6,24.0,23.5,19.4
ANTHUAN,2013-02-28,18.8,28.5,21.4,26.3,28.5,24.0,22.2,20.7,19.3,23.6,28.1,26.0,21.1,18.8
ANTHUAN,2013-03-01,18.9,26.9,19.9,24.6,26.9,26.6,23.6,21.1,18.9,21.2,24.4,25.7,22.3,19.2
ANTHUAN,2013-03-05,17.4,29.3,19.7,17.4,17.5,21.7,25.8,27.3,26.4,25.2,26.9,28.6,29.3,27.5
ANTHUAN,2013-03-06,15.6,29.6,24.7,20.8,15.6,17.5,23.0,25.8,27.4,27.5,27.9,28.9,29.6,29.5
ANTHUAN,2013-03-07,17.5,29.9,25.4,20.9,18.4,17.5,22.6,25.9,28.6,28.5,28.2,28.5,29.2,29.9
ANTHUAN,2013-03-11,17.0,26.8,25.5,26.8,24.6,22.3,19.5,17.0,20.1,25.4,25.5,21.2,20.8,18.0
ANTHUAN,2013-03-12,16.2,25.9,22.6,25.9,23.8,23.0,20.0,16.2,19.2,23.2,24.5,23.3,20.2,18.0
ANTHUAN,2013-03-13,16.9,25.6,19.7,23.9,25.6,22.6,20.7,16.9,17.6,22.3,24.8,21.1,20.8,18.3
ANTHUAN,2013-03-19,12.4,22.6,13.8,12.4,15.9,18.9,21.1,21.0,19.3,21.1,21.5,22.6,21.0,18.6
ANTHUAN,2013-03-20,12.9,20.7,15.1,12.9,13.1,16.1,18.3,20.7,20.5,20.4,20.1,20.0,19.3,17.3
ANTHUAN,2013-03-21,8.6,20.8,13.0,9.3,8.6,10.2,15.7,18.6,20.8,20.4,19.3,19.2,18.5,15.9
