code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
LOCTHUAN,2013-02-03,2.2,7.5,2.2,3.0,3.8,4.5,5.6,5.3,5.1,4.9,5.2,6.3,7.5,5.4
LOCTHUAN,2013-02-04,2.0,6.7,4.6,3.1,2.0,2.9,3.8,4.9,4.5,4.1,3.6,4.7,5.8,6.7
LOCTHUAN,2013-02-05,2.5,7.0,5.2,3.7,2.5,3.1,4.2,4.0,3.7,3.4,3.0,4.3,6.0,7.0
LOCTHUAN,2013-02-10,5.0,11.3,8.8,11.3,10.2,7.3,5.4,5.0,6.2,7.5,8.3,7.4,6.5,5.2
LOCTHUAN,2013-02-11,5.3,11.9,9.7,10.5,11.9,8.1,6.2,5.3,7.5,9.8,11.0,9.5,8.1,6.4
LOCTHUAN,2013-02-12,6.7,12.9,9.4,10.8,12.5,10.4,8.2,6.7,9.1,11.4,12.9,11.7,8.9,7.3
LOCTHUAN,2013-02-19,4.7,8.5,7.2,5.9,4.7,5.5,6.4,7.0,7.7,6.3,6.0,6.9,7.8,8.5
LOCTHUAN,2013-02-20,4.9,9.2,9.2,8.5,7.1,6.0,4.9,6.1,7.5,8.8,8.0,6.7,5.4,7.3
LOCTHUAN,2013-02-21,5.7,10.5,8.6,10.2,8.4,6.8,5.7,7.4,8.3,10.5,9.0,7.9,6.2,7.6
LOCTHUAN,2013-02-27,11.7,14.9,12.2,13.5,14.6,13.9,12.5,11.7,12.8,13.6,14.9,14.0,13.1,12.1
LOCTHUAN,2013-02-28,11.3,15.5,13.4,14.5,15.5,14.4,13.0,11.5,12.3,13.3,14.2,13.2,12.0,11.3
LOCTHUAN,2013-03-01,10.5,14.9,12.3,13.6,14.9,13.8,12.5,11.9,12.8,13.7,13.7,12.7,11.6,10.5
LOCTHUAN,2013-03-05,6.5,12.7,9.2,7.7,6.5,7.1,9.4,11.0,10.7,10.3,10.3,11.0,11.6,12.7
LOCTHUAN,2013-03-06,7.0,12.0,10.9,8.6,7.0,8.1,9.6,10.0,9.7,9.5,9.5,10.3,10.2,12.0
LOCTHUAN,2013-03-07,6.3,13.1,9.8,7.6,6.3,8.8,10.5,10.9,9.4,8.2,8.2,10.4,11.9,13.1
LOCTHUAN,2013-03-11,6.8,11.4,10.5,11.4,10.2,9.1,7.6,8.5,9.8,11.0,11.0,9.5,8.1,6.8
LOCTHUAN,2013-03-12,7.2,11.9,9.2,10.7,11.6,10.3,8.4,9.6,10.6,11.9,11.9,9.9,8.0,7.2
LOCTHUAN,2013-03-13,6.2,10.5,8.0,9.3,10.5,8.7,6.4,6.9,8.1,9.9,9.9,8.5,7.6,6.2
LOCTHUAN,2013-03-19,6.4,10.5,6.5,7.4,8.7,10.2,9.8,7.3,6.4,7.7,9.2,10.0,10.5,9.5
LOCTHUAN,2013-03-20,6.2,11.4,8.4,7.6,6.2,7.5,9.1,10.8,11.4,10.3,9.4,7.2,8.0,9.7
LOCTHUAN,2013-03-21,7.0,11.7,11.5,10.1,8.6,7.0,8.9,10.4,11.7,10.9,8.7,7.4,8.6,10.5
LOCTHUAN,2013-03-28,6.2,11.2,7.1,8.2,10.7,8.5,7.3,6.2,7.0,9.6,11.2,10.5,8.1,6.5
LOCTHUAN,2013-03-29,6.0,11.5,7.9,10.4,11.5,10.0,8.1,6.5,7.4,9.0,10.7,9.8,7.2,6.0
LOCTHUAN,2013-03-30,6.2,10.4,7.1,8.5,10.4,9.5,7.2,6.2,7.7,9.1,10.4,9.2,7.0,6.4
LOCTHUAN,2013-04-04,4.0,10.0,9.8,8.1,7.0,4.0,6.7,8.9,10.0,8.7,7.5,6.6,7.1,8.0
LOCTHUAN,2013-04-05,3.7,8.9,8.9,7.5,5.3,3.7,4.8,6.5,8.3,7.4,5.9,4.5,5.0,6.9
LOCTHUAN,2013-04-06,3.5,8.6,8.2,7.0,5.1,3.5,5.1,7.0,8.6,7.7,6.4,5.0,6.2,7.4
LOCTHUAN,2013-04-11,6.3,10.2,6.3,7.7,9.5,8.4,7.3,6.6,7.9,9.1,10.2,9.3,8.2,6.5
LOCTHUAN,2013-04-12,7.0,14.1,7.0,8.9,10.5,9.7,8.1,7.2,9.5,11.4,14.1,12.4,10.8,8.8
LOCTHUAN,2013-04-13,9.6,14.7,10.0,11.7,13.2,12.3,10.9,9.6,11.2,12.9,14.7,13.3,11.9,10.5
LOCTHUAN,2013-04-18,4.2,9.3,8.3,7.5,5.8,4.2,6.1,7.5,9.3,8.0,6.7,5.0,6.2,7.9
LOCTHUAN,2013-04-19,4.5,11.2,9.8,7.0,5.7,4.5,7.7,9.6,11.2,10.0,8.1,6.5,8.9,10.7
LOCTHUAN,2013-04-20,7.2,13.0,11.8,10.9,8.6,7.2,9.5,11.5,13.0,11.4,9.4,8.0,10.2,11.5
LOCTHUAN,2013-04-27,6.6,12.5,7.2,8.5,10.0,8.9,7.4,6.6,9.6,12.2,10.6,12.5,10.3,8.3
LOCTHUAN,2013-04-28,7.9075,14.0,10.7,12.1,13.7,11.9,10.5,8.6,10.1,12.9,14.0,13.0,11.0,7.9075
LOCTHUAN,2013-04-29,7.4,13.9,10.2,12.7,13.9,11.3,9.2,7.5,9.8,12.0,13.5,11.5,9.6,7.4
LOCTHUAN,2013-05-04,3.3,9.1,6.2,4.9,3.3,5.1,7.0,8.2,7.7,6.9,6.4,7.3,8.0,9.1
LOCTHUAN,2013-05-05,3.0,8.9,6.7,4.6,3.0,5.3,6.9,7.9,6.8,6.0,5.5,6.3,7.4,8.9
LOCTHUAN,2013-05-06,2.7,8.2,5.9,4.5,2.7,4.0,5.7,6.8,8.2,7.0,6.1,5.0,6.3,7.5
LOCTHUAN,2013-05-10,3.3,6.7,4.0,5.1,6.2,5.3,4.5,3.6,4.7,5.8,6.7,5.4,4.2,3.3
LOCTHUAN,2013-05-11,3.1,6.0,3.9,4.8,5.7,5.0,4.1,3.4,4.3,5.2,6.0,5.6,4.4,3.1
LOCTHUAN,2013-05-12,2.9,5.6,4.0,4.6,5.0,4.6,3.8,3.0,3.9,4.7,5.6,4.9,4.0,2.9
LOCTHUAN,2013-05-18,2.2,4.6,3.7,2.9,2.2,2.6,3.5,4.3,4.0,3.6,3.1,3.8,4.2,4.6
LOCTHUAN,2013-05-19,2.0,4.8,3.9,2.8,2.0,2.8,3.6,4.5,4.2,3.7,3.3,4.0,4.4,4.8
LOCTHUAN,2013-05-20,2.4,5.3,4.1,3.0,2.4,3.3,4.5,5.3,4.9,4.1,3.5,3.9,4.6,5.2
LOCTHUAN,2013-05-26,2.2,4.5,2.4,3.7,4.5,4.0,3.3,2.5,3.1,3.6,4.2,3.5,2.8,2.2
LOCTHUAN,2013-05-27,2.0,4.7,2.9,3.8,4.4,3.9,3.025,2.3,3.2,4.7,4.3,3.4,2.5,2.0
LOCTHUAN,2013-05-28,1.8,4.0,2.7,3.4,4.0,3.3,2.5,2.025,2.7,3.2,3.8,3.0,2.3,1.8
