code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
SONDOC,2014-02-01,0.0,1.1,0.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.1,0.9,0.9,0.2
SONDOC,2014-02-02,0.0,2.8,0.2,0.2,2.8,2.8,0.4,0.0,0.0,0.0,0.1,0.2,0.2,0.0
SONDOC,2014-02-03,0.0,0.9,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.1,0.6,0.1
SONDOC,2014-02-04,0.0,0.6,0.0,0.0,0.2,0.6,0.3,0.0,0.0,0.0,0.0,0.1,0.5,0.2
SONDOC,2014-02-05,0.0,0.5,0.0,0.0,0.0,0.1,0.5,0.3,0.1,0.0,0.0,0.1,0.4,0.2
SONDOC,2014-02-06,0.0,4.0,0.0,0.0,0.0,0.1,0.3,0.2,0.1,0.1,0.1,0.2,4.0,0.2
SONDOC,2014-02-07,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.1
SONDOC,2014-02-08,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.2,0.3,0.1
SONDOC,2014-02-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.8,0.6,1.0,0.6
SONDOC,2014-02-10,0.0,4.2,0.6,0.6,0.7,0.2,0.0,3.8,3.6,3.5,4.1,4.2,3.9,3.9
SONDOC,2014-02-11,0.0,5.8,4.0,4.1,1.9,0.7,0.0,1.7,3.7,5.3,5.8,5.5,4.4,4.5
SONDOC,2014-02-12,0.1,5.2,4.9,5.2,3.1,1.5,0.1,1.6,2.3,3.8,5.0,4.8,4.0,3.1
SONDOC,2014-02-13,1.8,5.6,4.2,5.6,4.0,2.5,1.8,1.9,2.5,3.4,4.5,4.2,3.1,2.9
SONDOC,2014-02-14,1.7,5.9,3.5,4.8,5.8,3.7,2.1,1.7,2.8,4.3,5.9,5.2,3.4,2.7
SONDOC,2014-02-15,1.9,6.7,3.6,6.7,5.3,3.5,2.1,1.9,3.2,5.1,6.3,5.0,3.7,2.4
SONDOC,2014-02-16,1.9,6.5,3.5,5.3,6.5,4.4,2.9,2.0,1.9,3.7,5.8,6.2,3.9,3.1
SONDOC,2014-02-17,0.9,6.8,2.3,4.0,6.6,6.8,3.8,1.5,0.9,2.3,4.0,6.0,3.7,2.9
SONDOC,2014-02-18,0.4,6.5,2.1,4.8,6.5,3.6,1.1,0.8,0.4,0.6,4.9,2.7,3.7,1.7
SONDOC,2014-02-19,0.9,4.4,1.4,2.1,3.7,4.4,3.1,2.0,0.9,0.9,2.4,3.7,2.0,1.4
SONDOC,2014-02-20,1.1,5.0,1.1,1.8,2.5,3.6,3.2,2.2,1.1,1.4,3.4,5.0,4.5,3.6
SONDOC,2014-02-21,1.6,4.4,2.3,1.9,2.5,3.5,3.0,2.5,1.8,1.6,2.4,3.9,4.4,3.8
SONDOC,2014-02-22,1.4,3.9,2.5,1.4,1.8,2.9,3.3,2.7,2.2,1.8,2.2,3.5,3.9,2.5
SONDOC,2014-02-23,0.1,5.4,2.1,0.6,0.1,0.2,2.1,3.5,3.2,2.1,1.7,3.7,5.4,5.0
SONDOC,2014-02-24,0.1,4.6,3.8,1.4,0.2,0.1,1.0,3.6,3.9,4.0,3.5,3.0,3.7,4.6
SONDOC,2014-02-25,0.0,5.0,4.1,4.0,3.0,0.1,0.0,2.8,3.6,5.0,4.9,3.9,3.9,3.8
SONDOC,2014-03-03,0.3,6.6,5.2,2.9,5.8,6.6,3.4,0.6,0.3,1.1,4.0,5.6,5.0,2.0
SONDOC,2014-03-04,0.4,5.8,0.5,1.2,4.6,5.8,4.8,1.8,0.4,2.6,2.7,4.8,2.5,1.2
SONDOC,2014-03-05,0.2,4.3,0.2,0.2,2.1,4.3,3.9,1.8,0.5,0.4,2.1,3.9,4.0,1.8
SONDOC,2014-03-06,0.1,3.9,0.5,0.1,1.1,3.1,3.8,2.2,0.8,0.6,1.6,3.4,3.9,2.3
SONDOC,2014-03-09,0.1,1.5,0.5,0.1,0.1,0.1,0.1,0.9,1.1,0.9,1.5,0.6,1.0,0.8
SONDOC,2014-03-10,0.1,3.1,0.7,0.2,0.1,0.1,0.1,1.3,2.6,3.1,3.0,2.9,2.8,3.0
SONDOC,2014-03-11,0.1,4.6,2.7,1.0,0.3,0.1,0.1,1.2,3.4,4.2,4.6,4.0,3.9,2.9
SONDOC,2014-03-19,2.1,9.7,2.6,5.6,9.2,9.7,5.5,3.9,2.1,5.3,8.0,6.8,5.3,2.8
SONDOC,2014-03-20,1.4,7.2,1.4,1.7,5.0,7.2,5.3,4.3,1.9,2.5,4.8,6.7,5.0,2.6
SONDOC,2014-03-21,0.7,7.2,0.7,0.8,3.1,5.3,5.3,2.7,1.5,2.0,3.9,7.2,5.9,1.4
SONDOC,2014-03-24,1.4,9.1,1.9,1.6,1.4,2.8,5.7,8.0,7.6,6.5,5.9,8.2,9.1,8.9
SONDOC,2014-03-25,1.8,8.8,4.8,3.2,1.8,2.1,4.2,6.9,8.8,8.0,6.9,5.9,6.6,5.3
SONDOC,2014-03-26,2.4,9.1,3.9,2.6,2.8,2.4,3.7,6.1,7.5,9.1,8.4,6.5,5.6,5.3
SONDOC,2014-03-29,2.1,8.2,7.3,8.2,6.9,5.3,2.1,2.4,5.3,6.7,7.7,5.3,3.8,3.3
SONDOC,2014-03-30,2.0,8.4,5.4,7.7,8.4,7.5,3.2,2.0,3.1,6.7,8.1,5.6,4.0,2.3
