code,date,time,min,max
CAIHOP,2017-01-01,14:00:00|10:00:00,0.1,0.1
CAIHOP,2017-01-02,15:00:00|7:50:00,0.1,0.1
CAIHOP,2017-01-03,17:00:00|8:20:00,0.1,0.1
CAIHOP,2017-01-04,17:10:00|11:00:00,0.1,0.1
CAIHOP,2017-01-05,16:00:00|8:00:00,0.1,0.1
CAIHOP,2017-01-06,14:00:00|10:00:00,0.1,0.1
CAIHOP,2017-01-07,16:00:00|8:30:00,0.1,0.1
CAIHOP,2017-01-08,6:30:00|12:00:00,0.1,0.1
CAIHOP,2017-01-09,7:10:00|13:00:00,0.1,0.1
CAIHOP,2017-01-10,8:00:00|15:00:00,0.1,0.1
CAIHOP,2017-01-11,9:30:00|16:00:00,0.1,0.1
CAIHOP,2017-01-12,9:00:00|14:00:00,0.1,0.1
CAIHOP,2017-01-13,9:20:00|15:00:00,0.1,0.1
CAIHOP,2017-01-14,10:00:00|16:00:00,0.1,0.1
CAIHOP,2017-01-15,15:10:00|11:00:00,0.1,0.1
CAIHOP,2017-01-16,12:00:00|17:00:00,0.1,0.1
CAIHOP,2017-01-17,14:30:00|10:30:00,0.3,0.3
CAIHOP,2017-01-18,15:00:00|7:40:00,0.1,0.1
CAIHOP,2017-01-19,16:40:00|8:30:00,0.2,0.2
CAIHOP,2017-01-20,17:00:00|8:20:00,0.1,0.1
CAIHOP,2017-01-21,17:00:00|11:00:00,0.1,0.1
CAIHOP,2017-01-22,14:00:00|10:20:00,0.1,0.1
CAIHOP,2017-01-23,16:00:00|8:00:00,0.3,0.3
CAIHOP,2017-01-24,9:00:00|15:30:00,0.1,1.0
CAIHOP,2017-01-25,10:00:00|16:40:00,0.8,1.8
CAIHOP,2017-01-26,10:30:00|17:40:00,0.7,1.3
CAIHOP,2017-01-27,11:00:00|18:30:00,0.3,3.1
CAIHOP,2017-01-28,9:00:00|14:20:00,0.1,0.2
CAIHOP,2017-01-29,12:30:00|16:45:00,0.1,0.1
CAIHOP,2017-01-30,10:00:00|17:20:00,0.1,0.2
CAIHOP,2017-01-31,11:30:00|17:45:00,0.1,0.1
CAIHOP,2017-02-01,14:00:00|6:30:00,0.1,0.1
CAIHOP,2017-02-02,14:30:00|7:10:00,0.1,0.1
CAIHOP,2017-02-03,15:00:00|7:50:00,0.1,0.1
CAIHOP,2017-02-04,16:00:00|8:50:00,0.1,0.1
CAIHOP,2017-02-05,17:00:00|10:00:00,0.1,0.1
CAIHOP,2017-02-06,18:00:00|12:00:00,0.1,0.1
CAIHOP,2017-02-07,18:00:00|11:00:00,0.1,0.1
CAIHOP,2017-02-08,16:00:00|9:00:00,0.1,0.1
CAIHOP,2017-02-09,10:00:00|17:00:00,0.1,0.1
CAIHOP,2017-02-10,11:00:00|18:00:00,0.1,0.1
CAIHOP,2017-02-11,12:00:00|16:30:00,0.1,0.1
CAIHOP,2017-02-12,12:45:00|17:00:00,0.1,0.1
CAIHOP,2017-02-13,13:30:00|5:30:00,0.1,0.1
CAIHOP,2017-02-14,14:00:00|6:00:00,0.1,0.1
CAIHOP,2017-02-15,15:00:00|6:30:00,0.1,0.1
CAIHOP,2017-02-16,16:00:00|7:00:00,0.1,0.1
CAIHOP,2017-02-17,17:00:00|7:20:00,0.1,0.2
CAIHOP,2017-02-18,18:00:00|9:30:00,0.1,0.1
CAIHOP,2017-02-19,8:00:00|10:50:00,0.2,0.2
CAIHOP,2017-02-20,9:00:00|13:30:00,0.2,0.3
CAIHOP,2017-02-21,10:00:00|13:30:00,1.6,2.0
CAIHOP,2017-02-22,10:00:00|14:30:00,0.5,4.2
CAIHOP,2017-02-23,12:00:00|16:00:00,0.4,6.0
CAIHOP,2017-02-24,12:00:00|16:30:00,0.5,3.2
CAIHOP,2017-02-25,12:00:00|17:00:00,0.6,1.9
CAIHOP,2017-02-26,13:30:00|9:00:00,0.7,1.8
CAIHOP,2017-02-27,11:00:00|18:00:00,0.6,1.6
CAIHOP,2017-02-28,11:00:00|18:45:00,0.6,1.7
CAIHOP,2017-03-01,14:00:00|6:20:00,0.0,2.5
CAIHOP,2017-03-02,14:00:00|7:00:00,0.0,1.0
CAIHOP,2017-03-03,14:00:00|7:35:00,0.0,0.7
CAIHOP,2017-03-04,16:50:00|8:20:00,0.0,0.0
CAIHOP,2017-03-05,17:20:00|11:00:00,0.0,0.0
