code,date,time,min,max
MYVAN,2017-01-01,15:00:00|10:00:00,0.2,0.6
MYVAN,2017-01-02,15:00:00|8:00:00,0.1,0.4
MYVAN,2017-01-03,17:00:00|8:00:00,0.1,0.2
MYVAN,2017-01-04,17:50:00|11:00:00,0.1,0.2
MYVAN,2017-01-05,15:25:00|7:30:00,0.1,0.2
MYVAN,2017-01-06,14:30:00|10:00:00,0.1,0.2
MYVAN,2017-01-07,16:00:00|9:00:00,0.1,0.2
MYVAN,2017-01-08,7:10:00|13:30:00,0.1,0.2
MYVAN,2017-01-09,7:45:00|13:40:00,0.1,0.2
MYVAN,2017-01-10,8:30:00|15:30:00,0.1,0.2
MYVAN,2017-01-11,10:25:00|16:20:00,0.1,0.2
MYVAN,2017-01-12,9:30:00|15:00:00,0.1,0.1
MYVAN,2017-01-13,11:00:00|15:30:00,0.1,0.1
MYVAN,2017-01-14,10:45:00|16:40:00,0.1,0.2
MYVAN,2017-01-15,15:45:00|11:55:00,0.2,0.2
MYVAN,2017-01-16,11:55:00|18:00:00,0.1,0.2
MYVAN,2017-01-17,14:30:00|11:10:00,0.2,0.4
MYVAN,2017-01-18,15:40:00|7:10:00,0.2,0.3
MYVAN,2017-01-19,15:35:00|8:00:00,0.2,0.3
MYVAN,2017-01-20,16:40:00|9:15:00,0.1,0.2
MYVAN,2017-01-21,17:30:00|11:00:00,0.2,0.2
MYVAN,2017-01-22,15:20:00|10:30:00,0.2,0.2
MYVAN,2017-01-23,17:30:00|8:20:00,0.5,0.7
MYVAN,2017-01-24,8:00:00|14:05:00,1.6,2.1
MYVAN,2017-01-25,9:50:00|15:30:00,0.6,0.8
MYVAN,2017-01-26,9:30:00|15:20:00,0.4,2.8
MYVAN,2017-01-27,10:15:00|7:00:00,1.7,2.0
MYVAN,2017-01-28,9:05:00|15:20:00,1.4,1.8
MYVAN,2017-01-29,11:00:00|17:00:00,1.0,1.2
MYVAN,2017-01-30,11:00:00|16:15:00,0.4,0.6
MYVAN,2017-01-31,11:30:00|17:30:00,0.7,1.0
MYVAN,2017-02-01,14:20:00|7:30:00,0.1,0.2
MYVAN,2017-02-02,14:30:00|7:20:00,0.1,0.1
MYVAN,2017-02-03,14:40:00|7:30:00,0.1,0.1
MYVAN,2017-02-04,15:20:00|8:10:00,0.1,0.1
MYVAN,2017-02-05,16:30:00|9:20:00,0.1,0.1
MYVAN,2017-02-06,15:20:00|11:30:00,0.1,0.2
MYVAN,2017-02-07,17:40:00|11:50:00,0.1,0.2
MYVAN,2017-02-08,16:45:00|9:20:00,0.2,0.2
MYVAN,2017-02-09,9:25:00|14:25:00,0.2,0.2
MYVAN,2017-02-10,9:30:00|15:40:00,0.2,0.2
MYVAN,2017-02-11,10:00:00|16:22:00,0.1,0.2
MYVAN,2017-02-12,10:20:00|17:10:00,0.1,0.1
MYVAN,2017-02-13,14:30:00|8:20:00,0.1,0.2
MYVAN,2017-02-14,8:00:00|13:00:00,0.2,0.2
MYVAN,2017-02-15,14:20:00|7:30:00,0.1,0.2
MYVAN,2017-02-16,17:45:00|8:10:00,0.1,0.2
MYVAN,2017-02-17,15:15:00|9:15:00,0.1,0.1
MYVAN,2017-02-18,16:25:00|10:30:00,0.2,0.4
MYVAN,2017-02-19,17:00:00|10:20:00,0.2,0.5
MYVAN,2017-02-20,9:30:00|14:00:00,0.2,0.5
MYVAN,2017-02-21,11:00:00|14:00:00,0.2,0.4
MYVAN,2017-02-22,10:40:00|13:30:00,0.4,2.4
MYVAN,2017-02-23,9:30:00|15:20:00,0.2,1.6
MYVAN,2017-02-24,9:00:00|15:30:00,0.2,1.2
MYVAN,2017-02-25,9:20:00|16:10:00,0.2,1.0
MYVAN,2017-02-26,14:30:00|10:15:00,0.2,1.4
MYVAN,2017-02-27,10:45:00|17:40:00,0.2,1.2
MYVAN,2017-02-28,10:35:00|17:35:00,0.1,1.2
MYVAN,2017-03-01,12:15:00|6:20:00,1.8,2.1
MYVAN,2017-03-02,17:45:00|6:35:00,0.9,1.8
MYVAN,2017-03-03,13:50:00|7:15:00,1.2,1.7
MYVAN,2017-03-04,14:25:00|8:00:00,0.1,1.4
MYVAN,2017-03-05,15:00:00|8:00:00,0.2,0.7
MYVAN,2017-03-06,15:30:00|8:30:00,0.1,0.2
MYVAN,2017-03-07,15:40:00|10:40:00,0.1,0.1
MYVAN,2017-03-08,17:00:00|10:00:00,0.1,0.1
MYVAN,2017-03-09,16:45:00|11:00:00,0.1,0.3
MYVAN,2017-03-10,7:00:00|14:00:00,0.1,0.3
MYVAN,2017-03-11,8:00:00|15:05:00,0.1,0.3
MYVAN,2017-03-12,9:00:00|15:20:00,0.1,0.1
MYVAN,2017-03-13,8:00:00|16:50:00,0.1,0.1
MYVAN,2017-03-14,8:00:00|17:05:00,0.1,0.1
MYVAN,2017-03-15,7:00:00|16:00:00,0.1,0.1
MYVAN,2017-03-16,13:20:00|6:10:00,0.1,0.1
MYVAN,2017-03-17,14:05:00|6:50:00,0.1,0.1
MYVAN,2017-03-18,15:00:00|7:00:00,0.1,0.1
MYVAN,2017-03-19,15:30:00|9:15:00,0.1,0.1
MYVAN,2017-03-20,16:00:00|10:00:00,0.1,0.1
MYVAN,2017-03-21,17:05:00|10:50:00,0.1,0.1
MYVAN,2017-03-22,14:00:00|11:45:00,0.1,0.1
MYVAN,2017-03-23,6:05:00|13:00:00,0.1,0.1
MYVAN,2017-03-24,7:10:00|14:05:00,0.1,0.1
MYVAN,2017-03-25,8:15:00|15:10:00,0.1,0.1
MYVAN,2017-03-26,8:40:00|16:00:00,0.1,0.1
MYVAN,2017-03-27,9:50:00|17:05:00,0.1,0.1
MYVAN,2017-03-28,10:10:00|17:40:00,0.1,0.1
MYVAN,2017-03-29,10:00:00|16:00:00,0.1,0.1
MYVAN,2017-03-30,13:15:00|6:10:00,0.1,0.1
MYVAN,2017-03-31,14:20:00|6:45:00,0.1,0.1
MYVAN,2017-04-01,15:10:00|7:15:00,0.2,0.3
MYVAN,2017-04-02,15:40:00|7:30:00,0.1,0.3
MYVAN,2017-04-03,16:05:00|8:50:00,0.1,0.1
MYVAN,2017-04-04,16:30:00|9:15:00,0.2,0.3
MYVAN,2017-04-05,17:40:00|10:40:00,0.1,0.1
MYVAN,2017-04-06,18:00:00|10:50:00,0.2,0.2
MYVAN,2017-04-07,6:00:00|12:45:00,0.1,0.2
MYVAN,2017-04-08,7:05:00|13:40:00,0.1,0.2
MYVAN,2017-04-09,8:20:00|14:00:00,0.2,0.3
MYVAN,2017-04-10,9:15:00|15:40:00,0.2,0.3
MYVAN,2017-04-11,9:30:00|16:25:00,0.1,0.1
MYVAN,2017-04-12,10:15:00|17:05:00,0.0,0.0
MYVAN,2017-04-13,11:30:00|18:00:00,0.0,0.0
MYVAN,2017-04-14,13:05:00|6:20:00,0.0,0.0
MYVAN,2017-04-15,12:50:00|6:45:00,0.0,0.0
MYVAN,2017-04-16,14:25:00|7:30:00,0.0,0.0
MYVAN,2017-04-17,15:00:00|8:35:00,0.0,0.0
MYVAN,2017-04-18,15:30:00|9:10:00,0.0,0.0
MYVAN,2017-04-19,16:00:00|10:05:00,0.0,0.0
MYVAN,2017-04-20,16:00:00|10:50:00,0.0,0.0
MYVAN,2017-04-21,17:35:00|11:40:00,0.0,0.0
MYVAN,2017-04-22,18:00:00|12:00:00,0.0,0.0
MYVAN,2017-04-23,6:20:00|13:25:00,0.0,0.0
MYVAN,2017-04-24,7:00:00|14:05:00,0.0,0.0
MYVAN,2017-04-25,8:10:00|14:50:00,0.2,0.2
MYVAN,2017-04-26,8:45:00|15:30:00,0.0,0.2
MYVAN,2017-04-27,9:10:00|16:00:00,0.0,0.0
MYVAN,2017-04-28,10:20:00|16:45:00,0.0,0.0
MYVAN,2017-04-29,11:30:00|16:00:00,0.0,0.0
MYVAN,2017-04-30,13:15:00|6:00:00,0.0,0.0
MYVAN,2017-05-01,14:00:00|7:05:00,0.1,0.1
MYVAN,2017-05-02,14:45:00|8:00:00,0.1,0.1
MYVAN,2017-05-03,15:05:00|9:10:00,0.1,0.1
MYVAN,2017-05-04,16:00:00|10:20:00,0.1,0.1
MYVAN,2017-05-05,17:05:00|11:30:00,0.1,0.1
MYVAN,2017-05-06,18:00:00|12:00:00,0.1,0.1
MYVAN,2017-05-07,6:25:00|13:40:00,0.1,0.1
MYVAN,2017-05-08,7:20:00|14:30:00,0.0,0.0
MYVAN,2017-05-09,8:10:00|15:45:00,0.0,0.0
MYVAN,2017-05-10,8:50:00|16:40:00,0.0,0.0
MYVAN,2017-05-11,9:35:00|17:00:00,0.0,0.0
MYVAN,2017-05-12,10:00:00|17:35:00,0.0,0.0
MYVAN,2017-05-13,11:10:00|18:00:00,0.0,0.0
MYVAN,2017-05-14,13:20:00|6:15:00,0.0,0.0
MYVAN,2017-05-15,13:40:00|7:20:00,0.0,0.0
MYVAN,2017-05-16,14:15:00|8:40:00,0.0,0.0
MYVAN,2017-05-17,15:05:00|9:30:00,0.0,0.0
MYVAN,2017-05-18,16:00:00|10:25:00,0.0,0.0
MYVAN,2017-05-19,16:20:00|11:00:00,0.0,0.0
MYVAN,2017-05-20,17:10:00|11:55:00,0.0,0.0
MYVAN,2017-05-21,6:00:00|13:25:00,0.0,0.0
MYVAN,2017-05-22,7:10:00|14:10:00,0.0,0.0
MYVAN,2017-05-23,8:10:00|15:10:00,0.0,0.0
MYVAN,2017-05-24,9:10:00|16:10:00,0.0,0.0
MYVAN,2017-05-25,9:30:00|16:40:00,0.0,0.0
MYVAN,2017-05-26,10:20:00|17:00:00,0.0,0.0
MYVAN,2017-05-27,11:00:00|17:30:00,0.0,0.0
MYVAN,2017-05-28,12:30:00|7:00:00,0.0,0.0
MYVAN,2017-05-29,12:10:00|7:30:00,0.0,0.0
MYVAN,2017-05-30,14:00:00|8:00:00,0.0,0.0
MYVAN,2017-05-31,14:30:00|8:40:00,0.0,0.0
