code,date,time,min,max
PHUOCLONG,2017-01-01,17:00:00|7:00:00,0.1,0.1
PHUOCLONG,2017-01-02,17:00:00|7:00:00,0.1,0.1
PHUOCLONG,2017-01-03,16:00:00|6:30:00,0.1,0.1
PHUOCLONG,2017-01-04,17:00:00|6:00:00,0.1,0.1
PHUOCLONG,2017-01-05,17:00:00|6:00:00,0.1,0.1
PHUOCLONG,2017-01-06,17:30:00|6:20:00,0.1,0.1
PHUOCLONG,2017-01-07,17:00:00|6:10:00,0.1,0.1
PHUOCLONG,2017-01-08,16:30:00|6:40:00,0.1,0.1
PHUOCLONG,2017-01-09,6:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-10,6:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-11,8:00:00|16:00:00,0.1,0.1
PHUOCLONG,2017-01-12,6:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-13,18:00:00|8:00:00,0.1,0.1
PHUOCLONG,2017-01-14,15:00:00|7:00:00,0.2,0.2
PHUOCLONG,2017-01-15,18:00:00|9:00:00,0.1,0.2
PHUOCLONG,2017-01-16,18:00:00|8:00:00,0.1,0.1
PHUOCLONG,2017-01-17,8:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-18,7:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-19,7:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-20,7:00:00|17:00:00,0.1,0.1
PHUOCLONG,2017-01-21,7:00:00|13:00:00,0.1,0.1
PHUOCLONG,2017-01-22,7:00:00|17:00:00,0.2,1.3
PHUOCLONG,2017-01-23,8:00:00|16:00:00,0.1,0.2
PHUOCLONG,2017-01-24,9:00:00|17:00:00,0.1,0.3
PHUOCLONG,2017-01-25,6:00:00|16:00:00,0.3,1.3
PHUOCLONG,2017-01-26,8:00:00|17:00:00,0.3,1.0
PHUOCLONG,2017-01-27,6:00:00|17:00:00,0.3,1.5
PHUOCLONG,2017-01-28,7:00:00|15:00:00,0.4,1.7
PHUOCLONG,2017-01-29,8:00:00|15:00:00,0.3,2.2
PHUOCLONG,2017-01-30,10:00:00|16:00:00,0.3,2.7
PHUOCLONG,2017-01-31,7:00:00|17:00:00,0.3,1.7
PHUOCLONG,2017-02-01,6:00:00|16:00:00,0.3,0.3
PHUOCLONG,2017-02-02,7:00:00|17:00:00,0.2,0.2
PHUOCLONG,2017-02-03,8:00:00|18:00:00,0.2,0.2
PHUOCLONG,2017-02-04,7:30:00|16:00:00,0.2,0.2
PHUOCLONG,2017-02-05,7:00:00|17:00:00,0.2,0.2
PHUOCLONG,2017-02-06,9:00:00|16:00:00,0.2,0.2
PHUOCLONG,2017-02-07,17:00:00|8:00:00,0.1,0.2
PHUOCLONG,2017-02-08,16:00:00|8:00:00,0.2,2.5
PHUOCLONG,2017-02-09,17:00:00|9:00:00,0.2,0.2
PHUOCLONG,2017-02-10,16:00:00|8:00:00,0.2,0.3
PHUOCLONG,2017-02-11,10:00:00|14:25:00,0.3,0.4
PHUOCLONG,2017-02-12,7:00:00|17:00:00,0.1,0.2
PHUOCLONG,2017-02-13,11:00:00|16:00:00,0.2,0.2
PHUOCLONG,2017-02-14,7:00:00|17:00:00,0.5,2.1
PHUOCLONG,2017-02-15,6:00:00|17:00:00,0.2,0.6
PHUOCLONG,2017-02-16,7:00:00|15:00:00,0.5,0.7
