code,date,time,min,max
TIENTHUY,2017-01-01,17:25:00|8:20:00,0.0,0.0
TIENTHUY,2017-01-02,17:20:00|8:40:00,0.0,0.0
TIENTHUY,2017-01-03,17:00:00|7:28:00,0.0,0.0
TIENTHUY,2017-01-04,17:35:00|7:10:00,0.0,0.0
TIENTHUY,2017-01-05,8:00:00|15:10:00,0.0,0.0
TIENTHUY,2017-01-06,17:20:00|7:15:00,0.0,0.0
TIENTHUY,2017-01-07,17:30:00|7:13:00,0.0,0.0
TIENTHUY,2017-01-08,17:22:00|7:45:00,0.0,0.0
TIENTHUY,2017-01-09,9:00:00|17:00:00,0.0,0.0
TIENTHUY,2017-01-10,7:05:00|17:10:00,0.0,0.0
TIENTHUY,2017-01-11,10:11:00|16:00:00,0.0,0.0
TIENTHUY,2017-01-12,15:45:00|11:00:00,0.0,0.0
TIENTHUY,2017-01-13,15:17:00|11:10:00,0.0,0.0
TIENTHUY,2017-01-14,17:30:00|10:25:00,0.0,0.0
TIENTHUY,2017-01-15,9:15:00|17:30:00,0.0,0.0
TIENTHUY,2017-01-16,8:20:00|16:50:00,0.0,0.0
TIENTHUY,2017-01-17,16:50:00|8:00:00,0.0,0.0
TIENTHUY,2017-01-18,17:00:00|8:00:00,0.0,0.0
TIENTHUY,2017-01-19,17:11:00|8:10:00,0.0,0.0
TIENTHUY,2017-01-20,17:20:00|8:25:00,0.0,0.0
TIENTHUY,2017-01-21,17:22:00|8:30:00,0.0,0.0
TIENTHUY,2017-01-22,17:18:00|8:00:00,0.0,0.0
TIENTHUY,2017-01-23,17:27:00|8:33:00,0.0,0.0
TIENTHUY,2017-01-24,11:45:00|8:10:00,0.0,0.0
TIENTHUY,2017-01-25,9:38:00|16:30:00,0.0,0.0
TIENTHUY,2017-01-26,16:50:00|8:28:00,0.0,0.0
TIENTHUY,2017-01-27,14:20:00|10:31:00,0.0,0.0
TIENTHUY,2017-01-28,14:30:00|8:27:00,0.0,0.0
TIENTHUY,2017-01-29,7:55:00|16:30:00,0.0,0.0
TIENTHUY,2017-01-30,14:34:00|8:30:00,0.0,0.0
TIENTHUY,2017-01-31,15:00:00|9:00:00,0.0,0.0
TIENTHUY,2017-02-01,8:33:00|17:15:00,0.0,0.0
TIENTHUY,2017-02-02,7:36:00|17:50:00,0.0,0.0
TIENTHUY,2017-02-03,8:33:00|16:11:00,0.0,0.0
TIENTHUY,2017-02-04,9:40:00|17:20:00,0.0,0.0
TIENTHUY,2017-02-05,17:15:00|8:14:00,0.0,0.0
TIENTHUY,2017-02-06,9:40:00|15:30:00,0.0,0.0
TIENTHUY,2017-02-07,16:10:00|10:38:00,0.0,0.0
TIENTHUY,2017-02-08,17:00:00|9:00:00,0.0,0.0
TIENTHUY,2017-02-09,17:00:00|9:40:00,0.0,0.0
TIENTHUY,2017-02-10,16:00:00|10:48:00,0.0,0.0
TIENTHUY,2017-02-11,9:00:00|17:08:00,0.0,0.0
TIENTHUY,2017-02-12,10:22:00|16:14:00,0.0,0.0
TIENTHUY,2017-02-13,11:00:00|16:00:00,0.0,0.0
TIENTHUY,2017-02-14,8:10:00|16:50:00,0.0,0.0
TIENTHUY,2017-02-15,9:53:00|15:38:00,0.0,0.0
TIENTHUY,2017-02-16,11:18:00|15:55:00,0.0,0.0
TIENTHUY,2017-02-17,17:50:00|10:50:00,0.0,0.0
TIENTHUY,2017-02-18,17:46:00|11:45:00,0.0,0.0
TIENTHUY,2017-02-19,16:36:00|11:10:00,0.0,0.0
TIENTHUY,2017-02-20,11:50:00|14:30:00,0.0,0.0
TIENTHUY,2017-02-21,8:30:00|17:20:00,0.0,0.0
TIENTHUY,2017-02-22,17:00:00|9:30:00,0.0,0.0
TIENTHUY,2017-02-23,8:20:00|17:55:00,0.0,0.0
TIENTHUY,2017-02-24,8:30:00|17:00:00,0.0,0.0
TIENTHUY,2017-02-25,18:00:00|10:00:00,0.0,0.0
TIENTHUY,2017-02-26,8:32:00|17:24:00,0.0,0.0
TIENTHUY,2017-02-27,9:20:00|16:00:00,0.0,0.0
TIENTHUY,2017-02-28,17:09:00|8:50:00,0.0,0.0
TIENTHUY,2017-03-01,15:30:00|8:00:00,0.0,0.0
TIENTHUY,2017-03-02,15:45:00|8:25:00,0.0,0.0
TIENTHUY,2017-03-03,15:15:00|9:00:00,0.0,0.0
TIENTHUY,2017-03-04,17:40:00|9:22:00,0.0,0.0
TIENTHUY,2017-03-05,17:50:00|11:50:00,0.0,0.0
TIENTHUY,2017-03-06,18:00:00|11:16:00,0.0,0.0
TIENTHUY,2017-03-07,16:45:00|10:35:00,0.0,0.0
TIENTHUY,2017-03-08,17:20:00|11:55:00,0.0,0.0
TIENTHUY,2017-03-09,8:48:00|14:30:00,0.0,0.0
TIENTHUY,2017-03-10,9:30:00|15:20:00,0.0,0.0
TIENTHUY,2017-03-11,9:40:00|17:35:00,0.0,0.0
TIENTHUY,2017-03-12,11:30:00|18:00:00,0.0,0.0
TIENTHUY,2017-03-13,11:15:00|17:30:00,0.0,0.0
