code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
ANTHUAN,2006-01-01,,2.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-01,,6.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-01,,11.9,19.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-01,,12.1,18.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-01,,11.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-01,,7.2,13.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-02,,2.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-02,,8.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-02,,13.0,23.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-02,,10.6,17.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-02,,10.8,16.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-02,,7.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-03,,2.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-03,,8.5,17.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-03,,11.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-03,,8.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-03,,9.5,15.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-03,,6.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-04,,3.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-04,,8.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-04,,10.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-04,,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-04,,9.8,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-04,,5.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-05,,3.1,9.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-05,,8.6,17.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-05,,8.7,19.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-05,,7.0,15.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-05,,9.6,15.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-05,,5.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-06,,3.3,10.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-06,,8.7,18.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-06,,8.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-06,,7.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-06,,8.2,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-06,,4.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-07,,3.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-07,,5.2,19.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-07,,7.7,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-07,,6.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-07,,8.0,15.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-07,,4.7,9.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-08,,2.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-08,,8.8,19.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-08,,7.4,17.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-08,,6.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-08,,8.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-08,,4.6,9.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-09,,2.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-09,,8.9,22.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-09,,7.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-09,,6.1,16.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-09,,11.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-09,,4.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-10,,2.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-10,,8.2,21.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-10,,6.9,17.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-10,,6.2,16.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-10,,11.7,18.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-10,,5.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-11,,3.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-11,,9.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-11,,7.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-11,,6.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-11,,11.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-11,,4.8,10.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-12,,3.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-12,,9.6,20.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-12,,7.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-12,,6.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-12,,10.5,16.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-12,,4.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-13,,3.3,9.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-13,,10.7,21.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-13,,8.1,15.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-13,,5.9,16.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-13,,11.0,17.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-13,,4.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-14,,3.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-14,,9.8,18.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-14,,8.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-14,,6.8,16.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-14,,11.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-14,,4.1,9.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-15,,3.4,10.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-15,,9.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-15,,10.4,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-15,,7.9,16.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-15,,11.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-15,,4.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-16,,3.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-16,,8.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-16,,9.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-16,,10.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-16,,11.6,18.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-16,,4.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-17,,3.2,9.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-17,,7.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-17,,9.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-17,,11.4,18.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-17,,12.1,19.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-17,,4.2,8.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-18,,3.5,11.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-18,,8.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-18,,8.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-18,,11.8,19.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-18,,11.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-18,,4.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-19,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-19,,9.1,17.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-19,,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-19,,11.0,19.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-19,,11.2,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-19,,4.5,8.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-20,,4.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-20,,9.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-20,,7.7,15.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-20,,8.8,19.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-20,,10.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-20,,4.6,8.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-21,,4.5,12.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-21,,10.2,20.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-21,,7.5,15.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-21,,9.0,19.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-21,,10.5,17.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-21,,4.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-22,,4.6,12.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-22,,9.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-22,,7.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-22,,8.7,18.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-22,,9.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-22,,4.8,7.9,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-23,,4.2,12.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-23,,9.2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-23,,6.8,16.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-23,,8.0,17.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-23,,10.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-23,,4.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-24,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-24,,9.0,21.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-24,,6.5,16.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-24,,8.2,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-24,,13.1,18.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-24,,4.5,8.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-25,,3.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-25,,9.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-25,,6.2,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-25,,9.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-25,,10.1,17.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-25,,4.6,7.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-26,,3.8,11.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-26,,8.5,19.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-26,,6.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-26,,9.1,17.5,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-26,,10.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-26,,4.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-27,,4.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-27,,9.0,19.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-27,,5.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-27,,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-27,,9.4,16.7,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-27,,4.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-28,,4.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-02-28,,9.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-28,,6.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-28,,11.2,18.3,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-28,,9.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-28,,4.6,7.4,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-29,,4.9,12.2,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-29,,7.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-29,,12.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-29,,9.1,17.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-06-29,,4.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-01-30,,5.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-03-30,,9.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-04-30,,11.8,18.6,,,,,,,,,,,,,,,,,,,,,,,,
ANTHUAN,2006-05-30,,8.7,16.4,,,,,,,,,,,,,,,,,,,,,,,,
