code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BENTRAI,2006-01-01,,2.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-01,,5.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-01,,10.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-01,,9.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-01,,6.6,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-01,,7.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-02,,2.7,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-02,,6.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-02,,11.3,28.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-02,,8.3,19.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-02,,6.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-02,,7.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-03,,2.6,8.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-03,,3.6,14.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-03,,11.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-03,,7.2,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-03,,6.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-03,,5.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-04,,2.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-04,,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-04,,10.2,25.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-04,,6.1,15.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-04,,6.1,16.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-04,,5.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-05,,2.9,9.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-05,,2.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-05,,9.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-05,,5.4,16.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-05,,5.1,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-05,,5.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-06,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-06,,2.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-06,,5.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-06,,3.9,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-06,,5.0,16.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-06,,4.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-07,,2.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-07,,2.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-07,,4.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-07,,4.0,21.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-07,,4.3,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-07,,4.6,9.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-08,,2.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-08,,4.7,13.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-08,,2.8,17.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-08,,4.2,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-08,,3.8,17.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-08,,4.7,9.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-09,,2.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-09,,7.1,18.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-09,,3.8,23.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-09,,3.9,19.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-09,,4.9,19.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-09,,4.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-10,,2.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-10,,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-10,,3.1,22.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-10,,4.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-10,,4.7,19.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-10,,4.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-11,,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-11,,7.3,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-11,,6.2,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-11,,4.4,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-11,,6.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-11,,4.6,9.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-12,,3.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-12,,7.2,19.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-12,,6.8,19.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-12,,4.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-12,,6.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-12,,4.4,9.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-13,,3.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-13,,8.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-13,,7.4,19.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-13,,6.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-13,,6.2,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-13,,4.3,9.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-14,,3.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-14,,6.1,12.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-14,,9.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-14,,7.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-14,,6.0,18.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-14,,4.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-15,,3.1,9.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-15,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-15,,9.7,19.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-15,,7.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-15,,6.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-15,,4.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-16,,3.4,10.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-16,,3.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-16,,8.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-16,,7.9,19.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-16,,5.3,18.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-16,,4.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-17,,3.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-17,,2.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-17,,7.2,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-17,,7.6,24.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-17,,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-17,,4.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-18,,3.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-18,,2.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-18,,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-18,,7.5,24.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-18,,4.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-18,,4.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-19,,3.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-19,,1.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-19,,5.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-19,,7.4,24.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-19,,4.3,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-19,,4.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-20,,3.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-20,,1.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-20,,3.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-20,,7.7,24.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-20,,4.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-20,,4.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-21,,4.0,11.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-21,,1.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-21,,3.7,14.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-21,,6.8,23.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-21,,4.1,16.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-21,,4.8,8.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-22,,4.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-22,,1.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-22,,3.6,14.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-22,,4.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-22,,4.4,16.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-22,,4.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-23,,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-23,,2.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-23,,3.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-23,,6.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-23,,4.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-23,,4.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-24,,3.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-24,,3.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-24,,2.7,19.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-24,,6.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-24,,6.7,19.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-24,,4.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-25,,3.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-25,,3.5,8.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-25,,3.7,23.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-25,,6.8,16.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-25,,6.0,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-25,,4.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-26,,3.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-26,,4.4,11.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-26,,5.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-26,,7.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-26,,6.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-26,,4.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-27,,3.8,11.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-27,,6.9,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-27,,6.8,20.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-27,,7.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-27,,6.3,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-27,,4.6,7.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-28,,4.0,11.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-02-28,,9.7,24.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-28,,6.0,22.3,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-28,,7.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-28,,6.4,17.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-28,,4.4,7.2,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-29,,4.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-29,,7.0,22.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-29,,7.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-29,,6.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-29,,4.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-30,,4.8,11.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-30,,8.2,22.7,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-04-30,,6.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-30,,6.5,14.4,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-06-30,,4.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-01-31,,4.4,11.8,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-03-31,,11.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,
BENTRAI,2006-05-31,,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
