code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
LOCTHUAN,2007-01-01,,0.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-02-01,,2.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-03-01,,2.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-04-01,,5.2,10.8,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-05-01,,4.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-06-01,,1.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-01-02,,0.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-02-02,,1.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-03-02,,2.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-04-02,,4.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-05-02,,3.8,8.1,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-06-02,,1.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-01-03,,0.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-02-03,,1.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-03-03,,2.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-04-03,,5.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-05-03,,5.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-06-03,,1.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-01-04,,0.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,
LOCTHUAN,2007-02-04,,1.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,
