code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
SONDOC,2009-01-01,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-01,,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-01,,0.4,4.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-01,,0.9,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-01,,3.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-01,,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-02,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-02,,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-02,,1.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-02,,4.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-02,,2.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-02,,0.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-03,,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-03,,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-03,,1.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-03,,1.3,10.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-03,,2.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-03,,0.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-04,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-04,,0.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-04,,1.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-04,,1.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-04,,2.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-04,,0.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-05,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-05,,0.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-05,,0.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-05,,1.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-05,,2.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-05,,0.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-06,,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-06,,0.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-06,,0.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-06,,2.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-06,,2.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-06,,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-07,,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-02-07,,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-03-07,,0.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-04-07,,2.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-05-07,,2.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-06-07,,0.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,
SONDOC,2009-01-08,,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
