code,date,time,min,max,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
BINHDAI,2010-01-01,,3.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-01,,3.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-01,,6.5,19.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-01,,14.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-01,,11.1,23.4,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-01,,7.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-02,,3.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-02,,3.9,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-02,,7.0,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-02,,12.1,25.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-02,,10.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-02,,6.8,19.1,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-03,,3.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-03,,3.4,16.3,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-03,,7.1,18.2,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-03,,11.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-03,,8.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-03,,6.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-04,,3.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-02-04,,3.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-03-04,,6.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-04-04,,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-05-04,,9.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-06-04,,6.3,18.8,,,,,,,,,,,,,,,,,,,,,,,,
BINHDAI,2010-01-05,,3.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,
