code,date,min,max
GIAOHOA,2016-01-01,0.2,1.0
GIAOHOA,2016-01-02,0.6,3.1
GIAOHOA,2016-01-03,0.3,1.4
GIAOHOA,2016-01-04,1.1,5.0
GIAOHOA,2016-01-05,1.2,6.1
GIAOHOA,2016-01-06,1.0,4.7
GIAOHOA,2016-01-07,0.7,4.2
GIAOHOA,2016-01-08,0.8,4.4
GIAOHOA,2016-01-09,0.8,4.5
GIAOHOA,2016-01-10,1.0,4.7
GIAOHOA,2016-01-11,1.0,4.6
GIAOHOA,2016-01-12,1.2,5.2
GIAOHOA,2016-01-13,1.5,5.7
GIAOHOA,2016-01-14,1.5,5.8
GIAOHOA,2016-01-15,1.4,5.1
GIAOHOA,2016-01-16,1.4,5.1
GIAOHOA,2016-01-17,1.2,3.6
GIAOHOA,2016-01-18,1.2,3.5
GIAOHOA,2016-01-19,1.2,3.5
GIAOHOA,2016-01-20,0.8,2.7
GIAOHOA,2016-01-21,0.8,2.5
GIAOHOA,2016-01-22,0.9,3.2
GIAOHOA,2016-01-23,1.1,3.6
GIAOHOA,2016-01-24,1.2,3.2
GIAOHOA,2016-01-25,1.4,5.9
GIAOHOA,2016-01-26,1.5,6.2
GIAOHOA,2016-01-27,1.3,5.0
GIAOHOA,2016-01-28,1.1,4.2
GIAOHOA,2016-01-29,1.0,4.8
GIAOHOA,2016-01-30,1.4,3.8
GIAOHOA,2016-01-31,2.0,3.7
GIAOHOA,2016-02-01,1.8,4.2
GIAOHOA,2016-02-02,1.6,3.7
GIAOHOA,2016-02-03,1.4,3.7
GIAOHOA,2016-02-04,1.7,7.0
GIAOHOA,2016-02-05,1.7,6.5
GIAOHOA,2016-02-06,1.8,5.6
GIAOHOA,2016-02-07,2.2,5.3
GIAOHOA,2016-02-08,1.7,4.5
GIAOHOA,2016-02-09,2.1,6.4
GIAOHOA,2016-02-10,2.3,6.3
GIAOHOA,2016-02-11,1.9,4.2
GIAOHOA,2016-02-12,1.8,4.6
GIAOHOA,2016-02-13,2.0,4.6
GIAOHOA,2016-02-14,1.8,3.4
GIAOHOA,2016-02-15,1.7,2.8
GIAOHOA,2016-02-16,1.7,2.5
GIAOHOA,2016-02-17,1.6,2.5
GIAOHOA,2016-02-18,1.1,2.3
GIAOHOA,2016-02-19,1.1,2.2
GIAOHOA,2016-02-20,1.7,3.4
GIAOHOA,2016-02-21,1.9,5.7
GIAOHOA,2016-02-22,2.2,6.3
GIAOHOA,2016-02-23,2.1,5.6
GIAOHOA,2016-02-24,2.4,7.6
GIAOHOA,2016-02-25,2.3,5.6
GIAOHOA,2016-02-26,2.9,7.0
GIAOHOA,2016-02-27,2.3,6.6
GIAOHOA,2016-02-28,3.8,6.8
GIAOHOA,2016-02-29,3.8,6.4
GIAOHOA,2016-03-01,3.7,6.5
GIAOHOA,2016-03-02,2.0,5.0
GIAOHOA,2016-03-03,1.9,4.8
GIAOHOA,2016-03-04,1.4,5.0
GIAOHOA,2016-03-05,3.4,7.4
GIAOHOA,2016-03-06,3.3,7.4
GIAOHOA,2016-03-07,3.1,7.8
GIAOHOA,2016-03-08,3.0,7.2
GIAOHOA,2016-03-09,3.4,7.6
GIAOHOA,2016-03-10,3.4,7.4
GIAOHOA,2016-03-11,4.3,8.0
GIAOHOA,2016-03-12,4.8,8.5
GIAOHOA,2016-03-13,5.3,8.7
GIAOHOA,2016-03-14,4.6,8.6
GIAOHOA,2016-03-15,4.7,8.5
