code,date,min,max
MYHOA,2017-01-01,0.1,0.1
MYHOA,2017-01-02,0.1,0.1
MYHOA,2017-01-03,0.1,0.1
MYHOA,2017-01-04,0.1,0.1
MYHOA,2017-01-05,0.1,0.1
MYHOA,2017-01-06,0.1,0.1
MYHOA,2017-01-07,0.1,0.1
MYHOA,2017-01-08,0.1,0.1
MYHOA,2017-01-09,0.1,0.1
MYHOA,2017-01-10,0.1,0.1
MYHOA,2017-01-11,0.1,0.1
MYHOA,2017-01-12,0.1,0.1
MYHOA,2017-01-13,0.1,0.1
MYHOA,2017-01-14,0.1,0.1
MYHOA,2017-01-15,0.1,0.1
MYHOA,2017-01-16,0.1,0.1
MYHOA,2017-01-17,0.1,0.1
MYHOA,2017-01-18,0.1,0.1
MYHOA,2017-01-19,0.1,0.1
MYHOA,2017-01-20,0.1,0.1
MYHOA,2017-01-21,0.1,0.1
MYHOA,2017-01-22,0.1,0.1
MYHOA,2017-01-23,0.1,0.1
MYHOA,2017-01-24,0.2,0.2
MYHOA,2017-01-25,0.4,0.4
MYHOA,2017-01-26,0.6,0.6
MYHOA,2017-01-27,0.9,1.5
MYHOA,2017-01-28,0.7,1.7
MYHOA,2017-01-29,0.3,0.6
MYHOA,2017-01-30,0.2,0.3
MYHOA,2017-01-31,0.3,0.3
MYHOA,2017-02-01,,0.3
MYHOA,2017-02-02,,0.2
MYHOA,2017-02-03,,0.1
MYHOA,2017-02-04,,0.1
MYHOA,2017-02-05,,0.1
MYHOA,2017-02-06,,0.1
MYHOA,2017-02-07,,0.1
MYHOA,2017-02-08,,0.1
MYHOA,2017-02-09,,0.1
MYHOA,2017-02-10,,0.1
MYHOA,2017-02-11,,0.2
MYHOA,2017-02-12,,0.3
MYHOA,2017-02-13,,0.3
MYHOA,2017-02-14,,0.4
MYHOA,2017-02-15,,0.4
MYHOA,2017-02-16,,0.3
MYHOA,2017-02-17,,0.3
MYHOA,2017-02-18,,0.3
MYHOA,2017-02-19,,0.2
MYHOA,2017-02-20,,0.3
MYHOA,2017-02-21,,0.3
MYHOA,2017-02-22,,0.9
MYHOA,2017-02-23,,0.9
MYHOA,2017-02-24,,1.0
MYHOA,2017-02-25,,1.4
MYHOA,2017-02-26,,1.9
MYHOA,2017-02-27,,2.1
MYHOA,2017-02-28,,2.6
MYHOA,2017-03-01,,2.6
MYHOA,2017-03-02,,2.3
MYHOA,2017-03-03,,2.5
MYHOA,2017-03-04,,1.9
MYHOA,2017-03-05,,0.9
MYHOA,2017-03-06,,0.9
MYHOA,2017-03-07,,0.3
MYHOA,2017-03-08,,0.4
MYHOA,2017-03-09,,0.4
MYHOA,2017-03-10,,0.4
MYHOA,2017-03-11,,0.4
MYHOA,2017-03-12,,0.4
MYHOA,2017-03-13,,0.4
MYHOA,2017-03-14,,0.3
MYHOA,2017-03-15,,0.3
MYHOA,2017-03-16,,0.3
MYHOA,2017-03-17,,0.2
MYHOA,2017-03-18,,0.2
MYHOA,2017-03-19,,0.2
MYHOA,2017-03-20,,0.1
MYHOA,2017-03-21,,0.1
MYHOA,2017-03-22,,0.1
MYHOA,2017-03-23,,0.1
MYHOA,2017-03-24,,0.1
MYHOA,2017-03-25,,0.2
MYHOA,2017-03-26,,0.4
MYHOA,2017-03-27,,0.8
MYHOA,2017-03-28,,1.0
MYHOA,2017-03-29,,1.1
MYHOA,2017-03-30,,1.2
MYHOA,2017-03-31,,1.0
MYHOA,2017-04-01,,0.7
MYHOA,2017-04-02,,0.7
MYHOA,2017-04-03,,0.6
MYHOA,2017-04-04,,0.6
MYHOA,2017-04-05,,0.5
MYHOA,2017-04-06,,0.4
MYHOA,2017-04-07,,0.4
MYHOA,2017-04-08,,0.4
MYHOA,2017-04-09,,0.4
MYHOA,2017-04-10,,0.4
MYHOA,2017-04-11,,0.2
MYHOA,2017-04-12,,0.2
MYHOA,2017-04-13,,0.2
MYHOA,2017-04-14,,0.2
MYHOA,2017-04-15,,0.2
MYHOA,2017-04-16,,0.2
MYHOA,2017-04-17,,0.2
MYHOA,2017-04-18,,0.1
MYHOA,2017-04-19,,0.1
MYHOA,2017-04-20,,0.1
MYHOA,2017-04-21,,0.1
MYHOA,2017-04-22,,0.6
MYHOA,2017-04-23,,1.5
MYHOA,2017-04-24,,1.6
MYHOA,2017-04-25,,1.6
MYHOA,2017-04-26,,1.8
MYHOA,2017-04-27,,1.7
MYHOA,2017-04-28,,1.8
MYHOA,2017-04-29,,1.5
MYHOA,2017-04-30,,1.2
MYHOA,2017-05-01,,1.0
MYHOA,2017-05-02,,0.6
MYHOA,2017-05-03,,0.4
MYHOA,2017-05-04,,0.3
MYHOA,2017-05-05,,0.2
MYHOA,2017-05-06,,0.2
MYHOA,2017-05-07,,0.2
