code,date,min,max
CAMSON,2018-01-01,0.1,0.1
CAMSON,2018-01-02,0.1,0.1
CAMSON,2018-01-03,0.1,0.1
CAMSON,2018-01-04,0.1,0.1
CAMSON,2018-01-05,0.1,0.1
CAMSON,2018-01-06,0.1,0.1
CAMSON,2018-01-07,0.1,0.1
CAMSON,2018-01-08,0.1,0.1
CAMSON,2018-01-09,0.1,0.1
CAMSON,2018-01-10,0.1,0.1
CAMSON,2018-01-11,0.1,0.1
CAMSON,2018-01-12,0.1,0.1
CAMSON,2018-01-13,0.1,0.1
CAMSON,2018-01-14,0.1,0.3
CAMSON,2018-01-15,0.1,0.3
CAMSON,2018-01-16,0.06,0.1
CAMSON,2018-01-17,0.05,0.07
CAMSON,2018-01-18,0.08,0.09
CAMSON,2018-01-19,0.09,0.1
CAMSON,2018-01-20,0.1,0.12
CAMSON,2018-01-21,0.17,0.24
CAMSON,2018-01-22,0.2,0.21
CAMSON,2018-01-23,0.32,0.33
CAMSON,2018-01-24,0.27,0.28
CAMSON,2018-01-25,0.31,0.33
CAMSON,2018-01-26,0.38,0.4
CAMSON,2018-01-27,0.39,0.48
CAMSON,2018-01-28,0.47,0.49
CAMSON,2018-01-29,0.44,0.46
CAMSON,2018-01-30,0.28,0.3
CAMSON,2018-01-31,0.29,0.3
CAMSON,2018-02-01,0.24,0.28
CAMSON,2018-02-02,0.29,0.33
CAMSON,2018-02-03,0.31,0.32
CAMSON,2018-02-04,0.27,0.3
CAMSON,2018-02-05,0.31,0.34
CAMSON,2018-02-06,0.33,0.39
CAMSON,2018-02-07,0.38,0.38
CAMSON,2018-02-08,0.41,0.45
CAMSON,2018-02-09,0.48,0.49
CAMSON,2018-02-10,0.51,0.58
CAMSON,2018-02-11,0.59,0.63
CAMSON,2018-02-12,0.61,0.69
CAMSON,2018-02-13,0.65,0.7
CAMSON,2018-02-14,0.61,0.63
CAMSON,2018-02-15,0.59,0.6
CAMSON,2018-02-16,0.59,0.59
CAMSON,2018-02-17,0.58,0.59
CAMSON,2018-02-18,0.53,0.55
CAMSON,2018-02-19,0.51,0.53
CAMSON,2018-02-20,0.45,0.51
CAMSON,2018-02-21,0.44,0.49
CAMSON,2018-02-22,0.45,0.5
CAMSON,2018-02-23,0.45,0.52
CAMSON,2018-02-24,0.46,0.53
CAMSON,2018-02-25,0.48,0.54
CAMSON,2018-02-26,0.5,0.55
CAMSON,2018-02-27,0.55,0.75
CAMSON,2018-02-28,0.6,0.76
