code,date,min,max
LOCTHUAN,2018-01-01,1.0,1.3
LOCTHUAN,2018-01-02,1.0,1.5
LOCTHUAN,2018-01-03,1.2,1.4
LOCTHUAN,2018-01-04,0.0,1.6
LOCTHUAN,2018-01-05,0.0,0.0
LOCTHUAN,2018-01-06,0.0,1.6
LOCTHUAN,2018-01-07,1.1,1.6
LOCTHUAN,2018-01-08,1.0,1.7
LOCTHUAN,2018-01-09,0.0,1.3
LOCTHUAN,2018-01-10,0.0,0.0
LOCTHUAN,2018-01-11,0.0,1.0
LOCTHUAN,2018-01-12,1.0,1.8
LOCTHUAN,2018-01-13,1.0,1.6
LOCTHUAN,2018-01-14,1.0,1.2
LOCTHUAN,2018-01-15,1.0,1.0
LOCTHUAN,2018-01-16,1.5,1.6
LOCTHUAN,2018-01-17,1.6,1.7
LOCTHUAN,2018-01-18,1.6,1.9
LOCTHUAN,2018-01-19,0.0,1.5
LOCTHUAN,2018-01-20,0.0,1.0
LOCTHUAN,2018-01-21,0.0,1.2
LOCTHUAN,2018-01-22,0.0,1.3
LOCTHUAN,2018-01-23,1.3,1.6
LOCTHUAN,2018-01-24,0.0,1.3
LOCTHUAN,2018-01-25,0.0,1.5
LOCTHUAN,2018-01-26,1.6,1.8
LOCTHUAN,2018-01-27,0.0,1.7
LOCTHUAN,2018-01-28,0.0,1.6
LOCTHUAN,2018-01-29,1.0,1.8
LOCTHUAN,2018-01-30,1.2,2.4
LOCTHUAN,2018-01-31,1.1,2.0
LOCTHUAN,2018-02-01,0.5,2.0
LOCTHUAN,2018-02-02,2.5,2.9
LOCTHUAN,2018-02-03,1.8,2.2
LOCTHUAN,2018-02-04,1.8,2.9
LOCTHUAN,2018-02-05,2.0,2.3
LOCTHUAN,2018-02-06,1.6,1.9
LOCTHUAN,2018-02-07,1.8,2.0
LOCTHUAN,2018-02-08,1.5,2.1
LOCTHUAN,2018-02-09,1.7,1.8
LOCTHUAN,2018-02-10,1.3,1.4
LOCTHUAN,2018-02-11,1.4,1.5
LOCTHUAN,2018-02-12,1.5,1.9
LOCTHUAN,2018-02-13,2.2,2.3
LOCTHUAN,2018-02-14,1.0,2.0
LOCTHUAN,2018-02-15,1.0,1.6
LOCTHUAN,2018-02-16,2.2,2.7
LOCTHUAN,2018-02-17,2.0,2.5
LOCTHUAN,2018-02-18,2.4,2.9
LOCTHUAN,2018-02-19,2.3,2.6
LOCTHUAN,2018-02-20,3.0,3.5
LOCTHUAN,2018-02-21,3.2,4.9
LOCTHUAN,2018-02-22,4.5,6.3
LOCTHUAN,2018-02-23,4.0,5.9
LOCTHUAN,2018-02-24,5.6,6.3
LOCTHUAN,2018-02-25,3.4,5.0
LOCTHUAN,2018-02-26,2.8,4.2
LOCTHUAN,2018-02-27,2.0,3.8
LOCTHUAN,2018-02-28,2.8,3.0
LOCTHUAN,2018-03-01,4.6,10.7
LOCTHUAN,2018-03-02,8.0,11.2
LOCTHUAN,2018-03-03,6.5,10.5
LOCTHUAN,2018-03-04,5.0,6.7
LOCTHUAN,2018-03-05,2.0,6.1
LOCTHUAN,2018-03-06,3.4,6.5
LOCTHUAN,2018-03-07,3.5,6.0
LOCTHUAN,2018-03-08,6.0,9.0
LOCTHUAN,2018-03-09,3.5,8.0
LOCTHUAN,2018-03-10,3.0,9.0
LOCTHUAN,2018-03-11,3.0,7.0
LOCTHUAN,2018-03-12,3.0,8.0
LOCTHUAN,2018-03-13,2.5,8.3
LOCTHUAN,2018-03-14,7.3,7.3
LOCTHUAN,2018-03-15,7.0,7.2
LOCTHUAN,2018-03-16,6.0,6.0
LOCTHUAN,2018-03-17,6.0,6.1
LOCTHUAN,2018-03-18,6.0,7.0
LOCTHUAN,2018-03-19,4.0,9.3
LOCTHUAN,2018-03-20,8.0,8.9
LOCTHUAN,2018-03-21,3.0,9.3
LOCTHUAN,2018-03-22,2.5,8.0
LOCTHUAN,2018-03-23,3.6,7.0
LOCTHUAN,2018-03-24,3.5,6.0
LOCTHUAN,2018-03-25,3.2,8.0
LOCTHUAN,2018-03-26,2.1,9.7
LOCTHUAN,2018-03-27,3.0,8.7
LOCTHUAN,2018-03-28,2.0,8.0
LOCTHUAN,2018-03-29,3.0,7.0
LOCTHUAN,2018-03-30,3.5,7.5
LOCTHUAN,2018-03-31,3.6,6.7
LOCTHUAN,2018-04-01,10.5,11.0
LOCTHUAN,2018-04-02,8.1,9.0
LOCTHUAN,2018-04-03,6.7,9.0
LOCTHUAN,2018-04-04,6.2,8.0
LOCTHUAN,2018-04-05,5.8,6.4
LOCTHUAN,2018-04-06,6.2,6.3
LOCTHUAN,2018-04-07,7.0,7.8
LOCTHUAN,2018-04-08,7.0,8.0
LOCTHUAN,2018-04-09,6.0,10.3
LOCTHUAN,2018-04-10,5.5,11.2
LOCTHUAN,2018-04-11,8.0,11.7
LOCTHUAN,2018-04-12,6.5,8.5
LOCTHUAN,2018-04-13,5.2,8.5
LOCTHUAN,2018-04-14,4.6,7.4
LOCTHUAN,2018-04-15,7.6,8.5
LOCTHUAN,2018-04-16,7.2,9.4
LOCTHUAN,2018-04-17,8.2,10.0
LOCTHUAN,2018-04-18,8.6,11.0
LOCTHUAN,2018-04-19,8.6,9.2
LOCTHUAN,2018-04-20,7.6,9.1
LOCTHUAN,2018-04-21,7.5,8.0
LOCTHUAN,2018-04-22,8.6,10.0
LOCTHUAN,2018-04-23,5.6,7.7
LOCTHUAN,2018-04-24,5.7,8.0
LOCTHUAN,2018-04-25,5.2,8.4
LOCTHUAN,2018-04-26,4.8,8.2
LOCTHUAN,2018-04-27,7.6,8.2
LOCTHUAN,2018-04-28,6.4,7.5
LOCTHUAN,2018-04-29,7.1,9.4
LOCTHUAN,2018-04-30,6.9,10.6
LOCTHUAN,2018-05-01,0.0,0.0
LOCTHUAN,2018-05-02,0.0,0.0
LOCTHUAN,2018-05-03,0.0,0.0
LOCTHUAN,2018-05-04,0.0,0.0
LOCTHUAN,2018-05-05,0.0,0.0
LOCTHUAN,2018-05-06,0.0,0.0
LOCTHUAN,2018-05-07,0.0,0.0
LOCTHUAN,2018-05-08,0.0,0.0
LOCTHUAN,2018-05-09,0.0,0.0
LOCTHUAN,2018-05-10,0.0,0.0
LOCTHUAN,2018-05-11,0.0,0.0
LOCTHUAN,2018-05-12,0.0,0.0
LOCTHUAN,2018-05-13,0.0,0.0
LOCTHUAN,2018-05-14,0.0,0.0
LOCTHUAN,2018-05-15,0.0,0.0
LOCTHUAN,2018-05-16,0.0,0.0
LOCTHUAN,2018-05-17,0.0,0.0
LOCTHUAN,2018-05-18,0.0,0.0
LOCTHUAN,2018-05-19,0.0,0.0
LOCTHUAN,2018-05-20,0.0,0.0
LOCTHUAN,2018-05-21,0.0,0.0
LOCTHUAN,2018-05-22,0.0,0.0
LOCTHUAN,2018-05-23,0.0,0.0
LOCTHUAN,2018-05-24,0.0,0.0
LOCTHUAN,2018-05-25,0.0,0.0
LOCTHUAN,2018-05-26,0.0,0.0
LOCTHUAN,2018-05-27,0.0,0.0
LOCTHUAN,2018-05-28,0.0,0.0
LOCTHUAN,2018-05-29,0.0,0.0
LOCTHUAN,2018-05-30,0.0,0.0
LOCTHUAN,2018-05-31,0.0,0.0
