code,date,min,max
MOCAY,2018-01-01,0.02,0.02
MOCAY,2018-01-02,0.02,0.02
MOCAY,2018-01-03,0.02,0.02
MOCAY,2018-01-04,0.02,0.02
MOCAY,2018-01-05,0.02,0.02
MOCAY,2018-01-06,0.02,0.02
MOCAY,2018-01-07,0.02,0.02
MOCAY,2018-01-08,0.02,0.02
MOCAY,2018-01-09,0.03,0.03
MOCAY,2018-01-10,0.024444444,0.03
MOCAY,2018-01-11,0.02511111,0.03
MOCAY,2018-01-12,0.025777778,0.03
MOCAY,2018-01-13,0.026444444,0.03
MOCAY,2018-01-14,0.027111111,0.03
MOCAY,2018-01-15,0.027777778,0.03
MOCAY,2018-01-16,0.02,0.02
MOCAY,2018-01-17,0.02,0.02
MOCAY,2018-01-18,0.02,0.02
MOCAY,2018-01-19,0.02,0.02
MOCAY,2018-01-20,0.02,0.02
MOCAY,2018-01-21,0.02,0.02
MOCAY,2018-01-22,0.02,0.02
MOCAY,2018-01-23,0.02,0.02
MOCAY,2018-01-24,0.03,0.03
MOCAY,2018-01-25,0.03,0.03
MOCAY,2018-01-26,0.03,0.03
MOCAY,2018-01-27,0.03,0.03
MOCAY,2018-01-28,0.03,0.03
MOCAY,2018-01-29,0.04,0.05
MOCAY,2018-01-30,0.05,0.05
MOCAY,2018-01-31,0.05,0.05
MOCAY,2018-02-01,0.06,0.06
MOCAY,2018-02-02,0.06,0.06
MOCAY,2018-02-03,0.06,0.07
MOCAY,2018-02-04,0.07,0.08
MOCAY,2018-02-05,0.07,0.07
MOCAY,2018-02-06,0.07,0.07
MOCAY,2018-02-07,0.07,0.07
MOCAY,2018-02-08,0.07,0.08
MOCAY,2018-02-09,0.07,0.08
MOCAY,2018-02-10,0.07,0.08
MOCAY,2018-02-11,0.08,0.08
MOCAY,2018-02-12,0.08,0.08
MOCAY,2018-02-13,0.1,0.1
MOCAY,2018-02-14,0.1,0.1
MOCAY,2018-02-15,0.09,0.1
MOCAY,2018-02-16,0.06,0.07
MOCAY,2018-02-17,0.07,0.07
MOCAY,2018-02-18,0.06,0.06
MOCAY,2018-02-19,0.08,0.1
MOCAY,2018-02-20,0.07,0.09
MOCAY,2018-02-21,0.11,0.13
MOCAY,2018-02-22,0.12,0.12
MOCAY,2018-02-23,0.15,0.15
MOCAY,2018-02-24,0.16,0.16
MOCAY,2018-02-25,0.15,0.15
MOCAY,2018-02-26,0.15,0.16
MOCAY,2018-02-27,0.15,0.15
MOCAY,2018-02-28,0.15,0.15
MOCAY,2018-03-01,0.18,0.2
MOCAY,2018-03-02,0.18,0.19
MOCAY,2018-03-03,0.17,0.18
MOCAY,2018-03-04,0.17,0.17
MOCAY,2018-03-05,0.25,0.32
MOCAY,2018-03-06,0.27,0.3
MOCAY,2018-03-07,0.3,0.33
MOCAY,2018-03-08,0.33,0.4
MOCAY,2018-03-09,0.4,0.42
MOCAY,2018-03-10,0.4,0.43
MOCAY,2018-03-11,0.5,0.55
MOCAY,2018-03-12,0.6,0.7
MOCAY,2018-03-13,0.83,1.1
MOCAY,2018-03-14,1.2,1.8
MOCAY,2018-03-15,1.51,2.15
MOCAY,2018-03-16,2.3,2.35
MOCAY,2018-03-17,1.93,2.1
MOCAY,2018-03-18,1.73,1.8
MOCAY,2018-03-19,1.45,1.62
MOCAY,2018-03-20,1.3,1.5
MOCAY,2018-03-21,1.1,1.25
MOCAY,2018-03-22,1.52,1.81
MOCAY,2018-03-23,1.6,1.83
MOCAY,2018-03-24,1.72,1.75
MOCAY,2018-03-25,1.73,1.81
MOCAY,2018-03-26,1.68,1.71
MOCAY,2018-03-27,1.73,1.8
MOCAY,2018-03-28,1.63,1.9
MOCAY,2018-03-29,1.54,1.82
MOCAY,2018-03-30,1.71,2.1
MOCAY,2018-03-31,1.73,1.97
MOCAY,2018-04-01,1.9,2.12
MOCAY,2018-04-02,2.1,2.3
MOCAY,2018-04-03,1.6,2.1
MOCAY,2018-04-04,1.7,2.2
MOCAY,2018-04-05,1.5,2.0
MOCAY,2018-04-06,1.5,2.1
MOCAY,2018-04-07,1.6,2.1
MOCAY,2018-04-08,1.8,2.0
MOCAY,2018-04-09,1.7,2.1
MOCAY,2018-04-10,1.8,2.2
MOCAY,2018-04-11,1.7,2.3
MOCAY,2018-04-12,2.0,2.1
MOCAY,2018-04-13,2.1,2.3
MOCAY,2018-04-14,1.9,2.2
MOCAY,2018-04-15,1.8,1.9
MOCAY,2018-04-16,1.6,1.9
MOCAY,2018-04-17,1.4,2.1
MOCAY,2018-04-18,1.8,2.3
MOCAY,2018-04-19,1.6,1.9
MOCAY,2018-04-20,1.2,1.6
MOCAY,2018-04-21,0.7,1.7
MOCAY,2018-04-22,0.9,1.6
MOCAY,2018-04-23,0.9,1.4
MOCAY,2018-04-24,0.8,1.3
MOCAY,2018-04-25,0.7,1.2
MOCAY,2018-04-26,0.63,1.15
MOCAY,2018-04-27,0.7,1.0
MOCAY,2018-04-28,0.68,1.1
MOCAY,2018-04-29,0.7,1.15
MOCAY,2018-04-30,0.6,0.9
MOCAY,2018-05-01,0.58,0.9
MOCAY,2018-05-02,0.6,0.85
MOCAY,2018-05-03,0.52,1.1
MOCAY,2018-05-04,0.6,0.9
MOCAY,2018-05-05,0.45,0.83
MOCAY,2018-05-06,0.4,0.5
MOCAY,2018-05-07,0.35,0.4
MOCAY,2018-05-08,0.3,0.37
MOCAY,2018-05-09,0.2,0.3
MOCAY,2018-05-10,0.5,0.95
MOCAY,2018-05-11,1.1,1.35
MOCAY,2018-05-12,0.75,1.4
MOCAY,2018-05-13,0.5,1.0
MOCAY,2018-05-14,0.52,1.1
MOCAY,2018-05-15,0.48,0.9
MOCAY,2018-05-16,0.4,0.75
MOCAY,2018-05-17,0.41,0.8
MOCAY,2018-05-18,0.3,0.72
MOCAY,2018-05-19,0.28,0.47
MOCAY,2018-05-20,0.25,0.4
MOCAY,2018-05-21,0.29,0.38
MOCAY,2018-05-22,0.2,0.28
MOCAY,2018-05-23,0.2,0.2
