code,date,min,max
SONDOC,2018-01-01,0.0,0.0
SONDOC,2018-01-02,0.0,0.0
SONDOC,2018-01-03,0.0,0.0
SONDOC,2018-01-04,0.0,0.0
SONDOC,2018-01-05,0.0,0.0
SONDOC,2018-01-06,0.0,0.0
SONDOC,2018-01-07,0.0,0.0
SONDOC,2018-01-08,0.0,0.0
SONDOC,2018-01-09,0.0,0.0
SONDOC,2018-01-10,0.0,0.0
SONDOC,2018-01-11,0.0,0.0
SONDOC,2018-01-12,0.0,0.0
SONDOC,2018-01-13,0.0,0.0
SONDOC,2018-01-14,0.0,0.0
SONDOC,2018-01-15,0.0,0.0
SONDOC,2018-01-16,0.0,0.0
SONDOC,2018-01-17,0.0,0.0
SONDOC,2018-01-18,0.0,0.0
SONDOC,2018-01-19,0.0,0.0
SONDOC,2018-01-20,0.0,0.0
SONDOC,2018-01-21,0.0,0.0
SONDOC,2018-01-22,0.0,0.0
SONDOC,2018-01-23,0.0,0.0
SONDOC,2018-01-24,0.0,0.0
SONDOC,2018-01-25,0.0,0.2
SONDOC,2018-01-26,0.0,0.1
SONDOC,2018-01-27,0.0,0.1
SONDOC,2018-01-28,0.0,0.2
SONDOC,2018-01-29,0.0,0.1
SONDOC,2018-01-30,0.0,0.2
SONDOC,2018-01-31,0.0,0.1
SONDOC,2018-02-01,0.1,0.2
SONDOC,2018-02-02,0.0,0.3
SONDOC,2018-02-03,0.2,0.4
SONDOC,2018-02-04,0.1,0.3
SONDOC,2018-02-05,0.2,0.5
SONDOC,2018-02-06,0.2,0.4
SONDOC,2018-02-07,0.2,0.4
SONDOC,2018-02-08,0.1,0.5
SONDOC,2018-02-09,0.2,0.6
SONDOC,2018-02-10,0.1,0.4
SONDOC,2018-02-11,0.1,0.3
SONDOC,2018-02-12,2.5,5.3
SONDOC,2018-02-13,2.7,6.6
SONDOC,2018-02-14,3.0,5.7
SONDOC,2018-02-15,3.4,4.5
SONDOC,2018-02-16,2.0,3.5
SONDOC,2018-02-17,2.5,4.3
SONDOC,2018-02-18,2.4,4.3
SONDOC,2018-02-19,1.0,2.9
SONDOC,2018-02-20,1.1,2.6
SONDOC,2018-02-21,0.9,2.4
SONDOC,2018-02-22,0.7,1.7
SONDOC,2018-02-23,0.9,2.3
SONDOC,2018-02-24,0.8,1.2
SONDOC,2018-02-25,0.2,0.8
SONDOC,2018-02-26,1.1,2.4
SONDOC,2018-02-27,1.5,4.2
SONDOC,2018-02-28,2.7,5.8
SONDOC,2018-03-01,3.8,5.5
SONDOC,2018-03-02,4.2,7.1
SONDOC,2018-03-03,4.5,6.1
SONDOC,2018-03-04,3.5,4.6
SONDOC,2018-03-05,2.9,3.8
SONDOC,2018-03-06,2.7,3.6
SONDOC,2018-03-07,3.0,3.3
SONDOC,2018-03-08,2.5,3.2
SONDOC,2018-03-09,2.8,3.6
SONDOC,2018-03-10,3.0,4.2
SONDOC,2018-03-11,3.2,4.1
SONDOC,2018-03-12,4.2,7.1
SONDOC,2018-03-13,6.9,9.4
SONDOC,2018-03-14,7.5,10.5
SONDOC,2018-03-15,8.5,10.9
SONDOC,2018-03-16,7.5,10.2
SONDOC,2018-03-17,6.7,9.8
SONDOC,2018-03-18,7.9,9.2
SONDOC,2018-03-19,6.2,8.7
SONDOC,2018-03-20,7.1,8.9
SONDOC,2018-03-21,5.5,7.2
SONDOC,2018-03-22,8.1,10.0
SONDOC,2018-03-23,7.9,9.5
SONDOC,2018-03-24,6.5,8.9
SONDOC,2018-03-25,4.6,7.9
SONDOC,2018-03-26,5.2,8.1
SONDOC,2018-03-27,7.9,10.8
SONDOC,2018-03-28,6.0,9.6
SONDOC,2018-03-29,5.0,8.8
SONDOC,2018-03-30,7.2,9.8
SONDOC,2018-03-31,8.4,10.9
SONDOC,2018-04-01,8.2,12.1
SONDOC,2018-04-02,7.7,9.7
SONDOC,2018-04-03,6.8,9.5
