code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
LOCTHUAN,2012-02-01,0.4,2.0,1.0,0.6,0.4,0.7,1.2,1.4,1.1,0.8,0.5,0.9,1.5,2.0
LOCTHUAN,2012-02-02,1.1,2.375,1.7,1.4,1.1,1.4,1.825,2.1,1.6,1.175,1.1,1.5,1.9,2.375
LOCTHUAN,2012-02-03,0.9,2.5,2.2,1.5,0.9,1.25,1.8,2.4,1.9,1.5,1.1,1.6,2.1,2.5
LOCTHUAN,2012-02-09,1.0,3.5,1.3,1.7,2.2,1.8,1.4,1.0,1.9,2.7,3.5,3.0,2.5,2.0
LOCTHUAN,2012-02-10,1.5,3.9,2.6,3.4,3.9,2.8,2.2,1.6,2.1,2.5,3.1,2.4,2.0,1.5
LOCTHUAN,2012-02-11,1.2,3.7,2.4,3.0,3.7,2.6,1.7,1.2,2.1,2.6,3.3,2.3,1.8,1.3
LOCTHUAN,2012-02-15,0.6,1.7,1.4,1.0,0.7,0.9,1.1,1.6,1.3,1.0,0.6,0.8,1.2,1.7
LOCTHUAN,2012-02-16,0.5,1.6,1.1,0.8,0.5,0.9,1.2,1.5,1.3,1.1,0.8,1.2,1.4,1.6
LOCTHUAN,2012-02-17,0.4,1.5,1.2,0.7,0.4,0.8,1.1,1.4,1.0,0.9,0.7,1.1,1.3,1.5
LOCTHUAN,2012-02-20,2.5,5.0,4.2,4.8,3.9,3.1,2.5,3.3,4.3,5.0,4.6,3.7,3.2,3.8
LOCTHUAN,2012-02-21,2.9,5.6,4.7,5.4,4.0,3.6,2.9,3.5,4.5,5.6,5.0,4.4,3.8,3.3
LOCTHUAN,2012-02-22,3.5,6.0,3.7,4.9,5.8,5.2,4.5,3.6,4.0,5.1,6.0,5.3,4.4,3.5
LOCTHUAN,2012-03-02,0.8,2.5,1.9,1.5,0.8,1.2,1.7,2.2,2.0,1.6,1.3,1.8,2.3,2.5
LOCTHUAN,2012-03-03,1.0,2.5,1.9,1.4,1.0,1.6,2.0,2.4,2.3,1.8,1.5,1.3,1.7,2.5
LOCTHUAN,2012-03-04,1.2,3.0,3.0,2.4,1.8,1.2,1.7,2.3,2.8,2.6,1.9,1.6,2.0,2.7
LOCTHUAN,2012-03-09,2.5,5.4,2.9,4.1,5.0,4.3,3.4,2.5,3.6,4.5,5.4,4.7,4.0,3.1
LOCTHUAN,2012-03-10,3.3,7.3,4.2,5.1,6.0,4.9,3.9,3.3,4.6,5.9,7.3,6.2,5.3,4.4
LOCTHUAN,2012-03-11,3.8,8.0,5.7,6.9,8.0,6.5,5.6,3.8,4.8,6.2,7.8,7.0,5.8,4.7
LOCTHUAN,2012-03-16,3.5,9.6,6.3,4.9,3.5,5.4,6.3,8.6,8.0,7.4,6.2,7.1,8.2,9.6
LOCTHUAN,2012-03-17,2.9,10.4,10.4,8.5,5.2,2.9,4.3,5.9,7.2,5.5,4.7,3.2,4.0,5.6
LOCTHUAN,2012-03-18,2.5,7.0,7.0,6.1,4.4,2.5,3.9,4.8,6.9,5.3,4.6,2.7,4.1,5.0
LOCTHUAN,2012-03-23,1.9,4.9,2.5,3.4,4.7,4.0,2.9,2.2,2.7,3.6,4.9,3.9,2.6,1.9
