code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
BENTRAI,2013-02-03,3.4,17.0,6.4,5.3,3.4,4.2,6.5,7.2,6.8,5.1,6.1,10.5,17.0,10.2
BENTRAI,2013-02-04,3.0,10.0,7.0,5.5,3.6,3.0,3.9,4.3,6.6,4.5,4.0,5.6,10.0,9.0
BENTRAI,2013-02-05,2.9,8.1,7.7,6.0,4.6,2.9,3.7,5.5,7.0,5.8,5.0,4.6,6.0,8.1
BENTRAI,2013-02-10,9.1,27.2,16.0,25.9,23.4,15.4,11.9,9.1,10.3,18.3,27.2,27.0,17.1,13.2
BENTRAI,2013-02-11,9.0,23.8,14.9,22.5,20.4,14.1,10.8,9.0,9.3,14.3,21.0,23.8,17.7,13.3
BENTRAI,2013-02-12,9.6,26.0,12.6,19.0,25.0,23.1,14.3,11.2,9.6,13.2,21.5,26.0,18.5,14.4
BENTRAI,2013-02-19,2.3,5.4,5.4,5.0,3.4,2.3,2.4,2.7,3.6,4.2,3.8,3.2,3.0,3.3
BENTRAI,2013-02-20,3.2,9.1,4.0,5.8,5.4,3.7,3.2,5.0,6.6,8.5,9.1,8.6,6.0,6.2
BENTRAI,2013-02-21,5.7,15.4,7.0,7.6,7.8,7.3,5.7,11.3,13.3,15.4,15.2,13.4,13.3,14.3
BENTRAI,2013-02-27,16.1,26.9,18.0,20.4,26.9,24.9,20.0,16.3,16.4,22.2,25.4,25.8,20.5,16.1
BENTRAI,2013-02-28,14.2,26.2,16.1,20.5,23.5,24.5,19.3,15.6,14.2,17.7,22.4,26.2,21.1,16.0
BENTRAI,2013-03-01,13.0,24.3,13.0,16.6,22.5,24.2,20.6,16.0,13.2,14.7,22.0,24.3,21.5,18.4
BENTRAI,2013-03-05,7.4,16.6,13.4,9.8,7.4,10.4,15.1,16.0,14.5,12.53,13.2,14.4,16.6,14.6
BENTRAI,2013-03-06,5.9,16.4,11.6,10.2,7.2,5.9,7.1,12.7,14.5,12.9,13.9,14.8,16.4,15.7
BENTRAI,2013-03-07,6.7,24.7,11.5,10.7,8.6,7.6,6.7,13.4,21.0,21.0,24.7,17.2,18.0,23.7
BENTRAI,2013-03-11,10.5,23.2,18.0,23.2,22.0,16.5,12.8,10.5,13.8,18.8,23.1,20.1,16.2,12.6
BENTRAI,2013-03-12,11.6,23.6,15.1,21.0,23.4,19.9,13.6,11.6,12.9,19.5,23.6,21.9,16.7,12.7
BENTRAI,2013-03-13,11.4,21.7,13.6,19.9,21.7,20.5,14.9,11.4,11.6,16.2,20.5,21.7,17.5,13.6
BENTRAI,2013-03-19,4.9,16.1,8.6,6.5,4.9,9.8,13.4,14.2,11.3,11.9,13.4,16.1,12.7,10.9
BENTRAI,2013-03-20,5.2,16.3,8.6,6.6,5.2,6.1,10.5,16.3,14.3,12.1,12.4,12.7,13.7,11.1
BENTRAI,2013-03-21,4.3,17.2,9.2,7.1,5.5,4.3,5.0,12.5,17.2,13.9,14.2,14.3,14.6,9.2
BENTRAI,2013-03-28,10.0,19.3,10.7,17.5,19.3,17.6,13.3,10.0,10.4,15.8,18.5,17.8,14.1,10.1
BENTRAI,2013-03-29,9.3,20.1,9.3,14.3,20.1,20.0,14.6,10.0,10.9,13.6,17.4,18.4,14.1,10.4
BENTRAI,2013-03-30,8.7,20.3,8.7,11.7,18.0,20.3,18.6,12.3,9.0,12.9,19.1,20.3,16.0,11.8
BENTRAI,2013-04-04,4.75,18.325,8.65,7.15,5.125,4.75,10.725,15.325,18.325,17.05,16.475,15.275,16.175,13.625
BENTRAI,2013-04-05,3.5,18.075,9.575,7.65,3.775,3.5,3.675,11.15,16.05,18.075,17.55,13.025,12.25,13.025
BENTRAI,2013-04-06,3.475,17.475,10.125,7.775,7.5,4.475,3.475,7.175,14.05,17.475,15.825,11.425,9.525,9.325
BENTRAI,2013-04-11,8.2,22.275,10.025,16.75,22.275,19.675,14.275,8.2,10.5,17.45,20.75,19.525,13.425,9.325
BENTRAI,2013-04-12,9.425,22.25,9.425,17.325,21.65,21.7,15.85,11.0,11.9,16.275,22.25,22.0,17.25,11.075
BENTRAI,2013-04-13,6.0,24.75,9.2,11.325,20.9,24.75,18.025,13.025,11.175,14.025,22.275,20.025,11.275,6.0
BENTRAI,2013-04-18,3.6,14.0,4.175,3.775,3.6,6.15,10.825,14.0,11.625,11.075,11.225,11.175,9.55,6.95
BENTRAI,2013-04-19,2.875,15.925,4.95,3.725,2.95,2.875,11.0,15.925,11.525,10.925,12.85,10.05,9.125,4.125
