code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
SONDOC,2013-02-03,3.1,8.7,5.0,3.1,3.1,4.8,6.1,6.3,5.0,4.1,4.5,6.5,8.7,7.8
SONDOC,2013-02-04,2.9,7.5,5.9,3.8,2.9,3.5,4.7,5.5,5.1,4.1,3.9,3.8,6.8,7.5
SONDOC,2013-02-05,2.0,7.0,6.0,3.5,2.5,2.0,3.6,4.6,5.8,5.8,4.7,4.3,7.0,5.9
SONDOC,2013-02-10,3.2,12.3,5.0,12.3,12.3,7.3,6.8,3.2,3.7,7.5,8.1,7.1,7.4,7.6
SONDOC,2013-02-11,3.6,11.9,6.8,6.1,11.9,11.3,5.0,5.1,3.6,5.5,5.9,10.2,10.1,10.0
SONDOC,2013-02-12,4.8,16.7,10.3,11.3,11.2,16.7,15.2,5.9,4.8,6.0,6.1,8.2,8.0,9.0
SONDOC,2013-02-19,4.0,8.8,5.5,5.2,4.3,4.0,5.5,5.6,6.8,6.5,8.5,8.4,8.8,8.8
SONDOC,2013-02-20,3.9,11.1,5.5,5.5,4.0,3.9,5.6,5.6,10.0,10.6,10.7,11.1,11.0,10.1
SONDOC,2013-02-21,3.7,11.2,6.0,5.2,4.8,4.7,3.9,3.7,6.0,6.2,11.2,11.2,10.0,9.7
SONDOC,2013-02-27,10.1,17.8,10.2,10.8,17.8,17.8,10.2,10.1,13.5,13.4,14.8,15.6,16.2,16.6
SONDOC,2013-02-28,9.0,16.2,15.2,15.5,16.2,14.5,14.6,9.3,9.0,12.9,13.0,15.6,16.2,16.2
SONDOC,2013-03-01,10.0,14.2,10.2,10.0,10.1,14.2,11.0,11.0,13.5,10.6,11.0,13.7,13.8,13.5
SONDOC,2013-03-05,7.5,18.1,12.3,12.2,7.5,7.8,12.2,12.8,13.5,14.7,12.3,13.2,18.1,18.0
SONDOC,2013-03-06,11.2,19.3,14.0,14.0,13.7,13.7,11.3,11.2,13.4,13.5,15.6,15.8,17.7,19.3
SONDOC,2013-03-07,10.0,15.6,13.6,13.4,15.6,13.6,10.1,10.0,15.6,13.5,15.1,15.3,15.2,15.3
SONDOC,2013-03-11,8.8,16.2,14.2,14.3,16.2,15.4,11.2,8.8,11.2,14.3,16.2,15.6,12.3,12.2
SONDOC,2013-03-12,9.1,18.1,13.6,14.1,18.1,14.7,12.9,9.1,9.7,13.6,15.8,16.1,13.2,13.1
SONDOC,2013-03-13,9.6,15.6,10.0,13.6,15.1,15.4,12.9,9.6,10.0,13.5,12.4,15.6,14.6,14.5
SONDOC,2013-03-19,5.1,11.3,11.3,10.1,5.1,7.0,10.0,10.2,9.6,8.6,9.0,10.3,10.7,9.1
