code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
BINHDAI,2015-02-02,7.2,23.0,23.0,20.6,16.5,13.3,8.0,7.2,11.4,17.0,20.4,18.8,15.0,17.5
BINHDAI,2015-02-03,6.1,22.5,22.0,22.5,19.6,14.5,8.9,6.1,10.4,15.5,19.5,18.8,15.1,14.8
BINHDAI,2015-02-04,6.4,22.3,19.6,22.3,20.6,16.4,10.4,6.4,9.0,16.4,21.0,20.6,15.7,14.1
BINHDAI,2015-02-07,6.3,20.9,14.2,18.7,20.0,17.4,11.7,8.1,6.3,10.7,17.0,20.9,16.0,12.2
BINHDAI,2015-02-08,6.6,21.1,9.7,14.5,20.6,19.3,14.5,9.8,6.6,10.5,16.5,21.1,19.0,13.8
BINHDAI,2015-02-09,6.2,22.0,9.5,15.9,17.8,20.8,15.8,10.4,6.2,8.6,15.2,22.0,21.2,15.7
BINHDAI,2015-02-11,6.3,19.0,12.0,9.9,10.0,13.8,14.5,11.6,8.1,6.3,9.8,16.2,19.0,15.4
BINHDAI,2015-02-12,7.3,19.7,11.6,8.0,7.3,9.0,11.8,12.8,11.3,10.7,12.8,16.6,19.7,18.2
BINHDAI,2015-02-13,7.2,20.5,15.3,9.6,7.2,9.8,13.4,16.0,15.9,15.3,15.4,17.1,20.5,20.2
BINHDAI,2015-02-18,7.8,23.3,20.6,23.3,19.0,14.2,9.2,7.8,14.2,18.3,21.8,18.8,16.0,16.5
BINHDAI,2015-02-19,9.1,23.2,20.2,23.2,21.2,18.3,13.2,9.1,13.4,18.6,22.3,20.7,17.9,13.8
BINHDAI,2015-02-20,10.3,24.0,19.0,23.2,24.0,20.6,15.2,10.3,10.5,17.3,22.5,21.5,18.6,14.1
BINHDAI,2015-02-22,9.6,22.4,10.5,16.3,21.7,22.4,18.9,14.0,9.6,15.5,19.7,20.8,18.9,16.0
BINHDAI,2015-02-23,10.3,20.3,13.6,16.7,19.8,20.3,18.4,15.0,12.0,10.3,18.2,20.3,18.8,15.6
BINHDAI,2015-02-24,9.3,19.7,11.9,10.2,14.5,18.2,18.7,14.7,11.6,9.3,13.2,18.5,19.7,17.2
BINHDAI,2015-02-28,5.0,17.5,13.2,10.0,6.3,5.0,6.5,11.6,14.8,17.5,15.3,14.3,14.9,15.7
BINHDAI,2015-03-04,8.8,21.4,18.5,21.4,17.2,15.0,9.7,8.8,12.7,18.7,20.4,17.0,14.9,21.1
BINHDAI,2015-03-05,8.4,19.3,16.5,19.2,18.5,16.2,11.4,8.4,11.5,17.9,19.3,17.0,15.1,11.1
BINHDAI,2015-03-06,9.2,21.2,15.4,20.0,21.2,16.2,13.4,9.2,11.1,16.5,20.2,18.2,14.6,10.8
BINHDAI,2015-03-08,10.6,21.6,12.6,18.8,21.6,20.6,16.2,11.9,10.6,16.5,20.1,20.6,17.9,13.4
BINHDAI,2015-03-09,11.0,23.0,11.3,14.8,21.5,22.3,17.5,13.7,11.0,16.9,21.2,23.0,17.7,14.1
BINHDAI,2015-03-10,11.2,25.2,11.2,16.1,20.3,23.6,20.3,16.7,13.3,17.1,22.3,25.2,21.3,17.8
BINHDAI,2015-03-14,10.1,24.2,14.9,12.0,10.1,15.0,20.3,22.0,21.8,19.6,19.8,22.0,24.2,19.8
BINHDAI,2015-03-15,9.2,22.7,14.8,11.8,9.6,9.2,14.9,20.5,22.7,21.1,19.6,18.9,20.4,18.9
BINHDAI,2015-03-16,7.6,22.1,17.2,12.9,9.0,7.6,11.0,14.6,20.6,22.1,20.6,17.1,16.5,17.7
BINHDAI,2015-03-20,10.4,22.4,19.3,22.4,21.1,18.3,13.0,10.4,15.9,20.3,22.2,19.2,15.9,12.5
BINHDAI,2015-03-21,11.9,22.9,14.8,20.9,22.7,19.9,15.3,11.9,15.3,20.4,22.9,20.1,18.0,13.4
BINHDAI,2015-03-22,13.4,23.6,14.1,19.8,23.6,20.7,18.4,14.7,13.8,19.9,22.9,20.1,18.0,13.4
BINHDAI,2015-03-23,13.5,25.7,13.5,18.9,23.1,25.3,20.5,17.8,15.2,20.5,24.5,25.7,20.3,15.2
BINHDAI,2015-03-27,14.7,27.1,19.1,14.7,15.2,21.0,24.6,25.8,25.7,24.5,25.9,26.6,27.1,25.1
BINHDAI,2015-03-28,15.5,27.2,19.8,16.7,15.5,18.2,22.6,25.6,26.5,26.5,26.1,25.9,27.2,26.1
BINHDAI,2015-03-29,16.0,27.5,23.6,19.2,16.0,16.3,21.4,24.4,26.7,27.5,27.0,25.7,25.2,25.9
BINHDAI,2015-04-03,12.6,21.2,18.3,20.7,20.5,17.8,13.5,12.9,17.6,20.5,21.2,18.8,15.1,12.6
BINHDAI,2015-04-04,11.7,21.9,17.1,20.8,21.2,18.5,14.4,11.8,15.7,20.2,21.9,18.9,15.2,11.7
BINHDAI,2015-04-05,11.5,21.7,14.3,20.5,21.7,18.0,14.8,11.5,13.6,19.3,20.3,20.1,16.3,12.1
BINHDAI,2015-04-07,9.3,19.7,9.3,15.0,18.8,19.6,18.6,12.6,10.8,15.9,19.7,17.8,15.3,10.8
BINHDAI,2015-04-08,9.8,23.2,9.8,14.5,18.6,21.6,17.9,14.6,11.5,18.4,21.3,23.2,16.9,12.2
BINHDAI,2015-04-09,10.5,23.7,10.5,14.3,20.0,21.9,21.3,18.4,15.5,19.0,21.6,23.7,19.9,14.6
BINHDAI,2015-04-11,10.4,24.6,12.7,10.4,14.9,20.4,23.3,23.2,20.5,19.0,21.0,24.6,23.7,19.9
