code,date,min,max,h01,h03,h05,h07,h09,h11,h13,h15,h17,h19,h21,h23
ANTHUAN,2016-01-02,8.6,22.1,18.2,15.0,13.1,14.2,15.7,11.6,8.6,11.2,15.7,19.7,22.1,22.0
ANTHUAN,2016-01-03,8.7,19.4,19.0,14.7,12.3,14.0,15.0,12.6,10.7,8.7,12.6,16.2,19.2,19.4
ANTHUAN,2016-01-04,11.4,21.7,18.1,14.8,13.5,11.4,12.3,13.3,13.5,12.8,12.2,15.8,18.7,21.7
ANTHUAN,2016-01-09,12.3,21.7,21.4,21.5,18.1,14.7,21.1,12.3,14.8,19.2,21.7,17.2,16.9,19.4
ANTHUAN,2016-01-10,10.7,22.1,20.6,21.5,19.4,15.5,13.5,10.7,14.7,19.6,22.1,18.6,16.6,17.3
ANTHUAN,2016-01-11,10.9,21.7,20.4,21.7,20.2,16.8,13.0,10.9,11.1,15.7,20.2,20.0,18.0,16.0
ANTHUAN,2016-01-12,10.2,22.8,18.0,20.2,22.8,17.7,15.2,12.8,10.2,15.2,20.3,21.6,19.1,17.0
ANTHUAN,2016-01-18,10.9,22.6,16.2,13.8,11.8,11.8,16.8,17.9,13.2,10.9,12.6,13.6,18.4,22.6
ANTHUAN,2016-01-19,9.8,22.9,20.1,16.3,12.8,9.8,14.6,17.8,18.9,17.4,15.6,15.1,19.5,22.9
ANTHUAN,2016-01-20,10.9,21.6,20.9,17.3,14.3,10.9,11.2,15.2,19.4,20.2,18.6,17.3,19.1,21.6
ANTHUAN,2016-01-23,11.8,24.1,23.2,23.3,19.5,15.9,13.1,11.8,14.0,22.2,24.1,20.2,18.3,19.1
ANTHUAN,2016-01-24,13.5,27.1,24.4,26.6,24.4,19.6,16.6,13.5,17.4,24.4,27.1,25.4,23.9,23.4
ANTHUAN,2016-01-25,13.2,28.5,25.6,28.5,28.1,22.7,16.5,13.2,16.5,23.5,27.1,27.3,25.4,23.8
ANTHUAN,2016-01-28,15.1,27.9,22.0,25.2,27.9,25.9,23.6,19.9,15.1,17.9,23.2,27.8,26.3,21.6
ANTHUAN,2016-01-29,14.6,26.0,18.3,21.0,25.2,25.6,20.7,14.6,15.5,16.3,21.0,26.0,24.2,20.0
ANTHUAN,2016-01-30,17.1,27.6,17.7,19.5,22.8,25.2,23.4,19.5,17.1,18.7,22.8,26.1,27.6,25.1
ANTHUAN,2016-02-01,15.5,26.2,18.2,17.2,18.4,20.9,21.9,18.6,15.5,16.6,18.8,20.8,26.2,25.0
ANTHUAN,2016-02-02,16.2,28.0,20.5,17.1,16.2,16.7,19.5,21.4,18.8,17.9,18.7,22.0,25.8,28.0
ANTHUAN,2016-02-03,15.8,28.7,24.8,19.8,16.2,15.8,19.0,21.7,24.2,24.6,25.7,26.7,28.1,28.7
ANTHUAN,2016-02-08,25.0,31.2,28.4,31.2,29.1,26.0,25.0,25.4,27.1,29.1,29.9,26.4,26.2,27.1
ANTHUAN,2016-02-09,18.8,30.1,29.1,30.1,27.8,26.1,23.0,18.8,23.4,27.5,28.7,26.0,23.4,22.3
ANTHUAN,2016-02-10,18.9,29.4,24.7,29.2,29.4,26.8,24.2,21.7,18.9,24.3,28.3,27.5,24.2,21.7
ANTHUAN,2016-02-11,16.9,29.1,20.8,25.4,29.1,26.5,24.8,21.8,18.6,22.6,16.9,27.7,24.1,21.4
ANTHUAN,2016-02-16,15.3,26.5,19.8,17.9,15.3,17.6,22.9,21.6,19.3,18.8,21.0,24.4,26.5,24.2
ANTHUAN,2016-02-17,17.2,27.2,22.5,19.5,17.2,17.3,20.2,24.1,24.5,23.6,23.2,24.0,25.5,27.2
ANTHUAN,2016-02-18,16.6,28.7,26.0,22.8,19.7,16.6,19.4,24.0,27.2,27.6,26.1,25.8,26.6,28.7
