code,date,time,min,max
BENCHUA,2017-01-01,14:00:00|9:00:00,11.0,14.0
BENCHUA,2017-01-02,14:00:00|7:00:00,12.6,14.3
BENCHUA,2017-01-03,16:20:00|8:00:00,8.1,10.0
BENCHUA,2017-01-04,17:00:00|10:00:00,8.4,10.6
BENCHUA,2017-01-05,15:00:00|7:00:00,8.0,10.3
BENCHUA,2017-01-06,13:00:00|9:00:00,7.7,10.0
BENCHUA,2017-01-07,15:00:00|8:00:00,8.1,10.2
BENCHUA,2017-01-08,6:00:00|12:25:00,9.0,11.0
BENCHUA,2017-01-09,7:00:00|13:00:00,8.5,10.1
BENCHUA,2017-01-10,8:00:00|15:00:00,8.2,10.3
BENCHUA,2017-01-11,10:00:00|16:00:00,8.0,10.0
BENCHUA,2017-01-12,9:00:00|14:30:00,8.4,10.1
BENCHUA,2017-01-13,10:00:00|15:00:00,8.6,11.3
BENCHUA,2017-01-14,10:00:00|16:20:00,9.5,12.6
BENCHUA,2017-01-15,15:00:00|11:00:00,8.8,10.2
BENCHUA,2017-01-16,12:00:00|18:00:00,9.0,10.0
BENCHUA,2017-01-17,15:00:00|10:00:00,9.1,11.0
BENCHUA,2017-01-18,14:00:00|5:30:00,10.3,11.1
BENCHUA,2017-01-19,14:30:00|6:00:00,10.3,11.5
BENCHUA,2017-01-20,14:00:00|7:00:00,7.0,8.9
BENCHUA,2017-01-21,15:30:00|8:00:00,7.9,9.2
BENCHUA,2017-01-22,14:30:00|9:30:00,7.5,9.4
BENCHUA,2017-01-23,17:20:00|8:00:00,7.2,9.0
BENCHUA,2017-01-24,6:00:00|12:50:00,8.4,8.7
BENCHUA,2017-01-25,7:00:00|13:30:00,8.5,8.7
BENCHUA,2017-01-26,7:00:00|14:40:00,9.9,11.6
BENCHUA,2017-01-27,8:00:00|15:30:00,10.6,13.1
BENCHUA,2017-01-28,9:00:00|14:40:00,12.4,13.9
BENCHUA,2017-01-29,10:00:00|16:20:00,8.2,12.7
BENCHUA,2017-01-30,9:00:00|16:40:00,12.5,14.5
BENCHUA,2017-01-31,11:00:00|17:30:00,12.2,13.4
BENCHUA,2017-02-01,13:00:00|6:00:00,13.4,14.2
BENCHUA,2017-02-02,13:00:00|6:00:00,13.0,14.1
BENCHUA,2017-02-03,13:20:00|6:00:00,13.1,13.7
BENCHUA,2017-02-04,14:00:00|7:10:00,13.0,13.1
BENCHUA,2017-02-05,15:00:00|8:30:00,10.8,10.9
BENCHUA,2017-02-06,15:00:00|10:00:00,9.6,9.8
BENCHUA,2017-02-07,17:00:00|11:30:00,9.8,10.2
BENCHUA,2017-02-08,16:00:00|8:00:00,10.9,11.2
BENCHUA,2017-02-09,8:00:00|14:00:00,10.8,11.7
BENCHUA,2017-02-10,8:00:00|15:00:00,11.4,12.6
BENCHUA,2017-02-11,9:00:00|15:30:00,12.0,12.3
BENCHUA,2017-02-12,9:40:00|16:00:00,12.1,12.7
BENCHUA,2017-02-13,13:30:00|6:30:00,12.7,13.4
BENCHUA,2017-02-14,18:00:00|12:00:00,12.5,13.7
BENCHUA,2017-02-15,13:00:00|6:00:00,13.9,12.0
BENCHUA,2017-02-16,17:00:00|7:00:00,10.4,11.6
BENCHUA,2017-02-17,14:00:00|8:00:00,9.8,10.8
BENCHUA,2017-02-18,15:00:00|9:30:00,10.5,12.7
BENCHUA,2017-02-19,16:00:00|9:00:00,10.0,11.0
BENCHUA,2017-02-20,8:00:00|13:00:00,10.2,10.3
BENCHUA,2017-02-21,6:00:00|12:20:00,9.2,10.0
BENCHUA,2017-02-22,9:00:00|12:30:00,9.6,9.7
BENCHUA,2017-02-23,8:00:00|14:00:00,10.1,11.5
BENCHUA,2017-02-24,7:00:00|14:30:00,10.3,14.7
BENCHUA,2017-02-25,8:00:00|15:30:00,10.2,15.1
BENCHUA,2017-02-26,13:00:00|9:00:00,9.7,14.0
BENCHUA,2017-02-27,10:00:00|17:00:00,13.7,15.0
BENCHUA,2017-02-28,10:00:00|17:00:00,9.8,14.8
BENCHUA,2017-03-01,13:00:00|6:00:00,14.0,17.6
BENCHUA,2017-03-02,13:10:00|6:30:00,14.4,18.0
BENCHUA,2017-03-03,14:00:00|6:00:00,14.2,17.7
BENCHUA,2017-03-04,15:00:00|6:30:00,14.5,18.5
BENCHUA,2017-03-05,7:00:00|12:30:00,13.2,16.5
BENCHUA,2017-03-06,15:00:00|9:00:00,12.4,15.1
BENCHUA,2017-03-07,17:30:00|10:30:00,7.8,14.9
BENCHUA,2017-03-08,6:30:00|13:00:00,13.9,14.1
BENCHUA,2017-03-09,6:00:00|12:30:00,12.3,13.7
BENCHUA,2017-03-10,7:00:00|13:30:00,12.9,13.3
BENCHUA,2017-03-11,8:00:00|16:00:00,12.0,13.5
BENCHUA,2017-03-12,9:00:00|15:00:00,11.7,13.7
BENCHUA,2017-03-13,10:00:00|15:00:00,10.7,12.6
BENCHUA,2017-03-14,10:40:00|16:00:00,7.5,14.5
BENCHUA,2017-03-15,11:30:00|16:30:00,12.3,14.1
BENCHUA,2017-03-16,13:00:00|6:00:00,14.0,14.1
BENCHUA,2017-03-17,13:30:00|6:40:00,13.2,13.2
BENCHUA,2017-03-18,13:00:00|6:30:00,13.3,13.4
BENCHUA,2017-03-19,13:30:00|7:30:00,11.2,11.6
BENCHUA,2017-03-20,14:00:00|8:00:00,10.7,11.0
BENCHUA,2017-03-21,14:40:00|9:00:00,10.5,10.7
BENCHUA,2017-03-22,15:30:00|10:20:00,9.4,9.6
BENCHUA,2017-03-23,16:30:00|11:40:00,9.5,18.5
BENCHUA,2017-03-24,6:00:00|13:00:00,9.4,10.6
BENCHUA,2017-03-25,7:00:00|14:00:00,10.7,11.2
BENCHUA,2017-03-26,8:00:00|15:00:00,10.3,11.0
BENCHUA,2017-03-27,18:00:00|9:00:00,10.2,11.1
BENCHUA,2017-03-28,10:00:00|15:00:00,13.1,15.2
BENCHUA,2017-03-29,9:00:00|15:30:00,14.3,16.0
BENCHUA,2017-03-30,13:00:00|6:00:00,12.5,15.5
BENCHUA,2017-03-31,15:00:00|10:30:00,14.0,16.3
BENCHUA,2017-04-01,12:00:00|14:30:00,13.1,15.3
BENCHUA,2017-04-02,12:30:00|6:00:00,15.8,15.9
BENCHUA,2017-04-03,13:00:00|7:20:00,15.0,15.1
BENCHUA,2017-04-04,13:00:00|8:20:00,14.1,14.3
BENCHUA,2017-04-05,14:20:00|10:00:00,11.7,12.9
BENCHUA,2017-04-06,15:30:00|11:20:00,8.9,11.2
BENCHUA,2017-04-07,6:00:00|12:40:00,10.6,12.0
BENCHUA,2017-04-08,7:00:00|13:20:00,10.5,11.7
BENCHUA,2017-04-09,8:00:00|14:00:00,10.8,12.5
BENCHUA,2017-04-10,7:00:00|15:00:00,11.0,13.0
BENCHUA,2017-04-11,6:00:00|14:00:00,10.5,13.2
BENCHUA,2017-04-12,11:00:00|15:30:00,9.8,13.8
BENCHUA,2017-04-13,11:30:00|16:00:00,12.7,13.3
BENCHUA,2017-04-14,12:00:00|17:00:00,7.8,13.4
