code,date,time,min,max
LANGTHE,2017-01-01,14:10:00|9:30:00,0.2,0.2
LANGTHE,2017-01-02,14:30:00|7:30:00,0.2,0.2
LANGTHE,2017-01-03,16:40:00|8:00:00,0.2,0.2
LANGTHE,2017-01-04,17:00:00|10:30:00,0.2,0.2
LANGTHE,2017-01-05,15:00:00|7:00:00,0.2,0.2
LANGTHE,2017-01-06,13:30:00|9:00:00,0.2,0.2
LANGTHE,2017-01-07,15:30:00|8:10:00,0.2,0.2
LANGTHE,2017-01-08,6:00:00|12:00:00,0.2,0.2
LANGTHE,2017-01-09,7:00:00|13:00:00,0.2,0.2
LANGTHE,2017-01-10,8:00:00|15:00:00,0.2,0.2
LANGTHE,2017-01-11,9:00:00|16:00:00,0.2,0.2
LANGTHE,2017-01-12,9:00:00|14:00:00,0.2,0.2
LANGTHE,2017-01-13,9:00:00|15:00:00,0.2,0.2
LANGTHE,2017-01-14,10:00:00|16:20:00,0.2,0.2
LANGTHE,2017-01-15,15:00:00|11:00:00,0.2,0.2
LANGTHE,2017-01-16,12:00:00|18:00:00,0.2,0.2
LANGTHE,2017-01-17,15:00:00|10:00:00,0.2,0.2
LANGTHE,2017-01-18,14:00:00|6:00:00,0.2,0.2
LANGTHE,2017-01-19,13:30:00|6:00:00,0.2,0.2
LANGTHE,2017-01-20,14:00:00|8:00:00,0.2,0.2
LANGTHE,2017-01-21,14:30:00|8:00:00,0.2,0.2
LANGTHE,2017-01-22,14:00:00|10:00:00,0.2,0.2
LANGTHE,2017-01-23,16:00:00|8:00:00,0.2,0.2
LANGTHE,2017-01-24,6:00:00|15:00:00,0.2,1.2
LANGTHE,2017-01-25,7:30:00|14:00:00,0.2,2.0
LANGTHE,2017-01-26,7:00:00|15:00:00,0.2,3.2
LANGTHE,2017-01-27,8:00:00|16:00:00,0.2,4.2
LANGTHE,2017-01-28,9:30:00|14:00:00,0.2,3.7
LANGTHE,2017-01-29,10:00:00|17:00:00,0.2,2.9
LANGTHE,2017-01-30,9:00:00|16:00:00,0.2,0.2
LANGTHE,2017-01-31,11:00:00|18:00:00,0.2,0.2
LANGTHE,2017-02-01,13:00:00|6:00:00,0.2,0.2
LANGTHE,2017-02-02,13:00:00|7:00:00,0.2,0.2
LANGTHE,2017-02-03,14:00:00|7:00:00,0.2,0.2
LANGTHE,2017-02-04,15:00:00|8:00:00,0.2,0.2
LANGTHE,2017-02-05,15:00:00|9:00:00,0.2,0.2
LANGTHE,2017-02-06,16:00:00|10:00:00,0.2,0.2
LANGTHE,2017-02-07,17:00:00|11:00:00,0.2,0.2
LANGTHE,2017-02-08,16:00:00|8:40:00,0.2,0.2
LANGTHE,2017-02-09,8:00:00|17:00:00,0.2,0.2
LANGTHE,2017-02-10,10:00:00|14:00:00,0.2,0.2
LANGTHE,2017-02-11,11:00:00|16:00:00,0.2,0.2
LANGTHE,2017-02-12,12:00:00|17:00:00,0.2,0.2
LANGTHE,2017-02-13,13:00:00|6:30:00,0.2,0.2
LANGTHE,2017-02-14,18:00:00|12:00:00,0.2,0.2
LANGTHE,2017-02-15,13:00:00|6:00:00,0.2,0.2
LANGTHE,2017-02-16,17:00:00|7:00:00,0.2,0.2
LANGTHE,2017-02-17,14:30:00|8:00:00,0.2,0.2
LANGTHE,2017-02-18,15:00:00|9:00:00,0.2,0.2
LANGTHE,2017-02-19,17:00:00|10:00:00,0.2,0.2
LANGTHE,2017-02-20,8:00:00|13:00:00,0.2,0.2
LANGTHE,2017-02-21,6:00:00|12:10:00,0.2,0.2
LANGTHE,2017-02-22,9:00:00|13:00:00,0.2,0.2
LANGTHE,2017-02-23,8:00:00|14:00:00,1.2,7.3
