code,date,time,min,max
MOCAY,2017-01-01,17:20:00|7:15:00,0.1,0.1
MOCAY,2017-01-02,17:10:00|7:30:00,0.1,0.1
MOCAY,2017-01-03,16:30:00|6:40:00,0.1,0.1
MOCAY,2017-01-04,17:15:00|6:30:00,0.1,0.1
MOCAY,2017-01-05,7:00:00|15:00:00,0.1,0.1
MOCAY,2017-01-06,17:00:00|6:30:00,0.1,0.1
MOCAY,2017-01-07,17:30:00|6:20:00,0.1,0.1
MOCAY,2017-01-08,16:45:00|7:00:00,0.1,0.1
MOCAY,2017-01-09,9:00:00|17:00:00,0.1,0.1
MOCAY,2017-01-10,7:00:00|17:00:00,0.1,0.1
MOCAY,2017-01-11,9:30:00|15:00:00,0.1,0.1
MOCAY,2017-01-12,15:05:00|10:30:00,0.1,0.1
MOCAY,2017-01-13,14:00:00|17:00:00,0.1,0.1
MOCAY,2017-01-14,17:00:00|10:00:00,0.1,0.1
MOCAY,2017-01-15,9:00:00|18:15:00,0.1,0.1
MOCAY,2017-01-16,8:10:00|16:30:00,0.1,0.1
MOCAY,2017-01-17,16:00:00|7:00:00,0.1,0.1
MOCAY,2017-01-18,17:00:00|7:00:00,0.1,0.1
MOCAY,2017-01-19,16:00:00|8:00:00,0.1,0.1
MOCAY,2017-01-20,17:00:00|8:10:00,0.1,0.1
MOCAY,2017-01-21,17:30:00|7:00:00,0.1,0.1
MOCAY,2017-01-22,17:00:00|8:00:00,0.4,0.9
MOCAY,2017-01-23,11:00:00|7:20:00,0.1,0.9
MOCAY,2017-01-24,9:00:00|15:00:00,0.9,1.2
MOCAY,2017-01-25,16:00:00|8:20:00,0.7,1.0
MOCAY,2017-01-26,14:00:00|10:00:00,0.8,1.1
MOCAY,2017-01-27,14:10:00|8:00:00,0.6,1.3
MOCAY,2017-01-28,7:00:00|16:00:00,0.5,1.0
MOCAY,2017-01-29,13:50:00|8:30:00,0.2,0.6
MOCAY,2017-01-30,13:30:00|7:10:00,0.1,0.5
MOCAY,2017-01-31,14:00:00|8:30:00,0.1,0.6
MOCAY,2017-02-01,7:00:00|16:00:00,0.1,0.2
MOCAY,2017-02-02,7:20:00|17:30:00,0.1,0.2
MOCAY,2017-02-03,8:00:00|15:00:00,0.2,0.2
MOCAY,2017-02-04,9:15:00|16:00:00,0.2,0.2
MOCAY,2017-02-05,16:00:00|7:00:00,0.1,0.2
MOCAY,2017-02-06,9:00:00|14:50:00,0.1,0.2
MOCAY,2017-02-07,15:30:00|10:00:00,0.1,0.1
MOCAY,2017-02-08,15:00:00|8:00:00,0.1,0.1
MOCAY,2017-02-09,15:00:00|9:00:00,0.1,0.1
MOCAY,2017-02-10,15:00:00|10:00:00,0.1,0.1
MOCAY,2017-02-11,8:00:00|16:00:00,0.1,0.1
MOCAY,2017-02-12,9:30:00|15:00:00,0.1,0.1
MOCAY,2017-02-13,10:00:00|15:00:00,0.1,0.1
MOCAY,2017-02-14,7:00:00|16:00:00,0.2,0.2
MOCAY,2017-02-15,9:00:00|14:30:00,0.1,0.1
MOCAY,2017-02-16,10:30:00|15:00:00,0.1,0.1
MOCAY,2017-02-17,17:00:00|10:00:00,1.1,2.0
MOCAY,2017-02-18,16:00:00|11:00:00,2.6,3.5
MOCAY,2017-02-19,15:00:00|10:20:00,3.0,3.6
