code,date,time,min,max
RACHRUM,2017-01-01,15:20:00|10:30:00,0.1,0.4
RACHRUM,2017-01-02,15:30:00|8:20:00,0.1,0.3
RACHRUM,2017-01-03,17:10:00|8:15:00,0.1,0.1
RACHRUM,2017-01-04,17:30:00|11:00:00,0.1,0.1
RACHRUM,2017-01-05,16:00:00|7:40:00,0.1,0.1
RACHRUM,2017-01-06,15:00:00|10:30:00,0.1,0.1
RACHRUM,2017-01-07,16:20:00|9:20:00,0.1,0.1
RACHRUM,2017-01-08,7:30:00|14:00:00,0.1,0.1
RACHRUM,2017-01-09,8:00:00|14:00:00,0.1,0.1
RACHRUM,2017-01-10,9:00:00|16:00:00,0.1,0.1
RACHRUM,2017-01-11,10:30:00|16:30:00,0.1,0.1
RACHRUM,2017-01-12,9:40:00|16:00:00,0.1,0.3
RACHRUM,2017-01-13,11:30:00|16:00:00,0.1,0.1
RACHRUM,2017-01-14,11:00:00|17:00:00,0.1,0.1
RACHRUM,2017-01-15,16:00:00|11:50:00,0.1,0.1
RACHRUM,2017-01-16,12:00:00|18:00:00,0.1,0.2
RACHRUM,2017-01-17,15:00:00|11:30:00,0.2,0.2
RACHRUM,2017-01-18,16:00:00|7:20:00,0.2,0.4
RACHRUM,2017-01-19,16:00:00|8:10:00,0.1,0.2
RACHRUM,2017-01-20,17:00:00|9:20:00,0.1,0.2
RACHRUM,2017-01-21,17:40:00|11:20:00,0.1,0.2
RACHRUM,2017-01-22,15:30:00|10:40:00,0.1,0.4
RACHRUM,2017-01-23,17:40:00|8:30:00,0.6,0.7
RACHRUM,2017-01-24,8:10:00|14:15:00,0.5,0.8
RACHRUM,2017-01-25,10:00:00|15:30:00,1.3,1.9
RACHRUM,2017-01-26,10:00:00|15:30:00,2.1,2.4
RACHRUM,2017-01-27,10:30:00|17:10:00,0.9,1.6
RACHRUM,2017-01-28,9:20:00|15:30:00,0.2,0.5
RACHRUM,2017-01-29,11:15:00|17:10:00,0.2,0.4
RACHRUM,2017-01-30,11:10:00|16:30:00,0.2,0.4
RACHRUM,2017-01-31,11:40:00|17:40:00,0.1,0.4
RACHRUM,2017-02-01,14:30:00|8:00:00,0.1,0.1
RACHRUM,2017-02-02,14:50:00|7:40:00,0.1,0.1
RACHRUM,2017-02-03,15:00:00|7:50:00,0.1,0.1
RACHRUM,2017-02-04,15:30:00|8:30:00,0.1,0.1
RACHRUM,2017-02-05,16:40:00|9:40:00,0.1,0.1
