code,date,time,min,max
TICHTHIEN,2017-01-01,17:30:00|8:00:00,0.0,0.0
TICHTHIEN,2017-01-02,17:40:00|8:30:00,0.0,0.0
TICHTHIEN,2017-01-03,17:15:00|7:00:00,0.0,0.0
TICHTHIEN,2017-01-04,17:30:00|7:30:00,0.0,0.0
TICHTHIEN,2017-01-05,8:00:00|16:00:00,0.0,0.0
TICHTHIEN,2017-01-06,17:20:00|7:00:00,0.0,0.0
TICHTHIEN,2017-01-07,17:30:00|7:10:00,0.0,0.0
TICHTHIEN,2017-01-08,17:00:00|7:15:00,0.0,0.0
TICHTHIEN,2017-01-09,9:15:00|17:20:00,0.0,0.0
TICHTHIEN,2017-01-10,8:00:00|17:30:00,0.0,0.0
TICHTHIEN,2017-01-11,9:45:00|16:00:00,0.0,0.0
TICHTHIEN,2017-01-12,16:00:00|11:00:00,0.0,0.0
TICHTHIEN,2017-01-13,15:00:00|17:30:00,0.0,0.0
TICHTHIEN,2017-01-14,17:30:00|10:25:00,0.0,0.0
TICHTHIEN,2017-01-15,9:20:00|18:00:00,0.0,0.0
TICHTHIEN,2017-01-16,8:30:00|17:00:00,0.0,0.0
TICHTHIEN,2017-01-17,17:00:00|8:00:00,0.0,0.0
TICHTHIEN,2017-01-18,17:22:00|8:00:00,0.0,0.0
TICHTHIEN,2017-01-19,16:30:00|8:30:00,0.0,0.0
TICHTHIEN,2017-01-20,17:30:00|8:40:00,0.0,0.0
TICHTHIEN,2017-01-21,17:00:00|8:00:00,0.0,0.0
TICHTHIEN,2017-01-22,17:33:00|8:24:00,0.0,0.0
TICHTHIEN,2017-01-23,11:25:00|8:30:00,0.0,0.0
TICHTHIEN,2017-01-24,9:30:00|16:00:00,0.0,0.0
TICHTHIEN,2017-01-25,17:00:00|9:00:00,0.0,0.0
TICHTHIEN,2017-01-26,11:00:00|10:20:00,0.0,0.0
TICHTHIEN,2017-01-27,15:00:00|8:00:00,0.0,0.0
TICHTHIEN,2017-01-28,8:00:00|16:40:00,0.0,0.0
