code,date,time,min,max
TRACU,2017-01-01,14:10:00|9:30:00,0.3,0.6
TRACU,2017-01-02,14:00:00|7:00:00,0.2,0.4
TRACU,2017-01-03,16:40:00|8:00:00,0.2,0.2
TRACU,2017-01-04,17:20:00|10:10:00,0.2,0.2
TRACU,2017-01-05,15:00:00|7:00:00,0.2,0.2
TRACU,2017-01-06,14:00:00|9:30:00,0.2,0.2
TRACU,2017-01-07,15:20:00|8:10:00,0.2,0.2
TRACU,2017-01-08,7:00:00|13:00:00,0.2,0.2
TRACU,2017-01-09,7:30:00|13:10:00,2.0,0.2
TRACU,2017-01-10,8:10:00|15:20:00,0.2,0.2
TRACU,2017-01-11,10:00:00|16:15:00,0.2,0.2
TRACU,2017-01-12,9:00:00|14:50:00,0.3,0.3
TRACU,2017-01-13,10:20:00|15:20:00,0.2,0.3
TRACU,2017-01-14,10:15:00|16:30:00,0.2,0.3
TRACU,2017-01-15,15:40:00|11:50:00,0.3,0.5
TRACU,2017-01-16,11:00:00|17:00:00,0.2,0.4
TRACU,2017-01-17,14:30:00|10:30:00,0.2,0.2
TRACU,2017-01-18,14:40:00|6:00:00,0.3,0.3
TRACU,2017-01-19,15:00:00|7:30:00,0.2,0.3
TRACU,2017-01-20,15:00:00|7:40:00,0.2,0.2
TRACU,2017-01-21,16:00:00|9:30:00,0.2,0.4
TRACU,2017-01-22,15:40:00|10:15:00,0.2,1.7
TRACU,2017-01-23,17:10:00|8:30:00,0.3,0.4
TRACU,2017-01-24,8:00:00|14:10:00,0.3,0.4
TRACU,2017-01-25,9:00:00|15:00:00,0.4,0.6
TRACU,2017-01-26,8:00:00|15:00:00,0.8,3.5
TRACU,2017-01-27,8:20:00|16:50:00,0.4,2.9
TRACU,2017-01-28,9:30:00|14:40:00,0.7,2.0
TRACU,2017-01-29,11:00:00|16:30:00,0.2,0.8
TRACU,2017-01-30,10:00:00|16:50:00,0.2,0.9
TRACU,2017-01-31,11:15:00|17:30:00,0.2,0.9
TRACU,2017-02-01,14:00:00|7:00:00,0.4,0.8
TRACU,2017-02-02,14:00:00|7:00:00,1.7,2.3
TRACU,2017-02-03,14:10:00|7:00:00,0.5,0.7
TRACU,2017-02-04,15:00:00|8:00:00,0.5,0.8
TRACU,2017-02-05,16:00:00|9:00:00,1.0,1.8
TRACU,2017-02-06,15:00:00|11:00:00,1.0,1.8
TRACU,2017-02-07,17:30:00|11:40:00,1.5,1.7
TRACU,2017-02-08,16:30:00|9:00:00,0.3,0.5
TRACU,2017-02-09,9:00:00|14:10:00,0.5,0.7
TRACU,2017-02-10,9:00:00|15:30:00,0.5,0.8
TRACU,2017-02-11,9:30:00|16:00:00,0.5,0.9
TRACU,2017-02-12,10:00:00|17:00:00,0.9,1.0
TRACU,2017-02-13,14:00:00|7:00:00,1.3,2.1
TRACU,2017-02-14,17:50:00|12:00:00,1.1,1.9
TRACU,2017-02-15,14:00:00|7:00:00,1.5,1.7
TRACU,2017-02-16,17:30:00|8:00:00,1.4,1.6
TRACU,2017-02-17,15:00:00|9:00:00,1.0,1.1
TRACU,2017-02-18,16:00:00|10:00:00,0.8,0.9
TRACU,2017-02-19,16:30:00|10:00:00,0.4,0.7
TRACU,2017-02-20,9:00:00|13:20:00,0.4,0.8
TRACU,2017-02-21,7:00:00|13:00:00,0.2,0.5
TRACU,2017-02-22,10:00:00|13:00:00,0.3,0.7
TRACU,2017-02-23,9:00:00|15:00:00,0.3,0.9
TRACU,2017-02-24,8:00:00|15:00:00,0.4,1.1
TRACU,2017-02-25,9:00:00|16:00:00,1.5,2.9
TRACU,2017-02-26,14:00:00|10:00:00,1.0,2.0
TRACU,2017-02-27,10:30:00|17:30:00,0.9,2.1
TRACU,2017-02-28,10:15:00|17:20:00,1.1,2.3
TRACU,2017-03-01,12:30:00|6:00:00,3.0,3.8
TRACU,2017-03-02,16:00:00|6:00:00,2.4,2.7
TRACU,2017-03-03,13:00:00|6:00:00,3.4,3.6
TRACU,2017-03-04,13:40:00|7:00:00,4.4,4.5
TRACU,2017-03-05,13:00:00|7:50:00,3.5,3.9
TRACU,2017-03-06,15:00:00|7:30:00,3.7,3.9
TRACU,2017-03-07,14:20:00|10:00:00,3.4,3.6
TRACU,2017-03-08,16:30:00|8:50:00,3.0,3.8
TRACU,2017-03-09,15:30:00|10:40:00,3.1,3.5
TRACU,2017-03-10,6:20:00|13:30:00,3.0,3.4
TRACU,2017-03-11,7:00:00|14:20:00,1.4,3.6
TRACU,2017-03-12,8:50:00|14:20:00,3.0,3.8
TRACU,2017-03-13,10:30:00|17:00:00,3.0,3.3
TRACU,2017-03-14,7:00:00|16:30:00,2.7,3.8
TRACU,2017-03-15,6:30:00|15:00:00,2.9,3.5
TRACU,2017-03-16,13:00:00|6:30:00,2.8,3.1
TRACU,2017-03-17,13:30:00|6:00:00,2.8,3.1
TRACU,2017-03-18,14:00:00|6:30:00,2.2,2.7
TRACU,2017-03-19,14:20:00|8:20:00,3.0,3.1
TRACU,2017-03-20,14:30:00|8:45:00,2.8,3.1
TRACU,2017-03-21,16:50:00|9:30:00,2.4,2.8
