code,date,time,min,max
VANGQUOITAY,2017-01-01,17:00:00|6:00:00,0.2,0.3
VANGQUOITAY,2017-01-02,16:00:00|6:30:00,0.2,0.3
VANGQUOITAY,2017-01-03,17:00:00|6:15:00,0.2,0.4
VANGQUOITAY,2017-01-04,17:30:00|6:00:00,0.2,0.2
VANGQUOITAY,2017-01-05,17:00:00|6:30:00,0.2,0.2
VANGQUOITAY,2017-01-06,17:15:00|6:15:00,0.2,0.2
VANGQUOITAY,2017-01-07,17:00:00|6:30:00,0.2,0.2
VANGQUOITAY,2017-01-08,17:00:00|6:00:00,0.2,0.2
VANGQUOITAY,2017-01-09,6:00:00|17:00:00,0.2,0.2
VANGQUOITAY,2017-01-10,7:00:00|18:00:00,0.2,0.2
VANGQUOITAY,2017-01-11,6:00:00|17:00:00,0.2,0.2
VANGQUOITAY,2017-01-12,17:00:00|6:30:00,0.2,0.2
VANGQUOITAY,2017-01-13,17:00:00|6:00:00,0.2,0.2
VANGQUOITAY,2017-01-14,6:30:00|18:00:00,0.3,1.1
VANGQUOITAY,2017-01-15,6:30:00|16:00:00,0.6,1.0
VANGQUOITAY,2017-01-16,6:10:00|18:00:00,0.3,0.8
VANGQUOITAY,2017-01-17,6:30:00|17:30:00,0.2,0.2
VANGQUOITAY,2017-01-18,6:30:00|17:15:00,0.1,0.2
VANGQUOITAY,2017-01-19,17:30:00|6:30:00,0.1,0.2
VANGQUOITAY,2017-01-20,6:15:00|17:00:00,0.2,0.2
VANGQUOITAY,2017-01-21,17:00:00|6:00:00,0.2,0.4
VANGQUOITAY,2017-01-22,6:00:00|17:00:00,0.2,0.3
VANGQUOITAY,2017-01-23,6:00:00|17:00:00,0.5,1.0
VANGQUOITAY,2017-01-24,17:00:00|6:00:00,1.0,1.3
VANGQUOITAY,2017-01-25,6:00:00|17:00:00,1.0,1.7
VANGQUOITAY,2017-01-26,6:00:00|17:00:00,0.2,3.7
VANGQUOITAY,2017-01-27,17:00:00|6:30:00,2.0,2.8
VANGQUOITAY,2017-01-28,6:00:00|17:00:00,0.5,1.7
VANGQUOITAY,2017-01-29,6:00:00|17:00:00,0.8,1.7
VANGQUOITAY,2017-01-30,6:10:00|17:00:00,0.7,2.0
VANGQUOITAY,2017-01-31,6:00:00|17:00:00,0.3,2.1
VANGQUOITAY,2017-02-01,6:00:00|17:00:00,0.2,0.9
VANGQUOITAY,2017-02-02,17:00:00|6:00:00,0.2,0.2
VANGQUOITAY,2017-02-03,6:00:00|17:00:00,0.3,0.5
VANGQUOITAY,2017-02-04,6:00:00|17:00:00,0.3,0.5
VANGQUOITAY,2017-02-05,17:00:00|6:00:00,0.3,0.4
VANGQUOITAY,2017-02-06,17:00:00|6:00:00,0.2,0.3
VANGQUOITAY,2017-02-07,18:00:00|7:00:00,0.2,0.4
VANGQUOITAY,2017-02-08,6:00:00|17:00:00,0.3,0.6
VANGQUOITAY,2017-02-09,17:00:00|6:00:00,0.5,0.5
VANGQUOITAY,2017-02-10,17:00:00|6:00:00,0.3,0.7
VANGQUOITAY,2017-02-11,17:00:00|6:00:00,0.9,2.5
VANGQUOITAY,2017-02-12,17:00:00|6:00:00,0.8,2.0
VANGQUOITAY,2017-02-13,6:00:00|17:00:00,0.9,1.4
VANGQUOITAY,2017-02-14,6:15:00|17:00:00,0.3,0.5
VANGQUOITAY,2017-02-15,17:00:00|6:00:00,0.8,1.4
VANGQUOITAY,2017-02-16,6:00:00|17:00:00,0.3,0.4
VANGQUOITAY,2017-02-17,17:00:00|6:00:00,0.2,0.6
VANGQUOITAY,2017-02-18,17:00:00|6:00:00,0.3,0.5
VANGQUOITAY,2017-02-19,6:00:00|17:00:00,0.4,0.4
VANGQUOITAY,2017-02-20,6:00:00|17:00:00,0.2,0.3
VANGQUOITAY,2017-02-21,17:00:00|6:00:00,0.3,0.5
VANGQUOITAY,2017-02-22,17:00:00|6:00:00,0.5,0.9
VANGQUOITAY,2017-02-23,17:10:00|6:00:00,0.9,1.5
VANGQUOITAY,2017-02-24,6:00:00|17:00:00,1.0,1.8
VANGQUOITAY,2017-02-25,6:00:00|17:00:00,2.5,4.7
VANGQUOITAY,2017-02-26,6:00:00|17:00:00,2.4,4.5
VANGQUOITAY,2017-02-27,6:00:00|17:00:00,3.8,6.0
VANGQUOITAY,2017-02-28,17:00:00|6:00:00,3.2,5.8
VANGQUOITAY,2017-03-01,17:00:00|6:00:00,1.5,4.1
VANGQUOITAY,2017-03-02,6:00:00|17:00:00,1.9,4.5
VANGQUOITAY,2017-03-03,17:00:00|6:00:00,1.8,3.2
VANGQUOITAY,2017-03-04,17:00:00|6:00:00,0.9,1.3
VANGQUOITAY,2017-03-05,17:00:00|6:00:00,1.3,1.5
VANGQUOITAY,2017-03-06,17:00:00|6:00:00,1.1,1.8
VANGQUOITAY,2017-03-07,6:00:00|17:00:00,0.7,1.4
VANGQUOITAY,2017-03-08,17:00:00|6:00:00,0.8,0.9
