date,code,min,max
2002-01-01,BENTRAI,0.2,1.0
2002-01-02,BENTRAI,0.1,1.0
2002-01-03,BENTRAI,0.1,0.8
2002-01-04,BENTRAI,0.1,0.5
2002-01-05,BENTRAI,0.1,0.6
2002-01-06,BENTRAI,0.2,0.8
2002-01-07,BENTRAI,0.3,0.5
2002-01-08,BENTRAI,0.2,0.6
2002-01-09,BENTRAI,0.2,1.0
2002-01-10,BENTRAI,0.2,1.2
2002-01-11,BENTRAI,0.3,1.3
2002-01-12,BENTRAI,0.1,0.8
2002-01-13,BENTRAI,0.1,0.4
2002-01-14,BENTRAI,0.4,1.2
2002-01-15,BENTRAI,0.4,1.4
2002-01-16,BENTRAI,0.3,1.1
2002-01-17,BENTRAI,0.3,0.9
2002-01-18,BENTRAI,0.2,0.8
2002-01-19,BENTRAI,0.3,1.2
2002-01-20,BENTRAI,0.4,2.0
2002-01-21,BENTRAI,0.4,2.0
2002-01-22,BENTRAI,0.5,2.2
2002-01-23,BENTRAI,0.4,1.9
2002-01-24,BENTRAI,0.3,1.7
2002-01-25,BENTRAI,0.3,1.8
2002-01-26,BENTRAI,0.2,2.1
2002-01-27,BENTRAI,0.5,2.2
2002-01-28,BENTRAI,0.6,2.4
2002-01-29,BENTRAI,0.4,2.5
2002-01-30,BENTRAI,0.4,3.0
2002-01-31,BENTRAI,0.5,3.0
2002-02-01,BENTRAI,1.0,3.1
2002-02-02,BENTRAI,1.1,3.5
2002-02-03,BENTRAI,1.0,3.5
2002-02-04,BENTRAI,1.1,3.7
2002-02-05,BENTRAI,1.0,3.9
2002-02-06,BENTRAI,1.0,3.6
2002-02-07,BENTRAI,1.2,3.1
2002-02-08,BENTRAI,1.0,3.2
2002-02-09,BENTRAI,1.0,3.4
2002-02-10,BENTRAI,1.3,3.8
2002-02-11,BENTRAI,1.9,4.5
2002-02-12,BENTRAI,4.0,6.6
2002-02-13,BENTRAI,4.8,6.8
2002-02-14,BENTRAI,4.1,9.8
2002-02-15,BENTRAI,4.0,9.0
2002-02-16,BENTRAI,3.3,8.2
2002-02-17,BENTRAI,3.0,7.0
2002-02-18,BENTRAI,1.8,6.0
2002-02-19,BENTRAI,1.8,5.6
2002-02-20,BENTRAI,1.6,3.2
2002-02-21,BENTRAI,1.8,3.0
2002-02-22,BENTRAI,1.6,3.5
2002-02-23,BENTRAI,2.8,6.0
2002-02-24,BENTRAI,6.2,8.2
2002-02-25,BENTRAI,7.1,10.6
2002-02-26,BENTRAI,7.2,14.5
2002-02-27,BENTRAI,7.8,14.2
2002-02-28,BENTRAI,7.0,21.1
2002-03-01,BENTRAI,3.2,18.8
2002-03-02,BENTRAI,3.0,17.0
2002-03-03,BENTRAI,2.5,15.0
2002-03-04,BENTRAI,2.0,12.0
2002-03-05,BENTRAI,1.5,11.5
2002-03-06,BENTRAI,1.4,11.5
2002-03-07,BENTRAI,2.1,11.4
2002-03-08,BENTRAI,2.2,12.6
2002-03-09,BENTRAI,3.1,17.2
2002-03-10,BENTRAI,3.3,16.1
2002-03-11,BENTRAI,4.0,14.0
2002-03-12,BENTRAI,5.5,14.3
2002-03-13,BENTRAI,5.8,14.5
2002-03-14,BENTRAI,6.5,14.3
2002-03-15,BENTRAI,6.5,14.0
2002-03-16,BENTRAI,4.8,13.8
2002-03-17,BENTRAI,4.2,12.0
2002-03-18,BENTRAI,4.0,11.0
2002-03-19,BENTRAI,3.5,8.1
2002-03-20,BENTRAI,2.0,6.5
2002-03-21,BENTRAI,1.8,5.5
2002-03-22,BENTRAI,2.0,5.1
2002-03-23,BENTRAI,2.0,8.3
2002-03-24,BENTRAI,1.0,10.2
2002-03-25,BENTRAI,1.1,11.0
2002-03-26,BENTRAI,1.2,11.6
2002-03-27,BENTRAI,1.4,13.4
2002-03-28,BENTRAI,9.3,15.6
2002-03-29,BENTRAI,10.2,18.2
2002-03-30,BENTRAI,8.7,19.1
2002-03-31,BENTRAI,10.1,18.1
2002-04-01,BENTRAI,8.7,11.2
2002-04-02,BENTRAI,6.5,12.4
2002-04-03,BENTRAI,6.0,14.5
2002-04-04,BENTRAI,5.6,16.6
2002-04-05,BENTRAI,3.7,14.3
2002-04-06,BENTRAI,2.5,14.4
2002-04-07,BENTRAI,2.0,14.3
2002-04-08,BENTRAI,3.0,15.6
2002-04-09,BENTRAI,3.5,17.5
2002-04-10,BENTRAI,3.8,19.0
2002-04-11,BENTRAI,8.0,20.1
2002-04-12,BENTRAI,7.9,20.7
2002-04-13,BENTRAI,10.8,22.8
2002-04-14,BENTRAI,10.2,22.8
2002-04-15,BENTRAI,10.6,11.3
2002-04-16,BENTRAI,10.2,18.0
2002-04-17,BENTRAI,17.6,19.5
2002-04-18,BENTRAI,6.0,10.2
2002-04-19,BENTRAI,5.5,10.0
2002-04-20,BENTRAI,7.0,15.1
2002-04-21,BENTRAI,4.1,16.1
2002-04-22,BENTRAI,3.3,20.6
2002-04-23,BENTRAI,3.5,18.7
2002-04-24,BENTRAI,4.0,16.5
2002-04-25,BENTRAI,3.8,16.8
2002-04-26,BENTRAI,4.1,17.0
2002-04-27,BENTRAI,6.2,17.4
2002-04-28,BENTRAI,8.7,17.7
2002-04-29,BENTRAI,8.4,17.9
2002-04-30,BENTRAI,9.1,23.5
2002-05-01,BENTRAI,8.5,13.0
2002-05-02,BENTRAI,6.5,12.0
