date,code,min,max
2018-01-01,CAIMIT,0.01,0.01
2018-01-02,CAIMIT,0.01,0.01
2018-01-03,CAIMIT,0.01,0.01
2018-01-04,CAIMIT,0.01,0.01
2018-01-05,CAIMIT,0.01,0.01
2018-01-06,CAIMIT,0.01,0.01
2018-01-07,CAIMIT,0.01,0.01
2018-01-08,CAIMIT,0.01,0.01
2018-01-09,CAIMIT,0.01,0.01
2018-01-10,CAIMIT,0.01,0.01
2018-01-11,CAIMIT,0.01,0.01
2018-01-12,CAIMIT,0.01,0.01
2018-01-13,CAIMIT,0.01,0.01
2018-01-14,CAIMIT,0.01,0.01
2018-01-15,CAIMIT,0.01,0.01
2018-01-16,CAIMIT,0.01,0.01
2018-01-17,CAIMIT,0.01,0.01
2018-01-18,CAIMIT,0.01,0.01
2018-01-19,CAIMIT,0.01,0.01
2018-01-20,CAIMIT,0.01,0.01
2018-01-21,CAIMIT,0.01,0.01
2018-01-22,CAIMIT,0.01,0.01
2018-01-23,CAIMIT,0.01,0.01
2018-01-24,CAIMIT,0.01,0.01
2018-01-25,CAIMIT,0.01,0.01
2018-01-26,CAIMIT,0.01,0.01
2018-01-27,CAIMIT,0.01,0.01
2018-01-28,CAIMIT,0.01,0.01
2018-01-29,CAIMIT,0.01,0.01
2018-01-30,CAIMIT,0.01,0.01
2018-01-31,CAIMIT,0.01,0.01
2018-02-01,CAIMIT,0.01,0.1
2018-02-02,CAIMIT,0.01,0.1
2018-02-03,CAIMIT,0.01,0.1
2018-02-04,CAIMIT,0.01,0.1
2018-02-05,CAIMIT,0.01,0.1
2018-02-06,CAIMIT,0.01,0.2
2018-02-07,CAIMIT,0.01,0.2
2018-02-08,CAIMIT,0.01,0.2
2018-02-09,CAIMIT,0.01,0.2
2018-02-10,CAIMIT,0.01,0.2
2018-02-11,CAIMIT,0.01,0.2
2018-02-12,CAIMIT,0.7,2.8
2018-02-13,CAIMIT,0.9,3.3
2018-02-14,CAIMIT,1.2,2.8
2018-02-15,CAIMIT,0.9,2.4
2018-02-16,CAIMIT,0.8,1.4
2018-02-17,CAIMIT,0.4,0.9
2018-02-18,CAIMIT,0.5,1.2
2018-02-19,CAIMIT,0.6,1.2
2018-02-20,CAIMIT,0.4,1.2
2018-02-21,CAIMIT,0.4,1.1
2018-02-22,CAIMIT,0.2,1.0
2018-02-23,CAIMIT,0.2,0.5
2018-02-24,CAIMIT,0.2,0.5
2018-02-25,CAIMIT,0.1,0.4
2018-02-26,CAIMIT,0.2,0.5
2018-02-27,CAIMIT,0.5,1.6
2018-02-28,CAIMIT,0.9,2.2
2018-03-01,CAIMIT,1.0,2.8
2018-03-02,CAIMIT,2.1,3.0
2018-03-03,CAIMIT,1.2,2.9
2018-03-04,CAIMIT,1.0,1.9
2018-03-05,CAIMIT,0.7,1.6
2018-03-06,CAIMIT,0.9,1.7
2018-03-07,CAIMIT,1.2,1.7
2018-03-08,CAIMIT,0.5,1.6
2018-03-09,CAIMIT,0.9,1.4
2018-03-10,CAIMIT,1.0,2.0
2018-03-11,CAIMIT,0.7,2.5
2018-03-12,CAIMIT,2.1,4.0
2018-03-13,CAIMIT,3.5,6.5
2018-03-14,CAIMIT,4.5,8.6
2018-03-15,CAIMIT,5.8,8.5
2018-03-16,CAIMIT,4.1,7.2
2018-03-17,CAIMIT,3.9,6.8
2018-03-18,CAIMIT,4.2,5.5
2018-03-19,CAIMIT,3.8,6.5
2018-03-20,CAIMIT,4.3,5.8
2018-03-21,CAIMIT,3.1,5.3
2018-03-22,CAIMIT,2.8,4.7
2018-03-23,CAIMIT,3.0,5.2
2018-03-24,CAIMIT,2.9,4.5
2018-03-25,CAIMIT,3.5,5.0
2018-03-26,CAIMIT,2.8,5.1
2018-03-27,CAIMIT,3.9,6.3
2018-03-28,CAIMIT,2.1,4.8
2018-03-29,CAIMIT,3.8,5.4
2018-03-30,CAIMIT,4.2,6.1
2018-03-31,CAIMIT,5.0,6.6
2018-04-01,CAIMIT,4.2,7.0
2018-04-02,CAIMIT,3.5,6.4
2018-04-03,CAIMIT,4.5,6.2
2018-04-04,CAIMIT,3.5,5.6
2018-04-05,CAIMIT,4.1,4.8
2018-04-06,CAIMIT,3.5,4.1
2018-04-07,CAIMIT,2.5,3.7
2018-04-08,CAIMIT,1.9,3.9
2018-04-09,CAIMIT,2.8,5.2
2018-04-10,CAIMIT,3.9,6.7
2018-04-11,CAIMIT,4.1,6.2
2018-04-12,CAIMIT,5.2,6.8
2018-04-13,CAIMIT,4.9,7.7
2018-04-14,CAIMIT,5.3,7.1
2018-04-15,CAIMIT,4.2,6.5
2018-04-16,CAIMIT,5.1,7.5
2018-04-17,CAIMIT,4.9,7.2
2018-04-18,CAIMIT,3.8,6.7
2018-04-19,CAIMIT,4.7,6.3
2018-04-20,CAIMIT,3.1,5.0
2018-04-21,CAIMIT,2.7,4.7
2018-04-22,CAIMIT,3.0,4.1
2018-04-23,CAIMIT,2.0,2.5
2018-04-24,CAIMIT,1.3,2.4
2018-04-25,CAIMIT,1.5,3.0
2018-04-26,CAIMIT,1.7,3.7
2018-04-27,CAIMIT,2.4,3.4
2018-04-28,CAIMIT,1.9,3.6
2018-04-29,CAIMIT,1.2,3.2
2018-04-30,CAIMIT,2.4,3.2
2018-05-01,CAIMIT,1.2,2.7
2018-05-02,CAIMIT,0.9,2.5
2018-05-03,CAIMIT,0.6,1.6
2018-05-04,CAIMIT,0.5,1.4
2018-05-05,CAIMIT,0.4,1.0
2018-05-06,CAIMIT,0.2,0.7
2018-05-07,CAIMIT,0.2,0.5
2018-05-08,CAIMIT,0.2,0.3
2018-05-09,CAIMIT,0.4,1.7
2018-05-10,CAIMIT,0.6,1.5
2018-05-11,CAIMIT,1.2,2.3
2018-05-12,CAIMIT,0.9,4.4
2018-05-13,CAIMIT,1.2,3.4
2018-05-14,CAIMIT,1.1,3.7
2018-05-15,CAIMIT,1.8,3.5
2018-05-16,CAIMIT,2.0,4.0
2018-05-17,CAIMIT,1.1,2.9
2018-05-18,CAIMIT,0.7,2.2
2018-05-19,CAIMIT,0.9,1.3
2018-05-20,CAIMIT,0.2,0.8
2018-05-21,CAIMIT,0.2,0.7
2018-05-22,CAIMIT,0.2,0.6
2018-05-23,CAIMIT,0.2,0.3
2018-05-24,CAIMIT,0.2,0.2
2018-05-25,CAIMIT,0.2,0.2
2018-05-26,CAIMIT,0.2,0.2
2018-05-27,CAIMIT,0.2,0.2
2018-05-28,CAIMIT,0.1,0.2
2018-05-29,CAIMIT,0.2,0.2
2018-05-30,CAIMIT,0.2,0.2
2018-05-31,CAIMIT,0.1,0.2
2018-06-01,CAIMIT,0.01,0.01
2018-06-02,CAIMIT,0.01,0.01
2018-06-03,CAIMIT,0.01,0.01
2018-06-04,CAIMIT,0.01,0.01
2018-06-05,CAIMIT,0.01,0.01
2018-06-06,CAIMIT,0.01,0.01
2018-06-07,CAIMIT,0.01,0.01
2018-06-08,CAIMIT,0.01,0.01
2018-06-09,CAIMIT,0.01,0.01
2018-06-10,CAIMIT,0.01,0.01
2018-06-11,CAIMIT,0.01,0.01
2018-06-12,CAIMIT,0.01,0.01
2018-06-13,CAIMIT,0.01,0.01
2018-06-14,CAIMIT,0.01,0.01
2018-06-15,CAIMIT,0.01,0.01
2018-06-16,CAIMIT,0.01,0.01
2018-06-17,CAIMIT,0.01,0.01
2018-06-18,CAIMIT,0.01,0.01
2018-06-19,CAIMIT,0.01,0.01
2018-06-20,CAIMIT,0.01,0.01
2018-06-21,CAIMIT,0.01,0.01
2018-06-22,CAIMIT,0.01,0.01
2018-06-23,CAIMIT,0.01,0.01
2018-06-24,CAIMIT,0.01,0.01
2018-06-25,CAIMIT,0.01,0.01
2018-06-26,CAIMIT,0.01,0.01
2018-06-27,CAIMIT,0.01,0.01
2018-06-28,CAIMIT,0.01,0.01
2018-06-29,CAIMIT,0.01,0.01
2018-06-30,CAIMIT,0.01,0.01
2018-07-01,CAIMIT,0.01,0.01
2018-07-02,CAIMIT,0.01,0.01
2018-07-03,CAIMIT,0.01,0.01
2018-07-04,CAIMIT,0.01,0.01
2018-07-05,CAIMIT,0.01,0.01
2018-07-06,CAIMIT,0.01,0.01
2018-07-07,CAIMIT,0.01,0.01
2018-07-08,CAIMIT,0.01,0.01
2018-07-09,CAIMIT,0.01,0.01
2018-07-10,CAIMIT,0.01,0.01
2018-07-11,CAIMIT,0.01,0.01
2018-07-12,CAIMIT,0.01,0.01
2018-07-13,CAIMIT,0.01,0.01
2018-07-14,CAIMIT,0.01,0.01
2018-07-15,CAIMIT,0.01,0.01
2018-07-16,CAIMIT,0.01,0.01
2018-07-17,CAIMIT,0.01,0.01
2018-07-18,CAIMIT,0.01,0.01
2018-07-19,CAIMIT,0.01,0.01
2018-07-20,CAIMIT,0.01,0.01
2018-07-21,CAIMIT,0.01,0.01
2018-07-22,CAIMIT,0.01,0.01
2018-07-23,CAIMIT,0.01,0.01
2018-07-24,CAIMIT,0.01,0.01
2018-07-25,CAIMIT,0.01,0.01
2018-07-26,CAIMIT,0.01,0.01
2018-07-27,CAIMIT,0.01,0.01
2018-07-28,CAIMIT,0.01,0.01
2018-07-29,CAIMIT,0.01,0.01
2018-07-30,CAIMIT,0.01,0.01
2018-07-31,CAIMIT,0.01,0.01
2018-08-01,CAIMIT,0.01,0.01
2018-08-02,CAIMIT,0.01,0.01
2018-08-03,CAIMIT,0.01,0.01
2018-08-04,CAIMIT,0.01,0.01
2018-08-05,CAIMIT,0.01,0.01
2018-08-06,CAIMIT,0.01,0.01
2018-08-07,CAIMIT,0.01,0.01
2018-08-08,CAIMIT,0.01,0.01
2018-08-09,CAIMIT,0.01,0.01
2018-08-10,CAIMIT,0.01,0.01
2018-08-11,CAIMIT,0.01,0.01
2018-08-12,CAIMIT,0.01,0.01
2018-08-13,CAIMIT,0.01,0.01
2018-08-14,CAIMIT,0.01,0.01
2018-08-15,CAIMIT,0.01,0.01
2018-08-16,CAIMIT,0.01,0.01
2018-08-17,CAIMIT,0.01,0.01
2018-08-18,CAIMIT,0.01,0.01
2018-08-19,CAIMIT,0.01,0.01
2018-08-20,CAIMIT,0.01,0.01
2018-08-21,CAIMIT,0.01,0.01
2018-08-22,CAIMIT,0.01,0.01
2018-08-23,CAIMIT,0.01,0.01
2018-08-24,CAIMIT,0.01,0.01
2018-08-25,CAIMIT,0.01,0.01
2018-08-26,CAIMIT,0.01,0.01
2018-08-27,CAIMIT,0.01,0.01
2018-08-28,CAIMIT,0.01,0.01
2018-08-29,CAIMIT,0.01,0.01
2018-08-30,CAIMIT,0.01,0.01
2018-08-31,CAIMIT,0.01,0.01
2018-09-01,CAIMIT,0.01,0.01
2018-09-02,CAIMIT,0.01,0.01
2018-09-03,CAIMIT,0.01,0.01
2018-09-04,CAIMIT,0.01,0.01
2018-09-05,CAIMIT,0.01,0.01
2018-09-06,CAIMIT,0.01,0.01
2018-09-07,CAIMIT,0.01,0.01
2018-09-08,CAIMIT,0.01,0.01
2018-09-09,CAIMIT,0.01,0.01
2018-09-10,CAIMIT,0.01,0.01
2018-09-11,CAIMIT,0.01,0.01
2018-09-12,CAIMIT,0.01,0.01
2018-09-13,CAIMIT,0.01,0.01
2018-09-14,CAIMIT,0.01,0.01
2018-09-15,CAIMIT,0.01,0.01
2018-09-16,CAIMIT,0.01,0.01
2018-09-17,CAIMIT,0.01,0.01
2018-09-18,CAIMIT,0.01,0.01
2018-09-19,CAIMIT,0.01,0.01
2018-09-20,CAIMIT,0.01,0.01
2018-09-21,CAIMIT,0.01,0.01
2018-09-22,CAIMIT,0.01,0.01
2018-09-23,CAIMIT,0.01,0.01
2018-09-24,CAIMIT,0.01,0.01
2018-09-25,CAIMIT,0.01,0.01
2018-09-26,CAIMIT,0.01,0.01
2018-09-27,CAIMIT,0.01,0.01
2018-09-28,CAIMIT,0.01,0.01
2018-09-29,CAIMIT,0.01,0.01
