date,code,min,max
2016-01-01,GIAOHOA,0.2,1.0
2016-01-02,GIAOHOA,0.6,3.1
2016-01-03,GIAOHOA,0.3,1.4
2016-01-04,GIAOHOA,1.1,5.0
2016-01-05,GIAOHOA,1.2,6.1
2016-01-06,GIAOHOA,1.0,4.7
2016-01-07,GIAOHOA,0.7,4.2
2016-01-08,GIAOHOA,0.8,4.4
2016-01-09,GIAOHOA,0.8,4.5
2016-01-10,GIAOHOA,1.0,4.7
2016-01-11,GIAOHOA,1.0,4.6
2016-01-12,GIAOHOA,1.2,5.2
2016-01-13,GIAOHOA,1.5,5.7
2016-01-14,GIAOHOA,1.5,5.8
2016-01-15,GIAOHOA,1.4,5.1
2016-01-16,GIAOHOA,1.4,5.1
2016-01-17,GIAOHOA,1.2,3.6
2016-01-18,GIAOHOA,1.2,3.5
2016-01-19,GIAOHOA,1.2,3.5
2016-01-20,GIAOHOA,0.8,2.7
2016-01-21,GIAOHOA,0.8,2.5
2016-01-22,GIAOHOA,0.9,3.2
2016-01-23,GIAOHOA,1.1,3.6
2016-01-24,GIAOHOA,1.2,3.2
2016-01-25,GIAOHOA,1.4,5.9
2016-01-26,GIAOHOA,1.5,6.2
2016-01-27,GIAOHOA,1.3,5.0
2016-01-28,GIAOHOA,1.1,4.2
2016-01-29,GIAOHOA,1.0,4.8
2016-01-30,GIAOHOA,1.4,3.8
2016-01-31,GIAOHOA,2.0,3.7
2016-02-01,GIAOHOA,1.8,4.2
2016-02-02,GIAOHOA,1.6,3.7
2016-02-03,GIAOHOA,1.4,3.7
2016-02-04,GIAOHOA,1.7,7.0
2016-02-05,GIAOHOA,1.7,6.5
2016-02-06,GIAOHOA,1.8,5.6
2016-02-07,GIAOHOA,2.2,5.3
2016-02-08,GIAOHOA,1.7,4.5
2016-02-09,GIAOHOA,2.1,6.4
2016-02-10,GIAOHOA,2.3,6.3
2016-02-11,GIAOHOA,1.9,4.2
2016-02-12,GIAOHOA,1.8,4.6
2016-02-13,GIAOHOA,2.0,4.6
2016-02-14,GIAOHOA,1.8,3.4
2016-02-15,GIAOHOA,1.7,2.8
2016-02-16,GIAOHOA,1.7,2.5
2016-02-17,GIAOHOA,1.6,2.5
2016-02-18,GIAOHOA,1.1,2.3
2016-02-19,GIAOHOA,1.1,2.2
2016-02-20,GIAOHOA,1.7,3.4
2016-02-21,GIAOHOA,1.9,5.7
2016-02-22,GIAOHOA,2.2,6.3
2016-02-23,GIAOHOA,2.1,5.6
2016-02-24,GIAOHOA,2.4,7.6
2016-02-25,GIAOHOA,2.3,5.6
2016-02-26,GIAOHOA,2.9,7.0
2016-02-27,GIAOHOA,2.3,6.6
2016-02-28,GIAOHOA,3.8,6.8
2016-02-29,GIAOHOA,3.8,6.4
2016-03-01,GIAOHOA,3.7,6.5
2016-03-02,GIAOHOA,2.0,5.0
2016-03-03,GIAOHOA,1.9,4.8
2016-03-04,GIAOHOA,1.4,5.0
2016-03-05,GIAOHOA,3.4,7.4
2016-03-06,GIAOHOA,3.3,7.4
