date,code,min,max
2016-01-01,HUONGMY,0.01,0.01
2016-01-02,HUONGMY,1.5,2.3
2016-01-03,HUONGMY,1.2,2.6
2016-01-04,HUONGMY,2.0,2.9
2016-01-05,HUONGMY,3.2600000000000002,4.7
2016-01-06,HUONGMY,4.5200000000000005,6.5
2016-01-07,HUONGMY,5.780000000000001,8.3
2016-01-08,HUONGMY,7.040000000000001,10.1
2016-01-09,HUONGMY,8.3,11.9
2016-01-10,HUONGMY,6.7,10.4
2016-01-11,HUONGMY,4.4,8.4
2016-01-12,HUONGMY,3.3,7.8
2016-01-13,HUONGMY,2.8499999999999996,6.983333333333333
2016-01-14,HUONGMY,2.4,6.166666666666666
2016-01-15,HUONGMY,1.95,5.35
2016-01-16,HUONGMY,1.5,4.533333333333333
2016-01-17,HUONGMY,1.0500000000000003,3.716666666666666
2016-01-18,HUONGMY,0.6,2.9
2016-01-19,HUONGMY,1.8,4.1
2016-01-20,HUONGMY,1.4,4.4
2016-01-21,HUONGMY,1.3,5.8
2016-01-22,HUONGMY,1.2,7.199999999999999
2016-01-23,HUONGMY,1.1,8.6
2016-01-24,HUONGMY,2.1,8.8
2016-01-25,HUONGMY,3.4,6.9
2016-01-26,HUONGMY,3.6999999999999997,7.266666666666667
2016-01-27,HUONGMY,4.0,7.633333333333334
2016-01-28,HUONGMY,4.3,8.0
2016-01-29,HUONGMY,3.6,8.2
2016-01-30,HUONGMY,3.5,6.3
2016-01-31,HUONGMY,2.4,5.6
2016-02-01,HUONGMY,1.3,4.9
2016-02-02,HUONGMY,1.7,4.0
2016-02-03,HUONGMY,1.3,4.1
2016-02-04,HUONGMY,3.34,6.52
2016-02-05,HUONGMY,5.38,8.94
2016-02-06,HUONGMY,7.42,11.36
2016-02-07,HUONGMY,9.46,13.78
2016-02-08,HUONGMY,11.5,16.2
2016-02-09,HUONGMY,11.6,16.6
2016-02-10,HUONGMY,11.4,14.7
2016-02-11,HUONGMY,8.3,15.7
2016-02-12,HUONGMY,7.120000000000001,13.559999999999999
2016-02-13,HUONGMY,5.94,11.42
2016-02-14,HUONGMY,4.76,9.280000000000001
2016-02-15,HUONGMY,3.58,7.140000000000001
2016-02-16,HUONGMY,2.4,5.0
2016-02-17,HUONGMY,2.5,4.0
2016-02-18,HUONGMY,2.0,4.7
2016-02-19,HUONGMY,2.8666666666666663,6.266666666666667
2016-02-20,HUONGMY,3.733333333333333,7.833333333333334
2016-02-21,HUONGMY,4.6,9.4
2016-02-22,HUONGMY,4.8,9.2
2016-02-23,HUONGMY,4.2,10.0
2016-02-24,HUONGMY,4.0,9.2375
2016-02-25,HUONGMY,3.8000000000000003,8.475
2016-02-26,HUONGMY,3.6,7.7125
2016-02-27,HUONGMY,3.4000000000000004,6.95
2016-02-28,HUONGMY,3.2,6.1875
2016-02-29,HUONGMY,3.0,5.425
2016-03-01,HUONGMY,2.8,4.6625000000000005
2016-03-02,HUONGMY,2.6,3.9
2016-03-03,HUONGMY,2.7,3.9
2016-03-04,HUONGMY,3.4,8.7
2016-03-05,HUONGMY,5.125,10.1
2016-03-06,HUONGMY,6.85,11.5
2016-03-07,HUONGMY,8.575000000000001,12.9
2016-03-08,HUONGMY,10.3,14.3
2016-03-09,HUONGMY,10.5,14.4
2016-03-10,HUONGMY,9.5,14.1
2016-03-11,HUONGMY,9.7,15.4
2016-03-12,HUONGMY,8.74,14.0
2016-03-13,HUONGMY,7.779999999999999,12.600000000000001
2016-03-14,HUONGMY,6.82,11.2
2016-03-15,HUONGMY,5.859999999999999,9.8
2016-03-16,HUONGMY,4.9,8.4
2016-03-17,HUONGMY,4.8,6.9
2016-03-18,HUONGMY,3.5,6.7
2016-03-19,HUONGMY,3.65,6.7
2016-03-20,HUONGMY,3.8,6.7
2016-03-21,HUONGMY,3.9499999999999997,6.7
2016-03-22,HUONGMY,4.1,6.7
2016-03-23,HUONGMY,4.1,6.5
2016-03-24,HUONGMY,3.9,6.6
2016-03-25,HUONGMY,3.8499999999999996,6.75
2016-03-26,HUONGMY,3.8,6.9
2016-03-27,HUONGMY,4.0,8.2
2016-03-28,HUONGMY,4.9,7.3
2016-03-29,HUONGMY,4.050000000000001,6.7
2016-03-30,HUONGMY,3.2,6.1
2016-03-31,HUONGMY,2.35,5.5
2016-04-01,HUONGMY,1.5,4.9
2016-04-02,HUONGMY,1.9,5.5
