date,code,min,max
2017-01-01,MOCAY,0.1,0.1
2017-01-02,MOCAY,0.1,0.1
2017-01-03,MOCAY,0.1,0.1
2017-01-04,MOCAY,0.1,0.1
2017-01-05,MOCAY,0.1,0.1
2017-01-06,MOCAY,0.1,0.1
2017-01-07,MOCAY,0.1,0.1
2017-01-08,MOCAY,0.1,0.1
2017-01-09,MOCAY,0.1,0.1
2017-01-10,MOCAY,0.1,0.1
2017-01-11,MOCAY,0.1,0.1
2017-01-12,MOCAY,0.1,0.1
2017-01-13,MOCAY,0.1,0.1
2017-01-14,MOCAY,0.1,0.1
2017-01-15,MOCAY,0.1,0.1
2017-01-16,MOCAY,0.1,0.1
2017-01-17,MOCAY,0.1,0.1
2017-01-18,MOCAY,0.1,0.1
2017-01-19,MOCAY,0.1,0.1
2017-01-20,MOCAY,0.1,0.1
2017-01-21,MOCAY,0.1,0.1
2017-01-22,MOCAY,0.4,0.9
2017-01-23,MOCAY,0.1,0.9
2017-01-24,MOCAY,0.9,1.2
2017-01-25,MOCAY,0.7,1.0
2017-01-26,MOCAY,0.8,1.1
2017-01-27,MOCAY,0.6,1.3
2017-01-28,MOCAY,0.5,1.0
2017-01-29,MOCAY,0.2,0.6
2017-01-30,MOCAY,0.1,0.5
2017-01-31,MOCAY,0.1,0.6
2017-02-01,MOCAY,0.1,0.2
2017-02-02,MOCAY,0.1,0.2
2017-02-03,MOCAY,0.2,0.2
2017-02-04,MOCAY,0.2,0.2
2017-02-05,MOCAY,0.1,0.2
2017-02-06,MOCAY,0.1,0.2
2017-02-07,MOCAY,0.1,0.1
2017-02-08,MOCAY,0.1,0.1
2017-02-09,MOCAY,0.1,0.1
2017-02-10,MOCAY,0.1,0.1
2017-02-11,MOCAY,0.1,0.1
2017-02-12,MOCAY,0.1,0.1
2017-02-13,MOCAY,0.1,0.1
2017-02-14,MOCAY,0.2,0.2
2017-02-15,MOCAY,0.1,0.1
2017-02-16,MOCAY,0.1,0.1
2017-02-17,MOCAY,1.1,2.0
2017-02-18,MOCAY,2.6,3.5
2017-02-19,MOCAY,3.0,3.6
2017-02-20,MOCAY,3.3,3.8
2017-02-21,MOCAY,1.5,2.3
2017-02-22,MOCAY,0.7,3.4
2017-02-23,MOCAY,2.8,3.6
2017-02-24,MOCAY,2.6,3.1
2017-02-25,MOCAY,0.4,1.2
2017-02-26,MOCAY,1.8,2.7
2017-02-27,MOCAY,2.0,2.1
2017-02-28,MOCAY,1.4,1.9
2017-03-01,MOCAY,1.6,4.0
2017-03-02,MOCAY,1.1,3.6
2017-03-03,MOCAY,1.4,3.9
2017-03-04,MOCAY,1.1,3.0
2017-03-05,MOCAY,0.6,1.5
2017-03-06,MOCAY,0.5,1.6
2017-03-07,MOCAY,0.2,0.7
2017-03-08,MOCAY,0.2,0.6
2017-03-09,MOCAY,0.2,0.6
2017-03-10,MOCAY,0.2,0.5
2017-03-11,MOCAY,0.2,0.5
2017-03-12,MOCAY,0.2,0.4
2017-03-13,MOCAY,0.2,0.5
2017-03-14,MOCAY,0.2,0.6
2017-03-15,MOCAY,0.2,0.6
2017-03-16,MOCAY,0.2,0.6
2017-03-17,MOCAY,0.1,0.5
2017-03-18,MOCAY,0.1,0.4
2017-03-19,MOCAY,0.1,0.4
2017-03-20,MOCAY,0.1,0.3
2017-03-21,MOCAY,0.1,0.3
2017-03-22,MOCAY,0.1,0.3
2017-03-23,MOCAY,0.1,0.3
2017-03-24,MOCAY,0.1,0.3
2017-03-25,MOCAY,0.1,0.5
2017-03-26,MOCAY,0.2,0.9
2017-03-27,MOCAY,0.4,1.7
2017-03-28,MOCAY,0.5,2.1
2017-03-29,MOCAY,0.6,2.3
2017-03-30,MOCAY,0.6,2.7
2017-03-31,MOCAY,0.5,2.1
2017-04-01,MOCAY,0.2,0.2
2017-04-02,MOCAY,0.2,0.2
2017-04-03,MOCAY,0.2,0.2
2017-04-04,MOCAY,0.2,0.2
2017-04-05,MOCAY,0.1,0.2
2017-04-06,MOCAY,0.1,0.2
2017-04-07,MOCAY,0.2,0.2
2017-04-08,MOCAY,0.2,0.2
2017-04-09,MOCAY,0.2,0.2
2017-04-10,MOCAY,0.2,0.2
2017-04-11,MOCAY,0.2,0.2
2017-04-12,MOCAY,0.2,0.2
2017-04-13,MOCAY,0.2,0.2
2017-04-14,MOCAY,0.2,0.2
2017-04-15,MOCAY,0.2,0.2
2017-04-16,MOCAY,0.2,0.2
