date,code,min,max
2017-01-01,TANTHIENG,0.01,0.01
2017-01-02,TANTHIENG,0.01,0.01
2017-01-03,TANTHIENG,0.01,0.01
2017-01-04,TANTHIENG,0.01,0.01
2017-01-05,TANTHIENG,0.01,0.01
2017-01-06,TANTHIENG,0.01,0.01
2017-01-07,TANTHIENG,0.01,0.01
2017-01-08,TANTHIENG,0.01,0.01
2017-01-09,TANTHIENG,0.01,0.01
2017-01-10,TANTHIENG,0.01,0.01
2017-01-11,TANTHIENG,0.01,0.01
2017-01-12,TANTHIENG,0.01,0.01
2017-01-13,TANTHIENG,0.01,0.01
2017-01-14,TANTHIENG,0.01,0.01
2017-01-15,TANTHIENG,0.01,0.01
2017-01-16,TANTHIENG,0.01,0.01
2017-01-17,TANTHIENG,0.01,0.01
2017-01-18,TANTHIENG,0.01,0.01
2017-01-19,TANTHIENG,0.01,0.01
2017-01-20,TANTHIENG,0.01,0.01
2017-01-21,TANTHIENG,0.01,0.01
2017-01-22,TANTHIENG,0.01,0.01
2017-01-23,TANTHIENG,0.01,0.01
2017-01-24,TANTHIENG,0.01,0.01
2017-01-25,TANTHIENG,0.01,0.01
2017-01-26,TANTHIENG,0.01,0.01
2017-01-27,TANTHIENG,0.01,0.01
2017-01-28,TANTHIENG,0.01,0.01
2017-01-29,TANTHIENG,0.01,0.01
2017-01-30,TANTHIENG,0.01,0.01
2017-01-31,TANTHIENG,0.01,0.01
2017-02-01,TANTHIENG,0.01,0.01
2017-02-02,TANTHIENG,0.01,0.01
2017-02-03,TANTHIENG,0.01,0.01
2017-02-04,TANTHIENG,0.01,0.01
2017-02-05,TANTHIENG,0.01,0.01
2017-02-06,TANTHIENG,0.01,0.01
2017-02-07,TANTHIENG,0.01,0.01
2017-02-08,TANTHIENG,0.01,0.01
2017-02-09,TANTHIENG,0.01,0.01
2017-02-10,TANTHIENG,0.01,0.01
2017-02-11,TANTHIENG,0.01,0.01
2017-02-12,TANTHIENG,0.01,0.01
2017-02-13,TANTHIENG,0.01,0.01
2017-02-14,TANTHIENG,0.01,0.01
2017-02-15,TANTHIENG,0.01,0.01
2017-02-16,TANTHIENG,0.01,0.01
2017-02-17,TANTHIENG,0.01,0.01
2017-02-18,TANTHIENG,0.01,0.01
2017-02-19,TANTHIENG,0.01,0.01
2017-02-20,TANTHIENG,0.01,0.01
2017-02-21,TANTHIENG,0.01,0.01
2017-02-22,TANTHIENG,0.01,0.01
2017-02-23,TANTHIENG,0.01,0.01
2017-02-24,TANTHIENG,0.01,0.01
2017-02-25,TANTHIENG,0.01,0.01
2017-02-26,TANTHIENG,0.01,0.01
2017-02-27,TANTHIENG,0.01,0.01
2017-02-28,TANTHIENG,0.01,0.01
2017-03-01,TANTHIENG,0.01,0.01
2017-03-02,TANTHIENG,0.01,0.01
2017-03-03,TANTHIENG,0.01,0.01
2017-03-04,TANTHIENG,0.01,0.01
2017-03-05,TANTHIENG,0.01,0.01
2017-03-06,TANTHIENG,0.01,0.01
2017-03-07,TANTHIENG,0.01,0.01
2017-03-08,TANTHIENG,0.01,0.01
2017-03-09,TANTHIENG,0.01,0.01
2017-03-10,TANTHIENG,0.01,0.01
2017-03-11,TANTHIENG,0.01,0.01
2017-03-12,TANTHIENG,0.01,0.01
2017-03-13,TANTHIENG,0.01,0.01
2017-03-14,TANTHIENG,0.01,0.01
2017-03-15,TANTHIENG,0.01,0.01
2017-03-16,TANTHIENG,0.01,0.01
2017-03-17,TANTHIENG,0.01,0.01
2017-03-18,TANTHIENG,0.01,0.01
2017-03-19,TANTHIENG,0.01,0.01
2017-03-20,TANTHIENG,0.01,0.01
2017-03-21,TANTHIENG,0.01,0.01
2017-03-22,TANTHIENG,0.01,0.01
2017-03-23,TANTHIENG,0.01,0.01
2017-03-24,TANTHIENG,0.01,0.01
2017-03-25,TANTHIENG,0.01,0.01
2017-03-26,TANTHIENG,0.01,0.01
2017-03-27,TANTHIENG,0.01,0.01
2017-03-28,TANTHIENG,0.01,0.01
2017-03-29,TANTHIENG,0.01,0.01
2017-03-30,TANTHIENG,0.01,0.01
2017-03-31,TANTHIENG,0.01,0.01
2017-04-01,TANTHIENG,0.01,0.01
2017-04-02,TANTHIENG,0.01,0.01
2017-04-03,TANTHIENG,0.01,0.01
2017-04-04,TANTHIENG,0.01,0.01
2017-04-05,TANTHIENG,0.01,0.01
2017-04-06,TANTHIENG,0.01,0.01
2017-04-07,TANTHIENG,0.01,0.01
2017-04-08,TANTHIENG,0.01,0.01
2017-04-09,TANTHIENG,0.01,0.01
2017-04-10,TANTHIENG,0.01,0.01
2017-04-11,TANTHIENG,0.01,0.01
2017-04-12,TANTHIENG,0.01,0.01
2017-04-13,TANTHIENG,0.01,0.01
2017-04-14,TANTHIENG,0.01,0.01
2017-04-15,TANTHIENG,0.01,0.01
2017-04-16,TANTHIENG,0.01,0.01
2017-04-17,TANTHIENG,0.01,0.01
2017-04-18,TANTHIENG,0.01,0.01
2017-04-19,TANTHIENG,0.01,0.01
2017-04-20,TANTHIENG,0.01,0.01
2017-04-21,TANTHIENG,0.01,0.01
2017-04-22,TANTHIENG,0.01,0.01
2017-04-23,TANTHIENG,0.01,0.01
2017-04-24,TANTHIENG,0.01,0.01
2017-04-25,TANTHIENG,0.01,0.01
2017-04-26,TANTHIENG,0.01,0.01
2017-04-27,TANTHIENG,0.01,0.01
2017-04-28,TANTHIENG,0.01,0.01
2017-04-29,TANTHIENG,0.01,0.01
2017-04-30,TANTHIENG,0.01,0.01
2017-05-01,TANTHIENG,0.01,0.01
2017-05-02,TANTHIENG,0.01,0.01
2017-05-03,TANTHIENG,0.01,0.01
2017-05-04,TANTHIENG,0.01,0.01
2017-05-05,TANTHIENG,0.01,0.01
2017-05-06,TANTHIENG,0.01,0.01
2017-05-07,TANTHIENG,0.01,0.01
2017-05-08,TANTHIENG,0.01,0.01
2017-05-09,TANTHIENG,0.01,0.01
2017-05-10,TANTHIENG,0.01,0.01
2017-05-11,TANTHIENG,0.01,0.01
2017-05-12,TANTHIENG,0.01,0.01
2017-05-13,TANTHIENG,0.01,0.01
2017-05-14,TANTHIENG,0.01,0.01
2017-05-15,TANTHIENG,0.01,0.01
2017-05-16,TANTHIENG,0.01,0.01
2017-05-17,TANTHIENG,0.01,0.01
2017-05-18,TANTHIENG,0.01,0.01
2017-05-19,TANTHIENG,0.01,0.01
2017-05-20,TANTHIENG,0.01,0.01
2017-05-21,TANTHIENG,0.01,0.01
2017-05-22,TANTHIENG,0.01,0.01
2017-05-23,TANTHIENG,0.01,0.01
2017-05-24,TANTHIENG,0.01,0.01
2017-05-25,TANTHIENG,0.01,0.01
2017-05-26,TANTHIENG,0.01,0.01
2017-05-27,TANTHIENG,0.01,0.01
2017-05-28,TANTHIENG,0.01,0.01
2017-05-29,TANTHIENG,0.01,0.01
2017-05-30,TANTHIENG,0.01,0.01
2017-05-31,TANTHIENG,0.01,0.01
2017-06-01,TANTHIENG,0.01,0.01
2017-06-02,TANTHIENG,0.01,0.01
2017-06-03,TANTHIENG,0.01,0.01
2017-06-04,TANTHIENG,0.01,0.01
2017-06-05,TANTHIENG,0.01,0.01
2017-06-06,TANTHIENG,0.01,0.01
2017-06-07,TANTHIENG,0.01,0.01
2017-06-08,TANTHIENG,0.01,0.01
2017-06-09,TANTHIENG,0.01,0.01
2017-06-10,TANTHIENG,0.01,0.01
2017-06-11,TANTHIENG,0.01,0.01
2017-06-12,TANTHIENG,0.01,0.01
2017-06-13,TANTHIENG,0.01,0.01
2017-06-14,TANTHIENG,0.01,0.01
2017-06-15,TANTHIENG,0.01,0.01
2017-06-16,TANTHIENG,0.01,0.01
