date,code,min,max
2018-01-01,THANHTHOIA,0.01,0.03
2018-01-02,THANHTHOIA,0.01,0.03
2018-01-03,THANHTHOIA,0.01,0.03
2018-01-04,THANHTHOIA,0.01,0.03
2018-01-05,THANHTHOIA,0.01,0.03
2018-01-06,THANHTHOIA,0.01,0.03
2018-01-07,THANHTHOIA,0.01,0.03
2018-01-08,THANHTHOIA,0.01,0.03
2018-01-09,THANHTHOIA,0.01,0.03
2018-01-10,THANHTHOIA,0.01,0.03
2018-01-11,THANHTHOIA,0.01,0.03
2018-01-12,THANHTHOIA,0.01,0.03
2018-01-13,THANHTHOIA,0.03,0.1
2018-01-14,THANHTHOIA,0.1,0.2
2018-01-15,THANHTHOIA,0.1,0.1
2018-01-16,THANHTHOIA,0.03,0.03
2018-01-17,THANHTHOIA,0.03,0.04
2018-01-18,THANHTHOIA,0.02,0.02
2018-01-19,THANHTHOIA,0.03,0.05
2018-01-20,THANHTHOIA,0.02,0.02
2018-01-21,THANHTHOIA,0.02,0.02
2018-01-22,THANHTHOIA,0.03,0.03
2018-01-23,THANHTHOIA,0.02,0.02
2018-01-24,THANHTHOIA,0.03,0.03
2018-01-25,THANHTHOIA,0.03,0.03
2018-01-26,THANHTHOIA,0.03,0.03
2018-01-27,THANHTHOIA,0.03,0.04
2018-01-28,THANHTHOIA,0.04,0.04
2018-01-29,THANHTHOIA,0.05,0.05
2018-01-30,THANHTHOIA,0.05,0.05
2018-01-31,THANHTHOIA,0.05,0.05
2018-02-01,THANHTHOIA,0.08,0.08
2018-02-02,THANHTHOIA,0.08,0.09
2018-02-03,THANHTHOIA,0.08,0.1
2018-02-04,THANHTHOIA,0.09,0.11
2018-02-05,THANHTHOIA,0.1,0.12
2018-02-06,THANHTHOIA,0.1,0.11
2018-02-07,THANHTHOIA,0.09,0.1
2018-02-08,THANHTHOIA,0.11,0.15
2018-02-09,THANHTHOIA,0.15,0.16
2018-02-10,THANHTHOIA,0.17,0.2
2018-02-11,THANHTHOIA,0.21,0.22
2018-02-12,THANHTHOIA,0.2,0.22
2018-02-13,THANHTHOIA,0.22,0.24
2018-02-14,THANHTHOIA,0.17,0.19
2018-02-15,THANHTHOIA,0.17,0.18
2018-02-16,THANHTHOIA,0.12,0.22
2018-02-17,THANHTHOIA,0.21,0.21
2018-02-18,THANHTHOIA,0.18,0.19
2018-02-19,THANHTHOIA,0.18,0.18
2018-02-20,THANHTHOIA,0.17,0.19
2018-02-21,THANHTHOIA,0.15,0.16
2018-02-22,THANHTHOIA,0.15,0.15
2018-02-23,THANHTHOIA,0.17,0.18
2018-02-24,THANHTHOIA,0.17,0.2
2018-02-25,THANHTHOIA,0.18,0.2
2018-02-26,THANHTHOIA,0.18,0.21
2018-02-27,THANHTHOIA,0.22,0.3
2018-02-28,THANHTHOIA,0.4,0.45
2018-03-01,THANHTHOIA,0.39,0.41
2018-03-02,THANHTHOIA,0.37,0.38
2018-03-03,THANHTHOIA,0.37,0.37
2018-03-04,THANHTHOIA,0.32,0.35
2018-03-05,THANHTHOIA,0.4,0.45
2018-03-06,THANHTHOIA,0.42,0.45
2018-03-07,THANHTHOIA,0.5,0.61
2018-03-08,THANHTHOIA,0.65,0.72
2018-03-09,THANHTHOIA,0.66,0.77
2018-03-10,THANHTHOIA,0.7,0.91
2018-03-11,THANHTHOIA,0.83,0.97
2018-03-12,THANHTHOIA,1.0,1.21
2018-03-13,THANHTHOIA,1.25,1.41
2018-03-14,THANHTHOIA,1.52,1.65
2018-03-15,THANHTHOIA,1.71,1.91
2018-03-16,THANHTHOIA,1.9,2.15
2018-03-17,THANHTHOIA,2.1,2.31
2018-03-18,THANHTHOIA,1.89,1.92
2018-03-19,THANHTHOIA,1.43,1.52
2018-03-20,THANHTHOIA,1.2,1.36
2018-03-21,THANHTHOIA,1.1,1.17
2018-03-22,THANHTHOIA,0.95,1.0
2018-03-23,THANHTHOIA,0.75,0.82
2018-03-24,THANHTHOIA,0.6,0.65
2018-03-25,THANHTHOIA,0.61,0.68
2018-03-26,THANHTHOIA,0.59,0.62
2018-03-27,THANHTHOIA,0.66,0.7
2018-03-28,THANHTHOIA,0.75,0.81
2018-03-29,THANHTHOIA,0.72,0.8
2018-03-30,THANHTHOIA,0.69,0.73
2018-03-31,THANHTHOIA,0.65,0.71
2018-04-01,THANHTHOIA,0.76,0.88
2018-04-02,THANHTHOIA,1.1,1.18
2018-04-03,THANHTHOIA,1.21,1.25
2018-04-04,THANHTHOIA,0.92,1.1
2018-04-05,THANHTHOIA,0.7,0.95
2018-04-06,THANHTHOIA,0.78,0.95
2018-04-07,THANHTHOIA,0.57,0.8
2018-04-08,THANHTHOIA,0.42,0.54
