date,code,min,max
2002-01-01,BINHDAI,0.5,2.0
2002-01-02,BINHDAI,1.0,3.0
2002-01-03,BINHDAI,1.1,3.5
2002-01-04,BINHDAI,1.2,4.0
2002-01-05,BINHDAI,1.3,4.1
2002-01-06,BINHDAI,1.1,3.5
2002-01-07,BINHDAI,1.0,3.0
2002-01-08,BINHDAI,0.9,2.5
2002-01-09,BINHDAI,1.0,2.0
2002-01-10,BINHDAI,0.8,2.5
2002-01-11,BINHDAI,0.9,2.8
2002-01-12,BINHDAI,1.2,3.0
2002-01-13,BINHDAI,1.0,3.2
2002-01-14,BINHDAI,0.8,3.4
2002-01-15,BINHDAI,0.7,3.8
2002-01-16,BINHDAI,0.8,4.0
2002-01-17,BINHDAI,0.9,4.1
2002-01-18,BINHDAI,1.3,4.2
2002-01-19,BINHDAI,1.4,4.5
2002-01-20,BINHDAI,1.5,5.0
2002-01-21,BINHDAI,1.2,5.0
2002-01-22,BINHDAI,1.0,5.5
2002-01-23,BINHDAI,0.8,6.0
2002-01-24,BINHDAI,0.9,6.5
2002-01-25,BINHDAI,1.3,6.8
2002-01-26,BINHDAI,2.0,7.0
2002-01-27,BINHDAI,2.0,6.9
2002-01-28,BINHDAI,5.0,7.3
2002-01-29,BINHDAI,3.2,7.4
2002-01-30,BINHDAI,3.0,7.6
2002-01-31,BINHDAI,2.5,7.6
2002-02-01,BINHDAI,1.5,8.0
2002-02-02,BINHDAI,2.0,8.6
2002-02-03,BINHDAI,2.0,9.5
2002-02-04,BINHDAI,1.5,11.0
2002-02-05,BINHDAI,2.2,12.0
2002-02-06,BINHDAI,1.3,11.5
2002-02-07,BINHDAI,1.8,7.0
2002-02-08,BINHDAI,1.4,7.0
2002-02-09,BINHDAI,1.7,10.5
2002-02-10,BINHDAI,3.0,12.3
2002-02-11,BINHDAI,3.5,15.0
2002-02-12,BINHDAI,3.3,18.6
2002-02-13,BINHDAI,3.8,22.4
2002-02-14,BINHDAI,3.5,18.4
2002-02-15,BINHDAI,3.8,16.4
2002-02-16,BINHDAI,4.0,15.3
2002-02-17,BINHDAI,3.2,14.0
2002-02-18,BINHDAI,3.0,13.8
2002-02-19,BINHDAI,3.3,13.5
2002-02-20,BINHDAI,3.5,11.3
2002-02-21,BINHDAI,6.2,11.9
2002-02-22,BINHDAI,5.5,12.1
2002-02-23,BINHDAI,6.0,13.5
2002-02-24,BINHDAI,7.0,15.0
2002-02-25,BINHDAI,8.0,18.2
2002-02-26,BINHDAI,6.2,22.2
2002-02-27,BINHDAI,7.5,22.5
2002-02-28,BINHDAI,6.6,23.0
2002-03-01,BINHDAI,4.0,24.0
2002-03-02,BINHDAI,4.1,24.2
