date,code,min,max
2002-04-01,ANTHUAN,17.0,14.5
2004-01-31,ANTHUAN,6.9,4.8
2004-05-23,LOCTHUAN,4.06,3.36
2005-05-24,SONDOC,5.0,1.4
2008-01-05,SONDOC,0.2,0.1
2008-02-09,ANTHUAN,40.8,21.8
2008-03-05,ANTHUAN,40.1,21.0
2008-05-03,SONDOC,25.5,5.4
2009-03-06,BENTRAI,24.0,12.7
2011-02-28,BENTRAI,36.0,23.8
2011-03-06,SONDOC,2.1,0.4
2011-04-12,BINHDAI,58.4,22.7
2011-04-12,BENTRAI,6.0,0.0
2011-05-27,LOCTHUAN,5.3,5.1
2017-01-09,TRACU,2.0,0.2
2017-02-15,BENCHUA,13.9,12.0
2017-03-24,LANGTHE,0.3,0.1
2017-04-17,PHUOCLONG,1.7,0.2
2017-04-28,VANGQUOITAY,5.6,5.2
