date,code,min,max
2017-02-01,MYHOA,,0.3
2017-02-02,MYHOA,,0.2
2017-02-03,MYHOA,,0.1
2017-02-04,MYHOA,,0.1
2017-02-05,MYHOA,,0.1
2017-02-06,MYHOA,,0.1
2017-02-07,MYHOA,,0.1
2017-02-08,MYHOA,,0.1
2017-02-09,MYHOA,,0.1
2017-02-10,MYHOA,,0.1
2017-02-11,MYHOA,,0.2
2017-02-12,MYHOA,,0.3
2017-02-13,MYHOA,,0.3
2017-02-14,MYHOA,,0.4
2017-02-15,MYHOA,,0.4
2017-02-16,MYHOA,,0.3
2017-02-17,MYHOA,,0.3
2017-02-18,MYHOA,,0.3
2017-02-19,MYHOA,,0.2
2017-02-20,MYHOA,,0.3
2017-02-21,MYHOA,,0.3
2017-02-22,MYHOA,,0.9
2017-02-23,MYHOA,,0.9
2017-02-24,MYHOA,,1.0
2017-02-25,MYHOA,,1.4
2017-02-26,MYHOA,,1.9
2017-02-27,MYHOA,,2.1
2017-02-28,MYHOA,,2.6
2017-03-01,MYHOA,,2.6
2017-03-02,MYHOA,,2.3
2017-03-03,MYHOA,,2.5
2017-03-04,MYHOA,,1.9
2017-03-05,MYHOA,,0.9
2017-03-06,MYHOA,,0.9
2017-03-07,MYHOA,,0.3
2017-03-08,MYHOA,,0.4
2017-03-09,MYHOA,,0.4
2017-03-10,MYHOA,,0.4
2017-03-11,MYHOA,,0.4
2017-03-12,MYHOA,,0.4
2017-03-13,MYHOA,,0.4
2017-03-14,MYHOA,,0.3
2017-03-15,MYHOA,,0.3
2017-03-16,MYHOA,,0.3
2017-03-17,MYHOA,,0.2
2017-03-18,MYHOA,,0.2
2017-03-19,MYHOA,,0.2
2017-03-20,MYHOA,,0.1
2017-03-21,MYHOA,,0.1
2017-03-22,MYHOA,,0.1
2017-03-23,MYHOA,,0.1
2017-03-24,MYHOA,,0.1
2017-03-25,MYHOA,,0.2
2017-03-26,MYHOA,,0.4
2017-03-27,MYHOA,,0.8
2017-03-28,MYHOA,,1.0
2017-03-29,MYHOA,,1.1
2017-03-30,MYHOA,,1.2
2017-03-31,MYHOA,,1.0
2017-04-01,MYHOA,,0.7
2017-04-02,MYHOA,,0.7
2017-04-03,MYHOA,,0.6
2017-04-04,MYHOA,,0.6
2017-04-05,MYHOA,,0.5
2017-04-06,MYHOA,,0.4
2017-04-07,MYHOA,,0.4
2017-04-08,MYHOA,,0.4
2017-04-09,MYHOA,,0.4
2017-04-10,MYHOA,,0.4
2017-04-11,MYHOA,,0.2
2017-04-12,MYHOA,,0.2
2017-04-13,MYHOA,,0.2
2017-04-14,MYHOA,,0.2
2017-04-15,MYHOA,,0.2
2017-04-16,MYHOA,,0.2
2017-04-17,MYHOA,,0.2
2017-04-18,MYHOA,,0.1
2017-04-19,MYHOA,,0.1
2017-04-20,MYHOA,,0.1
2017-04-21,MYHOA,,0.1
2017-04-22,MYHOA,,0.6
2017-04-23,MYHOA,,1.5
2017-04-24,MYHOA,,1.6
2017-04-25,MYHOA,,1.6
2017-04-26,MYHOA,,1.8
2017-04-27,MYHOA,,1.7
2017-04-28,MYHOA,,1.8
2017-04-29,MYHOA,,1.5
2017-04-30,MYHOA,,1.2
2017-05-01,MYHOA,,1.0
2017-05-02,MYHOA,,0.6
2017-05-03,MYHOA,,0.4
2017-05-04,MYHOA,,0.3
2017-05-05,MYHOA,,0.2
2017-05-06,MYHOA,,0.2
2017-05-07,MYHOA,,0.2
