date,code,min,max
2016-01-02,ANTHUAN,8.6,22.1
2016-01-03,ANTHUAN,8.7,19.4
2016-01-04,ANTHUAN,11.4,21.7
2016-01-09,ANTHUAN,12.3,21.7
2016-01-10,ANTHUAN,10.7,22.1
2016-01-11,ANTHUAN,10.9,21.7
2016-01-12,ANTHUAN,10.2,22.8
2016-01-18,ANTHUAN,10.9,22.6
2016-01-19,ANTHUAN,9.8,22.9
2016-01-20,ANTHUAN,10.9,21.6
2016-01-23,ANTHUAN,11.8,24.1
2016-01-24,ANTHUAN,13.5,27.1
2016-01-25,ANTHUAN,13.2,28.5
2016-01-28,ANTHUAN,15.1,27.9
2016-01-29,ANTHUAN,14.6,26.0
2016-01-30,ANTHUAN,17.1,27.6
2016-02-01,ANTHUAN,15.5,26.2
2016-02-02,ANTHUAN,16.2,28.0
2016-02-03,ANTHUAN,15.8,28.7
2016-02-08,ANTHUAN,25.0,31.2
2016-02-09,ANTHUAN,18.8,30.1
2016-02-10,ANTHUAN,18.9,29.4
2016-02-11,ANTHUAN,16.9,29.1
2016-02-16,ANTHUAN,15.3,26.5
2016-02-17,ANTHUAN,17.2,27.2
2016-02-18,ANTHUAN,16.6,28.7
2016-02-21,ANTHUAN,20.2,29.8
2016-02-22,ANTHUAN,18.4,29.6
2016-02-23,ANTHUAN,17.7,28.6
2016-02-26,ANTHUAN,21.1,31.1
2016-02-27,ANTHUAN,20.9,30.8
2016-02-28,ANTHUAN,22.8,31.5
2016-03-02,ANTHUAN,22.4,29.7
2016-03-03,ANTHUAN,21.5,30.0
2016-03-04,ANTHUAN,19.3,30.3
2016-03-08,ANTHUAN,20.0,28.3
2016-03-09,ANTHUAN,20.8,28.2
2016-03-10,ANTHUAN,21.2,28.7
2016-03-11,ANTHUAN,21.8,29.5
2016-03-16,ANTHUAN,21.4,27.5
2016-03-17,ANTHUAN,18.7,26.5
2016-03-18,ANTHUAN,17.4,25.7
2016-03-22,ANTHUAN,18.4,25.2
2016-03-23,ANTHUAN,18.2,24.6
2016-03-24,ANTHUAN,18.6,24.5
2016-03-26,ANTHUAN,14.9,28.6
2016-03-27,ANTHUAN,22.3,29.7
2016-03-28,ANTHUAN,24.4,30.4
2016-04-01,ANTHUAN,19.7,28.4
2016-04-02,ANTHUAN,18.7,27.6
2016-04-03,ANTHUAN,17.2,27.3
2016-04-06,ANTHUAN,19.4,26.1
2016-04-07,ANTHUAN,19.0,26.0
2016-04-08,ANTHUAN,19.3,26.0
2016-04-09,ANTHUAN,20.8,26.3
2016-04-15,ANTHUAN,12.4,20.4
2016-04-16,ANTHUAN,11.6,20.0
2016-04-17,ANTHUAN,11.2,20.1
2016-04-23,ANTHUAN,14.0,21.5
2016-04-24,ANTHUAN,13.7,21.6
2016-04-25,ANTHUAN,14.2,21.2
2016-04-28,ANTHUAN,10.4,17.7
2016-04-29,ANTHUAN,9.6,18.0
2016-04-30,ANTHUAN,9.1,18.5
2016-05-06,ANTHUAN,13.0,22.0
2016-05-07,ANTHUAN,11.9,22.6
2016-05-08,ANTHUAN,13.2,21.8
2016-05-09,ANTHUAN,12.0,23.2
2016-05-14,ANTHUAN,8.3,19.5
2016-05-15,ANTHUAN,9.6,19.8
2016-05-16,ANTHUAN,7.8,20.0
2016-05-20,ANTHUAN,8.0,18.7
2016-05-21,ANTHUAN,8.5,18.4
2016-05-22,ANTHUAN,7.9,17.7
2016-05-24,ANTHUAN,6.9,16.5
2016-05-25,ANTHUAN,6.8,15.2
2016-05-26,ANTHUAN,7.0,15.0
2016-05-29,ANTHUAN,6.3,15.1
2016-05-30,ANTHUAN,6.4,17.4
2016-05-31,ANTHUAN,7.3,18.8
2016-06-04,ANTHUAN,4.7,18.2
2016-06-05,ANTHUAN,4.5,18.2
2016-06-06,ANTHUAN,4.3,17.6
2016-06-08,ANTHUAN,3.4,16.1
2016-06-09,ANTHUAN,4.0,13.8
2016-06-10,ANTHUAN,3.8,14.2
2016-06-13,ANTHUAN,3.5,16.6
2016-06-14,ANTHUAN,3.9,17.5
2016-06-15,ANTHUAN,5.7,16.5
2016-06-22,ANTHUAN,5.4,15.0
2016-06-23,ANTHUAN,5.3,14.4
2016-06-24,ANTHUAN,3.0,14.4
2016-06-27,ANTHUAN,2.4,12.4
2016-06-28,ANTHUAN,2.5,11.3
2016-06-29,ANTHUAN,2.4,13.7
