date,code,min,max
2017-01-01,BENCHUA,11.0,14.0
2017-01-02,BENCHUA,12.6,14.3
2017-01-03,BENCHUA,8.1,10.0
2017-01-04,BENCHUA,8.4,10.6
2017-01-05,BENCHUA,8.0,10.3
2017-01-06,BENCHUA,7.7,10.0
2017-01-07,BENCHUA,8.1,10.2
2017-01-08,BENCHUA,9.0,11.0
2017-01-09,BENCHUA,8.5,10.1
2017-01-10,BENCHUA,8.2,10.3
2017-01-11,BENCHUA,8.0,10.0
2017-01-12,BENCHUA,8.4,10.1
2017-01-13,BENCHUA,8.6,11.3
2017-01-14,BENCHUA,9.5,12.6
2017-01-15,BENCHUA,8.8,10.2
2017-01-16,BENCHUA,9.0,10.0
2017-01-17,BENCHUA,9.1,11.0
2017-01-18,BENCHUA,10.3,11.1
2017-01-19,BENCHUA,10.3,11.5
2017-01-20,BENCHUA,7.0,8.9
2017-01-21,BENCHUA,7.9,9.2
2017-01-22,BENCHUA,7.5,9.4
2017-01-23,BENCHUA,7.2,9.0
2017-01-24,BENCHUA,8.4,8.7
2017-01-25,BENCHUA,8.5,8.7
2017-01-26,BENCHUA,9.9,11.6
2017-01-27,BENCHUA,10.6,13.1
2017-01-28,BENCHUA,12.4,13.9
2017-01-29,BENCHUA,8.2,12.7
2017-01-30,BENCHUA,12.5,14.5
2017-01-31,BENCHUA,12.2,13.4
2017-02-01,BENCHUA,13.4,14.2
2017-02-02,BENCHUA,13.0,14.1
2017-02-03,BENCHUA,13.1,13.7
2017-02-04,BENCHUA,13.0,13.1
2017-02-05,BENCHUA,10.8,10.9
2017-02-06,BENCHUA,9.6,9.8
2017-02-07,BENCHUA,9.8,10.2
2017-02-08,BENCHUA,10.9,11.2
2017-02-09,BENCHUA,10.8,11.7
2017-02-10,BENCHUA,11.4,12.6
2017-02-11,BENCHUA,12.0,12.3
2017-02-12,BENCHUA,12.1,12.7
2017-02-13,BENCHUA,12.7,13.4
2017-02-14,BENCHUA,12.5,13.7
2017-02-15,BENCHUA,12.0,13.9
2017-02-16,BENCHUA,10.4,11.6
2017-02-17,BENCHUA,9.8,10.8
2017-02-18,BENCHUA,10.5,12.7
2017-02-19,BENCHUA,10.0,11.0
2017-02-20,BENCHUA,10.2,10.3
2017-02-21,BENCHUA,9.2,10.0
2017-02-22,BENCHUA,9.6,9.7
2017-02-23,BENCHUA,10.1,11.5
2017-02-24,BENCHUA,10.3,14.7
2017-02-25,BENCHUA,10.2,15.1
2017-02-26,BENCHUA,9.7,14.0
2017-02-27,BENCHUA,13.7,15.0
2017-02-28,BENCHUA,9.8,14.8
2017-03-01,BENCHUA,14.0,17.6
2017-03-02,BENCHUA,14.4,18.0
2017-03-03,BENCHUA,14.2,17.7
2017-03-04,BENCHUA,14.5,18.5
2017-03-05,BENCHUA,13.2,16.5
2017-03-06,BENCHUA,12.4,15.1
2017-03-07,BENCHUA,7.8,14.9
2017-03-08,BENCHUA,13.9,14.1
2017-03-09,BENCHUA,12.3,13.7
2017-03-10,BENCHUA,12.9,13.3
2017-03-11,BENCHUA,12.0,13.5
2017-03-12,BENCHUA,11.7,13.7
2017-03-13,BENCHUA,10.7,12.6
2017-03-14,BENCHUA,7.5,14.5
2017-03-15,BENCHUA,12.3,14.1
2017-03-16,BENCHUA,14.0,14.1
2017-03-17,BENCHUA,13.2,13.2
2017-03-18,BENCHUA,13.3,13.4
2017-03-19,BENCHUA,11.2,11.6
2017-03-20,BENCHUA,10.7,11.0
2017-03-21,BENCHUA,10.5,10.7
2017-03-22,BENCHUA,9.4,9.6
2017-03-23,BENCHUA,9.5,18.5
2017-03-24,BENCHUA,9.4,10.6
2017-03-25,BENCHUA,10.7,11.2
2017-03-26,BENCHUA,10.3,11.0
2017-03-27,BENCHUA,10.2,11.1
2017-03-28,BENCHUA,13.1,15.2
2017-03-29,BENCHUA,14.3,16.0
2017-03-30,BENCHUA,12.5,15.5
2017-03-31,BENCHUA,14.0,16.3
2017-04-01,BENCHUA,13.1,15.3
2017-04-02,BENCHUA,15.8,15.9
2017-04-03,BENCHUA,15.0,15.1
2017-04-04,BENCHUA,14.1,14.3
2017-04-05,BENCHUA,11.7,12.9
2017-04-06,BENCHUA,8.9,11.2
2017-04-07,BENCHUA,10.6,12.0
2017-04-08,BENCHUA,10.5,11.7
2017-04-09,BENCHUA,10.8,12.5
2017-04-10,BENCHUA,11.0,13.0
2017-04-11,BENCHUA,10.5,13.2
2017-04-12,BENCHUA,9.8,13.8
2017-04-13,BENCHUA,12.7,13.3
2017-04-14,BENCHUA,7.8,13.4
2017-04-15,BENCHUA,6.5,13.1
2017-04-16,BENCHUA,5.5,12.9
2017-04-17,BENCHUA,4.3,12.7
2017-04-18,BENCHUA,12.3,12.4
2017-04-19,BENCHUA,5.4,6.9
2017-04-20,BENCHUA,12.1,12.9
2017-04-21,BENCHUA,12.3,13.0
2017-04-22,BENCHUA,12.5,13.5
2017-04-23,BENCHUA,13.6,14.0
2017-04-24,BENCHUA,15.0,16.0
2017-04-25,BENCHUA,18.3,18.8
2017-04-26,BENCHUA,18.1,18.7
2017-04-27,BENCHUA,14.2,14.7
2017-04-28,BENCHUA,17.0,17.2
2017-04-29,BENCHUA,14.3,14.6
2017-04-30,BENCHUA,14.0,14.1
2017-05-01,BENCHUA,14.2,14.5
2017-05-02,BENCHUA,13.4,14.0
2017-05-03,BENCHUA,13.0,13.5
2017-05-04,BENCHUA,12.0,12.8
2017-05-05,BENCHUA,11.6,12.3
2017-05-06,BENCHUA,12.1,12.5
2017-05-07,BENCHUA,11.5,12.0
2017-05-08,BENCHUA,12.0,12.4
2017-05-09,BENCHUA,12.1,12.3
2017-05-10,BENCHUA,11.8,12.5
2017-05-11,BENCHUA,11.3,12.6
2017-05-12,BENCHUA,10.2,11.4
2017-05-13,BENCHUA,10.1,10.3
2017-05-14,BENCHUA,6.0,7.8
2017-05-15,BENCHUA,5.9,7.6
2017-05-16,BENCHUA,7.5,8.0
2017-05-17,BENCHUA,6.3,11.6
2017-05-18,BENCHUA,10.7,12.3
2017-05-19,BENCHUA,10.4,12.4
2017-05-20,BENCHUA,6.5,11.6
2017-05-21,BENCHUA,12.0,15.4
2017-05-22,BENCHUA,12.2,13.3
2017-05-23,BENCHUA,6.8,14.8
2017-05-24,BENCHUA,13.0,14.5
2017-05-25,BENCHUA,13.4,14.2
2017-05-26,BENCHUA,13.0,13.1
2017-05-27,BENCHUA,7.0,14.4
2017-05-28,BENCHUA,10.5,13.7
2017-05-29,BENCHUA,6.7,10.7
2017-05-30,BENCHUA,5.7,9.8
2017-05-31,BENCHUA,5.2,8.8
