date,code,min,max
2012-02-01,BENTRAI,1.1,8.35
2012-02-02,BENTRAI,1.7,9.125
2012-02-03,BENTRAI,2.275,11.65
2012-02-09,BENTRAI,4.2,18.95
2012-02-10,BENTRAI,3.45,17.125
2012-02-11,BENTRAI,3.225,19.375
2012-02-15,BENTRAI,1.9,8.375
2012-02-16,BENTRAI,2.475,10.425
2012-02-17,BENTRAI,2.075,18.325
2012-02-20,BENTRAI,5.425,19.175
2012-02-21,BENTRAI,5.175,17.45
2012-02-22,BENTRAI,4.525,16.5
2012-03-02,BENTRAI,1.35,3.925
2012-03-03,BENTRAI,2.05,10.65
2012-03-04,BENTRAI,2.65,11.275
2012-03-09,BENTRAI,6.65,18.95
2012-03-10,BENTRAI,6.05,19.875
2012-03-11,BENTRAI,4.825,25.175
2012-03-16,BENTRAI,2.625,12.55
2012-03-17,BENTRAI,2.8,17.725
2012-03-18,BENTRAI,3.15,18.25
2012-03-23,BENTRAI,7.15,15.125
2012-03-24,BENTRAI,6.45,15.4
2012-03-25,BENTRAI,5.625,16.2
2012-03-30,BENTRAI,2.875,13.55
2012-03-31,BENTRAI,2.575,12.9825
2012-04-01,BENTRAI,3.1,11.825
2012-04-08,BENTRAI,9.95,23.45
2012-04-09,BENTRAI,10.425,27.25
2012-04-10,BENTRAI,10.775,27.325
2012-04-16,BENTRAI,2.625,17.85
2012-04-17,BENTRAI,3.075,18.2
2012-04-18,BENTRAI,4.825,15.325
2012-04-22,BENTRAI,4.475,13.975
2012-04-23,BENTRAI,3.975,14.975
2012-04-24,BENTRAI,3.675,15.275
2012-04-29,BENTRAI,1.9,16.575
2012-04-30,BENTRAI,1.6,19.7
2012-05-01,BENTRAI,1.575,21.25
2012-05-07,BENTRAI,5.1,19.525
2012-05-08,BENTRAI,4.625,20.7
2012-05-09,BENTRAI,6.85,19.125
2012-05-15,BENTRAI,2.325,16.65
2012-05-16,BENTRAI,3.4,21.125
2012-05-17,BENTRAI,2.0,14.675
2012-05-22,BENTRAI,5.3,14.525
2012-05-23,BENTRAI,4.7,14.25
2012-05-24,BENTRAI,4.0,14.05
2012-05-29,BENTRAI,2.075,18.45
2012-05-30,BENTRAI,1.6,18.1
2012-05-31,BENTRAI,1.975,17.525
2012-06-05,BENTRAI,3.275,15.025
2012-06-06,BENTRAI,2.5,16.775
2012-06-07,BENTRAI,2.975,14.375
2012-06-12,BENTRAI,0.275,4.425
2012-06-13,BENTRAI,0.5,4.275
2012-06-14,BENTRAI,0.5,1.3
2012-06-23,BENTRAI,2.075,11.025
2012-06-24,BENTRAI,0.975,8.6
2012-06-25,BENTRAI,0.3,7.075
2012-06-27,BENTRAI,0.4,9.1
2012-06-28,BENTRAI,0.6,4.55
2012-06-29,BENTRAI,0.4,3.1
