date,code,min,max
2011-01-01,BINHDAI,3.0,7.1
2011-01-02,BINHDAI,3.1,7.7
2011-01-03,BINHDAI,3.3,7.5
2011-01-04,BINHDAI,2.8,7.9
2011-01-05,BINHDAI,3.3,7.4
2011-01-06,BINHDAI,3.8,8.5
2011-01-07,BINHDAI,3.5,8.0
2011-01-08,BINHDAI,3.0,6.7
2011-01-09,BINHDAI,3.2,7.1
2011-01-10,BINHDAI,3.1,6.6
2011-01-11,BINHDAI,3.4,7.2
2011-01-12,BINHDAI,3.6,8.1
2011-01-13,BINHDAI,3.7,8.5
2011-01-14,BINHDAI,4.1,9.0
2011-01-15,BINHDAI,4.3,10.1
2011-01-16,BINHDAI,5.0,12.1
2011-01-17,BINHDAI,5.2,14.5
2011-01-18,BINHDAI,6.5,18.0
2011-01-19,BINHDAI,6.1,14.0
2011-01-20,BINHDAI,5.8,13.5
2011-01-21,BINHDAI,5.5,13.1
2011-01-22,BINHDAI,6.0,14.0
2011-01-23,BINHDAI,5.7,13.8
2011-01-24,BINHDAI,5.4,13.5
2011-01-25,BINHDAI,5.3,13.8
2011-01-26,BINHDAI,5.8,14.0
2011-01-27,BINHDAI,7.0,15.0
2011-01-28,BINHDAI,6.2,14.7
2011-01-29,BINHDAI,6.8,15.8
2011-01-30,BINHDAI,7.0,16.8
2011-01-31,BINHDAI,7.5,17.5
2011-02-01,BINHDAI,5.5,22.5
2011-02-02,BINHDAI,4.7,21.1
2011-02-03,BINHDAI,5.2,21.9
2011-02-04,BINHDAI,4.1,21.0
2011-02-05,BINHDAI,3.9,20.6
2011-02-06,BINHDAI,4.0,19.9
2011-02-07,BINHDAI,4.3,20.2
2011-02-08,BINHDAI,3.9,19.1
2011-02-09,BINHDAI,3.5,19.0
2011-02-10,BINHDAI,3.1,18.1
2011-02-11,BINHDAI,2.8,14.3
2011-02-12,BINHDAI,3.2,19.6
2011-02-13,BINHDAI,4.9,19.7
2011-02-14,BINHDAI,5.0,20.5
2011-02-15,BINHDAI,6.7,22.0
2011-02-16,BINHDAI,8.5,24.8
2011-02-17,BINHDAI,9.0,24.3
2011-02-18,BINHDAI,9.4,24.1
2011-02-19,BINHDAI,9.2,24.0
2011-02-20,BINHDAI,10.0,24.8
2011-02-21,BINHDAI,9.7,24.7
2011-02-22,BINHDAI,10.0,25.1
2011-02-23,BINHDAI,10.2,26.0
2011-02-24,BINHDAI,10.5,26.3
2011-02-25,BINHDAI,10.1,26.1
2011-02-26,BINHDAI,8.3,26.6
2011-02-27,BINHDAI,6.6,25.4
2011-02-28,BINHDAI,6.4,24.8
2011-03-01,BINHDAI,7.0,21.5
2011-03-02,BINHDAI,8.5,21.3
2011-03-03,BINHDAI,9.1,21.8
2011-03-04,BINHDAI,8.9,21.6
2011-03-05,BINHDAI,9.5,21.3
2011-03-06,BINHDAI,9.0,21.7
2011-03-07,BINHDAI,8.3,21.9
2011-03-08,BINHDAI,9.1,22.2
2011-03-09,BINHDAI,8.5,23.1
2011-03-10,BINHDAI,9.0,23.6
2011-03-11,BINHDAI,9.3,24.1
2011-03-12,BINHDAI,10.2,25.4
2011-03-13,BINHDAI,8.3,26.8
2011-03-14,BINHDAI,7.9,25.3
2011-03-15,BINHDAI,8.5,25.0
2011-03-16,BINHDAI,8.8,24.7
2011-03-17,BINHDAI,7.7,23.6
2011-03-18,BINHDAI,8.0,24.8
2011-03-19,BINHDAI,7.5,24.5
2011-03-20,BINHDAI,12.0,24.3
2011-03-21,BINHDAI,13.3,24.6
2011-03-22,BINHDAI,12.1,23.7
2011-03-23,BINHDAI,10.4,23.7
2011-03-24,BINHDAI,9.1,24.1
2011-03-25,BINHDAI,8.5,25.0
2011-03-26,BINHDAI,6.8,24.1
2011-03-27,BINHDAI,6.3,24.5
2011-03-28,BINHDAI,4.7,25.0
2011-03-29,BINHDAI,5.1,23.7
2011-03-30,BINHDAI,4.2,20.8
2011-03-31,BINHDAI,4.3,20.4
2011-04-01,BINHDAI,5.0,19.5
2011-04-02,BINHDAI,6.1,19.7
2011-04-03,BINHDAI,7.3,20.0
2011-04-04,BINHDAI,7.0,19.0
2011-04-05,BINHDAI,8.2,19.1
2011-04-06,BINHDAI,8.8,19.2
2011-04-07,BINHDAI,7.3,20.1
2011-04-08,BINHDAI,6.9,20.5
2011-04-09,BINHDAI,7.5,21.0
2011-04-10,BINHDAI,7.2,22.1
2011-04-11,BINHDAI,6.2,22.4
2011-04-12,BINHDAI,22.7,58.4
