date,code,min,max
2017-01-01,CAIHOP,0.1,0.1
2017-01-02,CAIHOP,0.1,0.1
2017-01-03,CAIHOP,0.1,0.1
2017-01-04,CAIHOP,0.1,0.1
2017-01-05,CAIHOP,0.1,0.1
2017-01-06,CAIHOP,0.1,0.1
2017-01-07,CAIHOP,0.1,0.1
2017-01-08,CAIHOP,0.1,0.1
2017-01-09,CAIHOP,0.1,0.1
2017-01-10,CAIHOP,0.1,0.1
2017-01-11,CAIHOP,0.1,0.1
2017-01-12,CAIHOP,0.1,0.1
2017-01-13,CAIHOP,0.1,0.1
2017-01-14,CAIHOP,0.1,0.1
2017-01-15,CAIHOP,0.1,0.1
2017-01-16,CAIHOP,0.1,0.1
2017-01-17,CAIHOP,0.3,0.3
2017-01-18,CAIHOP,0.1,0.1
2017-01-19,CAIHOP,0.2,0.2
2017-01-20,CAIHOP,0.1,0.1
2017-01-21,CAIHOP,0.1,0.1
2017-01-22,CAIHOP,0.1,0.1
2017-01-23,CAIHOP,0.3,0.3
2017-01-24,CAIHOP,0.1,1.0
2017-01-25,CAIHOP,0.8,1.8
2017-01-26,CAIHOP,0.7,1.3
2017-01-27,CAIHOP,0.3,3.1
2017-01-28,CAIHOP,0.1,0.2
2017-01-29,CAIHOP,0.1,0.1
2017-01-30,CAIHOP,0.1,0.2
2017-01-31,CAIHOP,0.1,0.1
2017-02-01,CAIHOP,0.1,0.1
2017-02-02,CAIHOP,0.1,0.1
2017-02-03,CAIHOP,0.1,0.1
2017-02-04,CAIHOP,0.1,0.1
2017-02-05,CAIHOP,0.1,0.1
2017-02-06,CAIHOP,0.1,0.1
2017-02-07,CAIHOP,0.1,0.1
2017-02-08,CAIHOP,0.1,0.1
2017-02-09,CAIHOP,0.1,0.1
2017-02-10,CAIHOP,0.1,0.1
2017-02-11,CAIHOP,0.1,0.1
2017-02-12,CAIHOP,0.1,0.1
2017-02-13,CAIHOP,0.1,0.1
2017-02-14,CAIHOP,0.1,0.1
2017-02-15,CAIHOP,0.1,0.1
2017-02-16,CAIHOP,0.1,0.1
2017-02-17,CAIHOP,0.1,0.2
2017-02-18,CAIHOP,0.1,0.1
2017-02-19,CAIHOP,0.2,0.2
2017-02-20,CAIHOP,0.2,0.3
2017-02-21,CAIHOP,1.6,2.0
2017-02-22,CAIHOP,0.5,4.2
2017-02-23,CAIHOP,0.4,6.0
2017-02-24,CAIHOP,0.5,3.2
2017-02-25,CAIHOP,0.6,1.9
2017-02-26,CAIHOP,0.7,1.8
2017-02-27,CAIHOP,0.6,1.6
2017-02-28,CAIHOP,0.6,1.7
2017-03-01,CAIHOP,0.0,2.5
2017-03-02,CAIHOP,0.0,1.0
2017-03-03,CAIHOP,0.0,0.7
2017-03-04,CAIHOP,0.0,0.0
2017-03-05,CAIHOP,0.0,0.0
2017-03-06,CAIHOP,0.0,0.0
2017-03-07,CAIHOP,0.0,0.0
2017-03-08,CAIHOP,0.0,0.0
2017-03-09,CAIHOP,0.0,0.0
2017-03-10,CAIHOP,0.0,0.0
2017-03-11,CAIHOP,0.0,0.0
2017-03-12,CAIHOP,0.0,0.0
2017-03-13,CAIHOP,0.0,0.0
2017-03-14,CAIHOP,0.0,0.0
2017-03-15,CAIHOP,0.0,0.0
2017-03-16,CAIHOP,0.0,0.0
2017-03-17,CAIHOP,0.0,0.0
2017-03-18,CAIHOP,0.0,0.0
2017-03-19,CAIHOP,0.0,0.0
2017-03-20,CAIHOP,0.0,0.0
2017-03-21,CAIHOP,0.0,0.0
2017-03-22,CAIHOP,0.0,0.0
2017-03-23,CAIHOP,0.0,0.0
2017-03-24,CAIHOP,0.0,0.0
2017-03-25,CAIHOP,0.0,0.0
2017-03-26,CAIHOP,0.0,0.0
2017-03-27,CAIHOP,0.0,0.0
2017-03-28,CAIHOP,0.0,0.0
2017-03-29,CAIHOP,0.0,0.0
2017-03-30,CAIHOP,0.0,0.0
2017-03-31,CAIHOP,0.0,0.0
2017-04-01,CAIHOP,0.0,0.0
2017-04-02,CAIHOP,0.0,0.0
2017-04-03,CAIHOP,0.0,0.0
2017-04-04,CAIHOP,0.0,0.0
2017-04-05,CAIHOP,0.0,0.0
2017-04-06,CAIHOP,0.0,0.0
2017-04-07,CAIHOP,0.0,1.3
2017-04-08,CAIHOP,0.5,0.7
2017-04-09,CAIHOP,0.4,0.4
2017-04-10,CAIHOP,0.0,0.3
2017-04-11,CAIHOP,0.0,0.0
2017-04-12,CAIHOP,0.0,0.0
2017-04-13,CAIHOP,0.0,0.0
2017-04-14,CAIHOP,0.0,0.4
2017-04-15,CAIHOP,0.0,0.3
2017-04-16,CAIHOP,0.0,0.0
2017-04-17,CAIHOP,0.0,0.0
2017-04-18,CAIHOP,0.0,0.0
2017-04-19,CAIHOP,0.0,0.0
2017-04-20,CAIHOP,0.0,0.0
2017-04-21,CAIHOP,0.3,0.8
2017-04-22,CAIHOP,1.3,1.6
2017-04-23,CAIHOP,2.7,2.8
2017-04-24,CAIHOP,2.0,3.8
2017-04-25,CAIHOP,0.9,2.8
2017-04-26,CAIHOP,0.0,0.0
2017-04-27,CAIHOP,0.0,0.0
2017-04-28,CAIHOP,0.0,0.0
2017-04-29,CAIHOP,0.0,0.0
2017-04-30,CAIHOP,0.0,0.0
2017-05-01,CAIHOP,0.0,0.0
2017-05-02,CAIHOP,0.0,0.0
2017-05-03,CAIHOP,0.0,0.0
2017-05-04,CAIHOP,0.0,0.0
2017-05-05,CAIHOP,0.0,0.0
2017-05-06,CAIHOP,0.0,0.0
2017-05-07,CAIHOP,0.0,0.0
2017-05-08,CAIHOP,0.0,0.0
2017-05-09,CAIHOP,0.0,0.0
2017-05-10,CAIHOP,0.0,0.0
2017-05-11,CAIHOP,0.0,0.0
2017-05-12,CAIHOP,0.0,0.0
2017-05-13,CAIHOP,0.0,0.0
2017-05-14,CAIHOP,0.0,0.0
2017-05-15,CAIHOP,0.0,0.0
2017-05-16,CAIHOP,0.0,0.0
2017-05-17,CAIHOP,0.0,0.0
2017-05-18,CAIHOP,0.0,0.0
2017-05-19,CAIHOP,0.0,0.0
2017-05-20,CAIHOP,0.0,0.0
2017-05-21,CAIHOP,0.5,1.0
2017-05-22,CAIHOP,1.7,1.7
2017-05-23,CAIHOP,0.3,1.4
2017-05-24,CAIHOP,0.1,0.3
2017-05-25,CAIHOP,0.0,0.0
2017-05-26,CAIHOP,0.0,0.0
2017-05-27,CAIHOP,0.0,0.0
2017-05-28,CAIHOP,0.0,0.0
2017-05-29,CAIHOP,0.0,0.0
2017-05-30,CAIHOP,0.0,0.0
2017-05-31,CAIHOP,0.0,0.0
