date,code,min,max
2018-01-01,CAMSON,0.1,0.1
2018-01-02,CAMSON,0.1,0.1
2018-01-03,CAMSON,0.1,0.1
2018-01-04,CAMSON,0.1,0.1
2018-01-05,CAMSON,0.1,0.1
2018-01-06,CAMSON,0.1,0.1
2018-01-07,CAMSON,0.1,0.1
2018-01-08,CAMSON,0.1,0.1
2018-01-09,CAMSON,0.1,0.1
2018-01-10,CAMSON,0.1,0.1
2018-01-11,CAMSON,0.1,0.1
2018-01-12,CAMSON,0.1,0.1
2018-01-13,CAMSON,0.1,0.1
2018-01-14,CAMSON,0.1,0.3
2018-01-15,CAMSON,0.1,0.3
2018-01-16,CAMSON,0.06,0.1
2018-01-17,CAMSON,0.05,0.07
2018-01-18,CAMSON,0.08,0.09
2018-01-19,CAMSON,0.09,0.1
2018-01-20,CAMSON,0.1,0.12
2018-01-21,CAMSON,0.17,0.24
2018-01-22,CAMSON,0.2,0.21
2018-01-23,CAMSON,0.32,0.33
2018-01-24,CAMSON,0.27,0.28
2018-01-25,CAMSON,0.31,0.33
2018-01-26,CAMSON,0.38,0.4
2018-01-27,CAMSON,0.39,0.48
2018-01-28,CAMSON,0.47,0.49
2018-01-29,CAMSON,0.44,0.46
2018-01-30,CAMSON,0.28,0.3
2018-01-31,CAMSON,0.29,0.3
2018-02-01,CAMSON,0.24,0.28
2018-02-02,CAMSON,0.29,0.33
2018-02-03,CAMSON,0.31,0.32
2018-02-04,CAMSON,0.27,0.3
2018-02-05,CAMSON,0.31,0.34
2018-02-06,CAMSON,0.33,0.39
2018-02-07,CAMSON,0.38,0.38
2018-02-08,CAMSON,0.41,0.45
2018-02-09,CAMSON,0.48,0.49
2018-02-10,CAMSON,0.51,0.58
2018-02-11,CAMSON,0.59,0.63
2018-02-12,CAMSON,0.61,0.69
2018-02-13,CAMSON,0.65,0.7
2018-02-14,CAMSON,0.61,0.63
2018-02-15,CAMSON,0.59,0.6
2018-02-16,CAMSON,0.59,0.59
2018-02-17,CAMSON,0.58,0.59
2018-02-18,CAMSON,0.53,0.55
2018-02-19,CAMSON,0.51,0.53
2018-02-20,CAMSON,0.45,0.51
2018-02-21,CAMSON,0.44,0.49
