date,code,min,max
2018-01-01,CONGNANGAM,0.0,0.0
2018-01-02,CONGNANGAM,0.0,0.0
2018-01-03,CONGNANGAM,0.0,0.0
2018-01-04,CONGNANGAM,0.0,0.0
2018-01-05,CONGNANGAM,0.0,0.0
2018-01-06,CONGNANGAM,0.0,0.0
2018-01-07,CONGNANGAM,0.0,0.0
2018-01-08,CONGNANGAM,0.0,0.0
2018-01-09,CONGNANGAM,0.0,0.0
2018-01-10,CONGNANGAM,0.0,0.0
2018-01-11,CONGNANGAM,0.0,0.0
2018-01-12,CONGNANGAM,0.0,0.0
2018-01-13,CONGNANGAM,0.0,0.0
2018-01-14,CONGNANGAM,0.0,0.1
2018-01-15,CONGNANGAM,0.1,0.3
2018-01-16,CONGNANGAM,0.1,0.2
2018-01-17,CONGNANGAM,0.1,0.2
2018-01-18,CONGNANGAM,0.0,0.1
2018-01-19,CONGNANGAM,0.0,0.0
2018-01-20,CONGNANGAM,0.0,0.1
2018-01-21,CONGNANGAM,0.1,0.1
2018-01-22,CONGNANGAM,0.1,0.1
2018-01-23,CONGNANGAM,0.0,0.0
2018-01-24,CONGNANGAM,0.0,0.0
2018-01-25,CONGNANGAM,0.0,0.0
2018-01-26,CONGNANGAM,0.0,0.0
2018-01-27,CONGNANGAM,0.0,0.0
2018-01-28,CONGNANGAM,0.0,0.0
2018-01-29,CONGNANGAM,0.0,0.0
2018-01-30,CONGNANGAM,0.0,0.0
2018-01-31,CONGNANGAM,0.0,0.0
2018-02-01,CONGNANGAM,0.0,0.0
2018-02-02,CONGNANGAM,0.0,0.0
2018-02-03,CONGNANGAM,0.0,0.0
2018-02-04,CONGNANGAM,0.0,0.0
2018-02-05,CONGNANGAM,0.0,0.0
2018-02-06,CONGNANGAM,0.0,0.0
2018-02-07,CONGNANGAM,0.0,0.0
2018-02-08,CONGNANGAM,0.0,0.0
2018-02-09,CONGNANGAM,0.0,0.0
2018-02-10,CONGNANGAM,0.0,0.0
2018-02-11,CONGNANGAM,0.0,0.0
2018-02-12,CONGNANGAM,0.0,0.0
2018-02-13,CONGNANGAM,0.0,0.0
2018-02-14,CONGNANGAM,0.0,0.0
2018-02-15,CONGNANGAM,0.0,0.0
2018-02-16,CONGNANGAM,0.0,0.0
2018-02-17,CONGNANGAM,0.0,0.0
2018-02-18,CONGNANGAM,0.0,0.0
2018-02-19,CONGNANGAM,0.0,0.0
2018-02-20,CONGNANGAM,0.0,0.0
2018-02-21,CONGNANGAM,0.0,0.0
2018-02-22,CONGNANGAM,0.0,0.0
2018-02-23,CONGNANGAM,0.0,0.0
2018-02-24,CONGNANGAM,0.0,0.0
2018-02-25,CONGNANGAM,0.0,0.0
2018-02-26,CONGNANGAM,0.0,0.0
2018-02-27,CONGNANGAM,0.0,0.0
2018-02-28,CONGNANGAM,0.0,0.0
2018-03-01,CONGNANGAM,0.0,0.0
2018-03-02,CONGNANGAM,0.0,0.0
2018-03-03,CONGNANGAM,0.0,0.0
2018-03-04,CONGNANGAM,0.0,0.0
2018-03-05,CONGNANGAM,0.0,0.0
2018-03-06,CONGNANGAM,0.0,0.0
2018-03-07,CONGNANGAM,0.0,0.0
2018-03-08,CONGNANGAM,0.0,0.0
2018-03-09,CONGNANGAM,0.0,0.0
2018-03-10,CONGNANGAM,0.0,0.0
2018-03-11,CONGNANGAM,0.0,0.0
2018-03-12,CONGNANGAM,0.0,0.0
2018-03-13,CONGNANGAM,0.0,0.0
2018-03-14,CONGNANGAM,0.0,0.0
2018-03-15,CONGNANGAM,0.0,0.0
2018-03-16,CONGNANGAM,0.0,0.0
2018-03-17,CONGNANGAM,0.0,0.0
2018-03-18,CONGNANGAM,0.0,0.0
2018-03-19,CONGNANGAM,0.0,0.0
2018-03-20,CONGNANGAM,0.0,0.0
2018-03-21,CONGNANGAM,0.0,0.0
2018-03-22,CONGNANGAM,0.0,0.0
2018-03-23,CONGNANGAM,0.0,0.0
2018-03-24,CONGNANGAM,0.0,0.0
2018-03-25,CONGNANGAM,0.0,0.0
2018-03-26,CONGNANGAM,0.0,0.0
2018-03-27,CONGNANGAM,0.0,0.0
2018-03-28,CONGNANGAM,0.0,0.0
2018-03-29,CONGNANGAM,0.0,0.0
2018-03-30,CONGNANGAM,0.0,0.0
2018-03-31,CONGNANGAM,0.0,0.0
2018-04-01,CONGNANGAM,0.0,0.0
2018-04-02,CONGNANGAM,0.0,0.0
2018-04-03,CONGNANGAM,0.0,0.0
2018-04-04,CONGNANGAM,0.0,0.0
2018-04-05,CONGNANGAM,0.0,0.0
2018-04-06,CONGNANGAM,0.0,0.0
2018-04-07,CONGNANGAM,0.0,0.0
2018-04-08,CONGNANGAM,0.0,0.0
2018-04-09,CONGNANGAM,0.0,0.0
2018-04-10,CONGNANGAM,0.0,0.0
2018-04-11,CONGNANGAM,0.0,0.0
2018-04-12,CONGNANGAM,0.0,0.0
2018-04-13,CONGNANGAM,0.0,0.0
2018-04-14,CONGNANGAM,0.0,0.0
2018-04-15,CONGNANGAM,0.0,0.0
2018-04-16,CONGNANGAM,0.0,0.0
2018-04-17,CONGNANGAM,0.0,0.0
2018-04-18,CONGNANGAM,0.0,0.0
2018-04-19,CONGNANGAM,0.0,0.0
2018-04-20,CONGNANGAM,0.0,0.0
2018-04-21,CONGNANGAM,0.0,0.0
2018-04-22,CONGNANGAM,0.0,0.0
2018-04-23,CONGNANGAM,0.0,0.0
2018-04-24,CONGNANGAM,0.0,0.0
2018-04-25,CONGNANGAM,0.0,0.0
2018-04-26,CONGNANGAM,0.0,0.0
2018-04-27,CONGNANGAM,0.0,0.0
2018-04-28,CONGNANGAM,0.0,0.0
2018-04-29,CONGNANGAM,0.0,0.0
2018-04-30,CONGNANGAM,0.0,0.0
2018-05-01,CONGNANGAM,0.0,0.0
2018-05-02,CONGNANGAM,0.0,0.0
2018-05-03,CONGNANGAM,0.0,0.0
2018-05-04,CONGNANGAM,0.0,0.0
2018-05-05,CONGNANGAM,0.0,0.0
2018-05-06,CONGNANGAM,0.0,0.0
2018-05-07,CONGNANGAM,0.0,0.0
2018-05-08,CONGNANGAM,0.0,0.0
2018-05-09,CONGNANGAM,0.0,0.0
2018-05-10,CONGNANGAM,0.0,0.0
2018-05-11,CONGNANGAM,0.0,0.0
2018-05-12,CONGNANGAM,0.0,0.0
2018-05-13,CONGNANGAM,0.0,0.0
2018-05-14,CONGNANGAM,0.0,0.0
2018-05-15,CONGNANGAM,0.0,0.0
2018-05-16,CONGNANGAM,0.0,0.0
2018-05-17,CONGNANGAM,0.0,0.0
2018-05-18,CONGNANGAM,0.0,0.0
2018-05-19,CONGNANGAM,0.0,0.0
2018-05-20,CONGNANGAM,0.0,0.0
2018-05-21,CONGNANGAM,0.0,0.0
2018-05-22,CONGNANGAM,0.0,0.0
2018-05-23,CONGNANGAM,0.0,0.0
2018-05-24,CONGNANGAM,0.0,0.0
2018-05-25,CONGNANGAM,0.0,0.0
2018-05-26,CONGNANGAM,0.0,0.0
2018-05-27,CONGNANGAM,0.0,0.0
2018-05-28,CONGNANGAM,0.0,0.0
2018-05-29,CONGNANGAM,0.0,0.0
2018-05-30,CONGNANGAM,0.0,0.0
2018-05-31,CONGNANGAM,0.0,0.0
