date,code,min,max
2016-01-02,HUONGMY,1.5,2.3
2016-01-03,HUONGMY,1.2,2.6
2016-01-04,HUONGMY,2.0,2.9
2016-01-09,HUONGMY,8.3,11.9
2016-01-10,HUONGMY,6.7,10.4
2016-01-11,HUONGMY,4.4,8.4
2016-01-12,HUONGMY,3.3,7.8
2016-01-18,HUONGMY,0.6,2.9
2016-01-19,HUONGMY,1.8,4.1
2016-01-20,HUONGMY,1.4,4.4
2016-01-23,HUONGMY,1.1,8.6
2016-01-24,HUONGMY,2.1,8.8
2016-01-25,HUONGMY,3.4,6.9
2016-01-28,HUONGMY,4.3,8.0
2016-01-29,HUONGMY,3.6,8.2
2016-01-30,HUONGMY,3.5,6.3
2016-02-01,HUONGMY,1.3,4.9
2016-02-02,HUONGMY,1.7,4.0
2016-02-03,HUONGMY,1.3,4.1
2016-02-08,HUONGMY,11.5,16.2
2016-02-09,HUONGMY,11.6,16.6
2016-02-10,HUONGMY,11.4,14.7
2016-02-11,HUONGMY,8.3,15.7
2016-02-16,HUONGMY,2.4,5.0
2016-02-17,HUONGMY,2.5,4.0
2016-02-18,HUONGMY,2.0,4.7
2016-02-21,HUONGMY,4.6,9.4
2016-02-22,HUONGMY,4.8,9.2
2016-02-23,HUONGMY,4.2,10.0
2016-03-02,HUONGMY,2.6,3.9
2016-03-03,HUONGMY,2.7,3.9
2016-03-04,HUONGMY,3.4,8.7
2016-03-08,HUONGMY,10.3,14.3
2016-03-09,HUONGMY,10.5,14.4
2016-03-10,HUONGMY,9.5,14.1
2016-03-11,HUONGMY,9.7,15.4
2016-03-16,HUONGMY,4.9,8.4
2016-03-17,HUONGMY,4.8,6.9
2016-03-18,HUONGMY,3.5,6.7
2016-03-22,HUONGMY,4.1,6.7
2016-03-23,HUONGMY,4.1,6.5
2016-03-24,HUONGMY,3.9,6.6
2016-03-26,HUONGMY,3.8,6.9
2016-03-27,HUONGMY,4.0,8.2
2016-03-28,HUONGMY,4.9,7.3
2016-04-01,HUONGMY,1.5,4.9
2016-04-02,HUONGMY,1.9,5.5
2016-04-03,HUONGMY,2.0,6.3
2016-04-06,HUONGMY,5.8,10.6
2016-04-07,HUONGMY,6.6,8.8
2016-04-08,HUONGMY,6.0,9.3
2016-04-09,HUONGMY,4.5,8.9
2016-04-15,HUONGMY,1.0,3.1
2016-04-16,HUONGMY,0.9,2.9
2016-04-17,HUONGMY,1.0,3.2
2016-04-23,HUONGMY,1.9,4.4
2016-04-24,HUONGMY,1.3,4.6
2016-04-25,HUONGMY,1.2,3.6
2016-04-28,HUONGMY,0.8,2.8
2016-04-29,HUONGMY,0.4,2.0
2016-04-30,HUONGMY,0.4,2.2
2016-05-06,HUONGMY,3.5,6.8
2016-05-07,HUONGMY,3.9,6.9
2016-05-08,HUONGMY,2.9,6.5
2016-05-09,HUONGMY,2.7,5.9
2016-05-14,HUONGMY,0.9,4.7
2016-05-15,HUONGMY,0.8,3.4
2016-05-16,HUONGMY,1.2,3.2
2016-05-20,HUONGMY,2.7,5.6
2016-05-21,HUONGMY,2.6,4.3
2016-05-22,HUONGMY,2.4,4.4
2016-05-24,HUONGMY,0.6,2.4
2016-05-25,HUONGMY,0.8,1.8
2016-05-26,HUONGMY,0.5,1.9
2016-05-29,HUONGMY,0.6,2.5
2016-05-30,HUONGMY,0.3,2.5
2016-05-31,HUONGMY,0.4,2.4
2016-06-04,HUONGMY,0.8,3.0
2016-06-05,HUONGMY,0.5,3.3
2016-06-06,HUONGMY,0.3,1.3
2016-06-08,HUONGMY,0.1,1.0
2016-06-09,HUONGMY,0.0,0.8
2016-06-10,HUONGMY,0.1,1.1
2016-06-13,HUONGMY,0.1,1.6
2016-06-14,HUONGMY,0.5,1.4
2016-06-15,HUONGMY,0.4,1.5
2016-06-22,HUONGMY,0.5,2.1
2016-06-23,HUONGMY,0.3,1.4
2016-06-24,HUONGMY,0.1,0.9
2016-06-27,HUONGMY,0.1,0.7
2016-06-28,HUONGMY,0.1,0.9
2016-06-29,HUONGMY,0.1,0.8
