date,code,min,max
2016-01-02,LOCTHUAN,2.2,3.9
2016-01-03,LOCTHUAN,2.6,4.2
2016-01-04,LOCTHUAN,2.9,5.7
2016-01-09,LOCTHUAN,7.2,11.2
2016-01-10,LOCTHUAN,7.0,11.5
2016-01-11,LOCTHUAN,6.8,11.0
2016-01-12,LOCTHUAN,6.2,10.9
2016-01-18,LOCTHUAN,6.9,11.4
2016-01-19,LOCTHUAN,7.4,12.5
2016-01-20,LOCTHUAN,7.9,12.9
2016-01-23,LOCTHUAN,6.5,11.7
2016-01-24,LOCTHUAN,7.0,12.5
2016-01-25,LOCTHUAN,7.6,13.1
2016-01-28,LOCTHUAN,7.8,13.6
2016-01-29,LOCTHUAN,6.5,12.4
2016-01-30,LOCTHUAN,6.3,11.6
2016-02-01,LOCTHUAN,7.5,12.3
2016-02-02,LOCTHUAN,8.0,12.0
2016-02-03,LOCTHUAN,7.2,12.5
2016-02-08,LOCTHUAN,7.0,13.4
2016-02-09,LOCTHUAN,7.5,13.7
2016-02-10,LOCTHUAN,8.2,13.9
2016-02-11,LOCTHUAN,7.9,12.9
2016-02-16,LOCTHUAN,6.7,12.6
2016-02-17,LOCTHUAN,7.2,13.6
2016-02-18,LOCTHUAN,8.5,14.1
2016-02-21,LOCTHUAN,7.9,14.3
2016-02-22,LOCTHUAN,7.5,14.6
2016-02-23,LOCTHUAN,7.8,13.5
2016-02-24,LOCTHUAN,7.4,13.7
2016-02-27,LOCTHUAN,9.0,15.5
2016-02-28,LOCTHUAN,9.2,14.8
2016-03-02,LOCTHUAN,7.4,14.5
2016-03-03,LOCTHUAN,8.2,13.5
2016-03-04,LOCTHUAN,8.0,14.7
2016-03-08,LOCTHUAN,8.7,14.9
2016-03-09,LOCTHUAN,8.0,15.5
2016-03-10,LOCTHUAN,10.4,16.8
2016-03-11,LOCTHUAN,10.4,16.5
2016-03-16,LOCTHUAN,9.7,15.2
2016-03-17,LOCTHUAN,10.2,15.5
2016-03-18,LOCTHUAN,9.8,15.3
2016-03-22,LOCTHUAN,8.3,14.0
2016-03-23,LOCTHUAN,9.5,14.7
2016-03-24,LOCTHUAN,10.0,15.6
2016-03-26,LOCTHUAN,10.7,15.9
2016-03-27,LOCTHUAN,11.2,16.7
2016-03-28,LOCTHUAN,11.8,17.5
2016-04-01,LOCTHUAN,9.2,16.7
2016-04-02,LOCTHUAN,10.3,17.5
2016-04-03,LOCTHUAN,10.4,17.0
2016-04-06,LOCTHUAN,9.8,14.6
2016-04-07,LOCTHUAN,9.4,15.1
2016-04-08,LOCTHUAN,9.3,15.7
2016-04-09,LOCTHUAN,9.2,15.5
2016-04-15,LOCTHUAN,7.5,11.7
2016-04-16,LOCTHUAN,7.2,12.0
2016-04-17,LOCTHUAN,6.7,12.5
2016-04-23,LOCTHUAN,6.5,10.7
2016-04-24,LOCTHUAN,6.0,11.0
2016-04-25,LOCTHUAN,5.7,10.4
2016-04-28,LOCTHUAN,4.5,8.3
2016-04-29,LOCTHUAN,4.0,9.3
2016-04-30,LOCTHUAN,4.2,8.7
2016-05-06,LOCTHUAN,5.7,13.5
2016-05-07,LOCTHUAN,6.5,13.3
2016-05-08,LOCTHUAN,7.0,14.0
2016-05-09,LOCTHUAN,6.4,13.7
2016-05-14,LOCTHUAN,5.5,10.5
2016-05-15,LOCTHUAN,4.0,10.0
2016-05-16,LOCTHUAN,3.1,9.5
2016-05-20,LOCTHUAN,3.7,4.0
2016-05-21,LOCTHUAN,4.1,9.2
2016-05-22,LOCTHUAN,3.2,8.9
2016-05-24,LOCTHUAN,3.2,8.7
2016-05-25,LOCTHUAN,3.0,7.5
2016-05-26,LOCTHUAN,2.9,7.1
2016-05-29,LOCTHUAN,3.2,7.6
2016-05-30,LOCTHUAN,3.0,6.7
2016-05-31,LOCTHUAN,2.9,6.4
2016-06-04,LOCTHUAN,3.4,7.8
2016-06-05,LOCTHUAN,3.2,8.3
2016-06-06,LOCTHUAN,3.1,8.0
2016-06-08,LOCTHUAN,2.9,7.4
2016-06-09,LOCTHUAN,2.2,5.9
2016-06-10,LOCTHUAN,1.9,5.1
2016-06-13,LOCTHUAN,1.8,5.4
2016-06-14,LOCTHUAN,1.7,7.2
2016-06-15,LOCTHUAN,3.0,7.6
2016-06-22,LOCTHUAN,1.7,4.7
2016-06-23,LOCTHUAN,1.7,4.5
2016-06-24,LOCTHUAN,1.2,3.6
2016-06-27,LOCTHUAN,1.0,2.4
2016-06-28,LOCTHUAN,0.9,2.4
2016-06-29,LOCTHUAN,0.6,2.0
