date,code,min,max
2018-01-01,MYTHANH,0.03,0.03
2018-01-02,MYTHANH,0.03,0.03
2018-01-03,MYTHANH,0.03,0.03
2018-01-04,MYTHANH,0.03,0.03
2018-01-05,MYTHANH,0.03,0.03
2018-01-06,MYTHANH,0.03,0.03
2018-01-07,MYTHANH,0.03,0.03
2018-01-08,MYTHANH,0.03,0.03
2018-01-09,MYTHANH,0.03,0.03
2018-01-10,MYTHANH,0.03,0.03
2018-01-11,MYTHANH,0.03,0.03
2018-01-12,MYTHANH,0.03,0.03
2018-01-13,MYTHANH,0.03,0.03
2018-01-14,MYTHANH,0.03,0.03
2018-01-15,MYTHANH,0.03,0.03
2018-01-16,MYTHANH,0.03,0.03
2018-01-17,MYTHANH,0.03,0.03
2018-01-18,MYTHANH,0.03,0.03
2018-01-19,MYTHANH,0.03,0.03
2018-01-20,MYTHANH,0.03,0.03
2018-01-21,MYTHANH,0.03,0.03
2018-01-22,MYTHANH,0.03,0.03
2018-01-23,MYTHANH,0.03,0.03
2018-01-24,MYTHANH,0.03,0.03
2018-01-25,MYTHANH,0.03,0.03
2018-01-26,MYTHANH,0.03,0.03
2018-01-27,MYTHANH,0.03,0.03
2018-01-28,MYTHANH,0.03,0.03
2018-01-29,MYTHANH,0.03,0.03
2018-01-30,MYTHANH,0.03,0.03
2018-01-31,MYTHANH,0.03,0.03
2018-02-01,MYTHANH,0.0,0.0
2018-02-02,MYTHANH,0.0,0.0
2018-02-03,MYTHANH,0.0,0.0
2018-02-04,MYTHANH,0.0,0.0
2018-02-05,MYTHANH,0.0,0.0
2018-02-06,MYTHANH,0.0,0.0
2018-02-07,MYTHANH,0.0,0.0
2018-02-08,MYTHANH,0.0,0.0
2018-02-09,MYTHANH,0.0,0.0
2018-02-10,MYTHANH,0.0,0.0
2018-02-11,MYTHANH,0.0,0.0
2018-02-12,MYTHANH,0.0,0.0
2018-02-13,MYTHANH,0.0,0.0
2018-02-14,MYTHANH,0.0,0.0
2018-02-15,MYTHANH,0.0,0.0
2018-02-16,MYTHANH,0.0,0.0
2018-02-17,MYTHANH,0.0,0.0
2018-02-18,MYTHANH,0.0,0.0
2018-02-19,MYTHANH,0.0,0.0
2018-02-20,MYTHANH,0.0,0.0
2018-02-21,MYTHANH,0.0,0.0
2018-02-22,MYTHANH,0.0,0.0
2018-02-23,MYTHANH,0.0,0.0
2018-02-24,MYTHANH,0.0,0.0
2018-02-25,MYTHANH,0.0,0.0
2018-02-26,MYTHANH,0.0,0.0
2018-02-27,MYTHANH,0.0,0.0
2018-02-28,MYTHANH,0.0,0.0
2018-03-01,MYTHANH,0.0,0.0
2018-03-02,MYTHANH,0.0,0.0
2018-03-03,MYTHANH,0.0,0.0
2018-03-04,MYTHANH,0.0,0.0
2018-03-05,MYTHANH,0.0,0.0
2018-03-06,MYTHANH,0.0,0.0
2018-03-07,MYTHANH,0.0,0.0
2018-03-08,MYTHANH,0.0,0.0
2018-03-09,MYTHANH,0.0,0.0
2018-03-10,MYTHANH,0.0,0.0
2018-03-11,MYTHANH,0.0,0.0
2018-03-12,MYTHANH,0.0,0.0
2018-03-13,MYTHANH,0.0,0.0
2018-03-14,MYTHANH,0.0,0.0
2018-03-15,MYTHANH,0.0,0.0
2018-03-16,MYTHANH,0.0,0.0
2018-03-17,MYTHANH,0.0,0.0
2018-03-18,MYTHANH,0.0,0.0
2018-03-19,MYTHANH,0.0,0.0
2018-03-20,MYTHANH,0.0,0.0
2018-03-21,MYTHANH,0.0,0.0
2018-03-22,MYTHANH,0.0,0.0
2018-03-23,MYTHANH,0.0,0.0
2018-03-24,MYTHANH,0.0,0.0
2018-03-25,MYTHANH,0.0,0.0
2018-03-26,MYTHANH,0.0,0.0
2018-03-27,MYTHANH,0.0,0.0
2018-03-28,MYTHANH,0.0,0.0
2018-03-29,MYTHANH,0.0,0.0
2018-03-30,MYTHANH,0.0,0.0
2018-03-31,MYTHANH,0.0,0.0
2018-04-01,MYTHANH,0.0,0.0
2018-04-02,MYTHANH,0.0,0.0
2018-04-03,MYTHANH,0.0,0.0
2018-04-04,MYTHANH,0.0,0.0
2018-04-05,MYTHANH,0.0,0.0
2018-04-06,MYTHANH,0.0,0.0
