date,code,min,max
2017-01-01,MYVAN,0.2,0.6
2017-01-02,MYVAN,0.1,0.4
2017-01-03,MYVAN,0.1,0.2
2017-01-04,MYVAN,0.1,0.2
2017-01-05,MYVAN,0.1,0.2
2017-01-06,MYVAN,0.1,0.2
2017-01-07,MYVAN,0.1,0.2
2017-01-08,MYVAN,0.1,0.2
2017-01-09,MYVAN,0.1,0.2
2017-01-10,MYVAN,0.1,0.2
2017-01-11,MYVAN,0.1,0.2
2017-01-12,MYVAN,0.1,0.1
2017-01-13,MYVAN,0.1,0.1
2017-01-14,MYVAN,0.1,0.2
2017-01-15,MYVAN,0.2,0.2
2017-01-16,MYVAN,0.1,0.2
2017-01-17,MYVAN,0.2,0.4
2017-01-18,MYVAN,0.2,0.3
2017-01-19,MYVAN,0.2,0.3
2017-01-20,MYVAN,0.1,0.2
2017-01-21,MYVAN,0.2,0.2
2017-01-22,MYVAN,0.2,0.2
2017-01-23,MYVAN,0.5,0.7
2017-01-24,MYVAN,1.6,2.1
2017-01-25,MYVAN,0.6,0.8
2017-01-26,MYVAN,0.4,2.8
2017-01-27,MYVAN,1.7,2.0
2017-01-28,MYVAN,1.4,1.8
2017-01-29,MYVAN,1.0,1.2
2017-01-30,MYVAN,0.4,0.6
2017-01-31,MYVAN,0.7,1.0
2017-02-01,MYVAN,0.1,0.2
2017-02-02,MYVAN,0.1,0.1
2017-02-03,MYVAN,0.1,0.1
2017-02-04,MYVAN,0.1,0.1
2017-02-05,MYVAN,0.1,0.1
2017-02-06,MYVAN,0.1,0.2
2017-02-07,MYVAN,0.1,0.2
2017-02-08,MYVAN,0.2,0.2
2017-02-09,MYVAN,0.2,0.2
2017-02-10,MYVAN,0.2,0.2
2017-02-11,MYVAN,0.1,0.2
2017-02-12,MYVAN,0.1,0.1
2017-02-13,MYVAN,0.1,0.2
2017-02-14,MYVAN,0.2,0.2
2017-02-15,MYVAN,0.1,0.2
2017-02-16,MYVAN,0.1,0.2
2017-02-17,MYVAN,0.1,0.1
2017-02-18,MYVAN,0.2,0.4
2017-02-19,MYVAN,0.2,0.5
2017-02-20,MYVAN,0.2,0.5
2017-02-21,MYVAN,0.2,0.4
2017-02-22,MYVAN,0.4,2.4
2017-02-23,MYVAN,0.2,1.6
2017-02-24,MYVAN,0.2,1.2
2017-02-25,MYVAN,0.2,1.0
2017-02-26,MYVAN,0.2,1.4
2017-02-27,MYVAN,0.2,1.2
2017-02-28,MYVAN,0.1,1.2
2017-03-01,MYVAN,1.8,2.1
2017-03-02,MYVAN,0.9,1.8
2017-03-03,MYVAN,1.2,1.7
2017-03-04,MYVAN,0.1,1.4
2017-03-05,MYVAN,0.2,0.7
2017-03-06,MYVAN,0.1,0.2
2017-03-07,MYVAN,0.1,0.1
2017-03-08,MYVAN,0.1,0.1
2017-03-09,MYVAN,0.1,0.3
2017-03-10,MYVAN,0.1,0.3
2017-03-11,MYVAN,0.1,0.3
2017-03-12,MYVAN,0.1,0.1
2017-03-13,MYVAN,0.1,0.1
2017-03-14,MYVAN,0.1,0.1
2017-03-15,MYVAN,0.1,0.1
2017-03-16,MYVAN,0.1,0.1
2017-03-17,MYVAN,0.1,0.1
2017-03-18,MYVAN,0.1,0.1
2017-03-19,MYVAN,0.1,0.1
2017-03-20,MYVAN,0.1,0.1
2017-03-21,MYVAN,0.1,0.1
2017-03-22,MYVAN,0.1,0.1
2017-03-23,MYVAN,0.1,0.1
2017-03-24,MYVAN,0.1,0.1
2017-03-25,MYVAN,0.1,0.1
2017-03-26,MYVAN,0.1,0.1
2017-03-27,MYVAN,0.1,0.1
2017-03-28,MYVAN,0.1,0.1
2017-03-29,MYVAN,0.1,0.1
2017-03-30,MYVAN,0.1,0.1
2017-03-31,MYVAN,0.1,0.1
2017-04-01,MYVAN,0.2,0.3
2017-04-02,MYVAN,0.1,0.3
2017-04-03,MYVAN,0.1,0.1
2017-04-04,MYVAN,0.2,0.3
2017-04-05,MYVAN,0.1,0.1
2017-04-06,MYVAN,0.2,0.2
2017-04-07,MYVAN,0.1,0.2
2017-04-08,MYVAN,0.1,0.2
2017-04-09,MYVAN,0.2,0.3
2017-04-10,MYVAN,0.2,0.3
2017-04-11,MYVAN,0.1,0.1
2017-04-12,MYVAN,0.0,0.0
2017-04-13,MYVAN,0.0,0.0
2017-04-14,MYVAN,0.0,0.0
2017-04-15,MYVAN,0.0,0.0
2017-04-16,MYVAN,0.0,0.0
2017-04-17,MYVAN,0.0,0.0
2017-04-18,MYVAN,0.0,0.0
2017-04-19,MYVAN,0.0,0.0
2017-04-20,MYVAN,0.0,0.0
2017-04-21,MYVAN,0.0,0.0
2017-04-22,MYVAN,0.0,0.0
2017-04-23,MYVAN,0.0,0.0
2017-04-24,MYVAN,0.0,0.0
2017-04-25,MYVAN,0.2,0.2
2017-04-26,MYVAN,0.0,0.2
2017-04-27,MYVAN,0.0,0.0
2017-04-28,MYVAN,0.0,0.0
2017-04-29,MYVAN,0.0,0.0
2017-04-30,MYVAN,0.0,0.0
2017-05-01,MYVAN,0.1,0.1
2017-05-02,MYVAN,0.1,0.1
2017-05-03,MYVAN,0.1,0.1
2017-05-04,MYVAN,0.1,0.1
2017-05-05,MYVAN,0.1,0.1
2017-05-06,MYVAN,0.1,0.1
2017-05-07,MYVAN,0.1,0.1
2017-05-08,MYVAN,0.0,0.0
2017-05-09,MYVAN,0.0,0.0
2017-05-10,MYVAN,0.0,0.0
2017-05-11,MYVAN,0.0,0.0
2017-05-12,MYVAN,0.0,0.0
2017-05-13,MYVAN,0.0,0.0
2017-05-14,MYVAN,0.0,0.0
2017-05-15,MYVAN,0.0,0.0
2017-05-16,MYVAN,0.0,0.0
2017-05-17,MYVAN,0.0,0.0
2017-05-18,MYVAN,0.0,0.0
2017-05-19,MYVAN,0.0,0.0
2017-05-20,MYVAN,0.0,0.0
2017-05-21,MYVAN,0.0,0.0
2017-05-22,MYVAN,0.0,0.0
2017-05-23,MYVAN,0.0,0.0
2017-05-24,MYVAN,0.0,0.0
2017-05-25,MYVAN,0.0,0.0
2017-05-26,MYVAN,0.0,0.0
2017-05-27,MYVAN,0.0,0.0
2017-05-28,MYVAN,0.0,0.0
2017-05-29,MYVAN,0.0,0.0
2017-05-30,MYVAN,0.0,0.0
2017-05-31,MYVAN,0.0,0.0
