date,code,min,max
2017-01-01,RACHRUM,0.1,0.4
2017-01-02,RACHRUM,0.1,0.3
2017-01-03,RACHRUM,0.1,0.1
2017-01-04,RACHRUM,0.1,0.1
2017-01-05,RACHRUM,0.1,0.1
2017-01-06,RACHRUM,0.1,0.1
2017-01-07,RACHRUM,0.1,0.1
2017-01-08,RACHRUM,0.1,0.1
2017-01-09,RACHRUM,0.1,0.1
2017-01-10,RACHRUM,0.1,0.1
2017-01-11,RACHRUM,0.1,0.1
2017-01-12,RACHRUM,0.1,0.3
2017-01-13,RACHRUM,0.1,0.1
2017-01-14,RACHRUM,0.1,0.1
2017-01-15,RACHRUM,0.1,0.1
2017-01-16,RACHRUM,0.1,0.2
2017-01-17,RACHRUM,0.2,0.2
2017-01-18,RACHRUM,0.2,0.4
2017-01-19,RACHRUM,0.1,0.2
2017-01-20,RACHRUM,0.1,0.2
2017-01-21,RACHRUM,0.1,0.2
2017-01-22,RACHRUM,0.1,0.4
2017-01-23,RACHRUM,0.6,0.7
2017-01-24,RACHRUM,0.5,0.8
2017-01-25,RACHRUM,1.3,1.9
2017-01-26,RACHRUM,2.1,2.4
2017-01-27,RACHRUM,0.9,1.6
2017-01-28,RACHRUM,0.2,0.5
2017-01-29,RACHRUM,0.2,0.4
2017-01-30,RACHRUM,0.2,0.4
2017-01-31,RACHRUM,0.1,0.4
2017-02-01,RACHRUM,0.1,0.1
2017-02-02,RACHRUM,0.1,0.1
2017-02-03,RACHRUM,0.1,0.1
2017-02-04,RACHRUM,0.1,0.1
2017-02-05,RACHRUM,0.1,0.1
2017-02-06,RACHRUM,0.1,0.1
2017-02-07,RACHRUM,0.1,0.1
2017-02-08,RACHRUM,0.1,0.1
2017-02-09,RACHRUM,0.1,0.1
2017-02-10,RACHRUM,0.1,0.1
2017-02-11,RACHRUM,0.1,0.1
2017-02-12,RACHRUM,0.1,0.1
2017-02-13,RACHRUM,0.1,0.1
2017-02-14,RACHRUM,0.1,0.1
2017-02-15,RACHRUM,0.1,0.1
2017-02-16,RACHRUM,0.1,0.1
2017-02-17,RACHRUM,0.1,0.1
2017-02-18,RACHRUM,0.1,0.1
2017-02-19,RACHRUM,0.1,0.1
2017-02-20,RACHRUM,0.1,0.1
2017-02-21,RACHRUM,0.1,0.1
2017-02-22,RACHRUM,0.2,1.8
2017-02-23,RACHRUM,0.1,1.4
2017-02-24,RACHRUM,0.1,1.0
2017-02-25,RACHRUM,0.2,0.8
2017-02-26,RACHRUM,0.2,1.2
2017-02-27,RACHRUM,0.2,1.0
2017-02-28,RACHRUM,0.2,1.0
2017-03-01,RACHRUM,0.1,1.9
2017-03-02,RACHRUM,0.1,1.3
2017-03-03,RACHRUM,0.1,1.6
