date,code,min,max
2014-02-01,SONDOC,0.0,1.1
2014-02-02,SONDOC,0.0,2.8
2014-02-03,SONDOC,0.0,0.9
2014-02-04,SONDOC,0.0,0.6
2014-02-05,SONDOC,0.0,0.5
2014-02-06,SONDOC,0.0,4.0
2014-02-07,SONDOC,0.0,0.3
2014-02-08,SONDOC,0.0,0.3
2014-02-09,SONDOC,0.0,1.0
2014-02-10,SONDOC,0.0,4.2
2014-02-11,SONDOC,0.0,5.8
2014-02-12,SONDOC,0.1,5.2
2014-02-13,SONDOC,1.8,5.6
2014-02-14,SONDOC,1.7,5.9
2014-02-15,SONDOC,1.9,6.7
2014-02-16,SONDOC,1.9,6.5
2014-02-17,SONDOC,0.9,6.8
2014-02-18,SONDOC,0.4,6.5
2014-02-19,SONDOC,0.9,4.4
2014-02-20,SONDOC,1.1,5.0
2014-02-21,SONDOC,1.6,4.4
2014-02-22,SONDOC,1.4,3.9
2014-02-23,SONDOC,0.1,5.4
2014-02-24,SONDOC,0.1,4.6
2014-02-25,SONDOC,0.0,5.0
2014-03-03,SONDOC,0.3,6.6
2014-03-04,SONDOC,0.4,5.8
2014-03-05,SONDOC,0.2,4.3
2014-03-06,SONDOC,0.1,3.9
2014-03-09,SONDOC,0.1,1.5
2014-03-10,SONDOC,0.1,3.1
2014-03-11,SONDOC,0.1,4.6
2014-03-19,SONDOC,2.1,9.7
2014-03-20,SONDOC,1.4,7.2
2014-03-21,SONDOC,0.7,7.2
2014-03-24,SONDOC,1.4,9.1
2014-03-25,SONDOC,1.8,8.8
2014-03-26,SONDOC,2.4,9.1
2014-03-29,SONDOC,2.1,8.2
2014-03-30,SONDOC,2.0,8.4
2014-03-31,SONDOC,2.2,7.7
2014-04-01,SONDOC,2.1,7.3
2014-04-02,SONDOC,1.5,7.0
2014-04-03,SONDOC,1.1,6.6
2014-04-08,SONDOC,0.1,3.5
2014-04-09,SONDOC,0.1,3.6
2014-04-10,SONDOC,0.4,4.6
2014-04-17,SONDOC,0.9,5.2
2014-04-18,SONDOC,0.6,4.5
2014-04-19,SONDOC,0.5,5.6
2014-04-23,SONDOC,0.1,2.8
2014-04-24,SONDOC,0.1,3.5
2014-04-25,SONDOC,0.1,3.8
2014-04-28,SONDOC,0.1,4.4
2014-04-29,SONDOC,0.2,4.4
2014-04-30,SONDOC,0.1,4.3
2014-05-01,SONDOC,0.1,4.4
2014-05-02,SONDOC,0.1,3.5
2014-05-03,SONDOC,0.1,2.5
2014-05-07,SONDOC,0.0,2.9
2014-05-08,SONDOC,0.0,4.2
2014-05-09,SONDOC,0.0,4.0
2014-05-14,SONDOC,0.1,4.4
2014-05-15,SONDOC,0.1,4.0
2014-05-16,SONDOC,0.1,4.5
2014-05-17,SONDOC,0.2,3.6
2014-05-27,SONDOC,0.1,3.1
2014-05-28,SONDOC,0.1,2.6
2014-05-29,SONDOC,0.0,2.3
