date,code,min,max
2018-01-01,SONPHU,0.0,0.0
2018-01-02,SONPHU,0.0,0.0
2018-01-03,SONPHU,0.0,0.0
2018-01-04,SONPHU,0.0,0.0
2018-01-05,SONPHU,0.0,0.0
2018-01-06,SONPHU,0.0,0.0
2018-01-07,SONPHU,0.0,0.0
2018-01-08,SONPHU,0.0,0.0
2018-01-09,SONPHU,0.0,0.0
2018-01-10,SONPHU,0.0,0.0
2018-01-11,SONPHU,0.0,0.0
2018-01-12,SONPHU,0.0,0.0
2018-01-13,SONPHU,0.0,0.0
2018-01-14,SONPHU,0.0,0.0
2018-01-15,SONPHU,0.0,0.0
2018-01-16,SONPHU,0.0,0.0
2018-01-17,SONPHU,0.0,0.0
2018-01-18,SONPHU,0.0,0.0
2018-01-19,SONPHU,0.0,0.0
2018-01-20,SONPHU,0.0,0.0
2018-01-21,SONPHU,0.0,0.0
2018-01-22,SONPHU,0.0,0.0
2018-01-23,SONPHU,0.0,0.0
2018-01-24,SONPHU,0.0,0.0
2018-01-25,SONPHU,0.0,0.0
2018-01-26,SONPHU,0.0,0.0
2018-01-27,SONPHU,0.0,0.0
2018-01-28,SONPHU,0.0,0.0
2018-01-29,SONPHU,0.0,0.0
2018-01-30,SONPHU,0.0,0.0
2018-01-31,SONPHU,0.0,0.0
2018-02-01,SONPHU,0.0,0.0
2018-02-02,SONPHU,0.0,0.0
2018-02-03,SONPHU,0.0,0.0
2018-02-04,SONPHU,0.0,0.0
2018-02-05,SONPHU,0.0,0.0
2018-02-06,SONPHU,0.0,0.0
2018-02-07,SONPHU,0.0,0.0
2018-02-08,SONPHU,0.0,0.0
2018-02-09,SONPHU,0.0,0.0
2018-02-10,SONPHU,0.0,0.0
2018-02-11,SONPHU,0.0,0.3
2018-02-12,SONPHU,0.4,0.9
2018-02-13,SONPHU,0.0,1.0
2018-02-14,SONPHU,0.2,0.7
2018-02-15,SONPHU,0.2,0.5
2018-02-16,SONPHU,0.1,0.4
2018-02-17,SONPHU,0.0,0.1
2018-02-18,SONPHU,0.1,0.3
2018-02-19,SONPHU,0.1,0.3
2018-02-20,SONPHU,0.1,0.2
2018-02-21,SONPHU,0.1,0.2
2018-02-22,SONPHU,0.0,0.2
2018-02-23,SONPHU,0.0,0.1
2018-02-24,SONPHU,0.1,0.2
2018-02-25,SONPHU,0.0,0.1
2018-02-26,SONPHU,0.0,0.1
2018-02-27,SONPHU,0.2,0.4
2018-02-28,SONPHU,0.4,0.8
2018-03-01,SONPHU,0.1,0.2
2018-03-02,SONPHU,0.2,0.5
2018-03-03,SONPHU,0.1,0.2
2018-03-04,SONPHU,0.1,0.3
2018-03-05,SONPHU,0.1,0.2
2018-03-06,SONPHU,0.1,0.2
2018-03-07,SONPHU,0.1,0.2
2018-03-08,SONPHU,0.1,0.2
2018-03-09,SONPHU,0.2,0.4
2018-03-10,SONPHU,0.2,0.5
2018-03-11,SONPHU,0.2,0.4
2018-03-12,SONPHU,0.5,1.5
2018-03-13,SONPHU,1.0,2.1
2018-03-14,SONPHU,1.5,3.0
2018-03-15,SONPHU,1.2,2.7
2018-03-16,SONPHU,1.0,2.4
2018-03-17,SONPHU,0.9,2.0
2018-03-18,SONPHU,0.7,1.9
2018-03-19,SONPHU,0.9,2.2
2018-03-20,SONPHU,1.0,1.8
2018-03-21,SONPHU,0.6,1.5
2018-03-22,SONPHU,1.2,1.5
2018-03-23,SONPHU,0.4,1.4
2018-03-24,SONPHU,0.9,2.0
2018-03-25,SONPHU,0.6,1.8
2018-03-26,SONPHU,0.9,2.2
2018-03-27,SONPHU,0.7,2.0
2018-03-28,SONPHU,1.0,2.3
2018-03-29,SONPHU,0.9,2.2
2018-03-30,SONPHU,0.8,2.0
2018-03-31,SONPHU,0.5,1.0
2018-04-01,SONPHU,0.7,1.5
2018-04-02,SONPHU,0.6,1.8
2018-04-03,SONPHU,0.4,1.2
2018-04-04,SONPHU,1.0,2.5
2018-04-05,SONPHU,0.9,2.0
2018-04-06,SONPHU,0.8,2.1
2018-04-07,SONPHU,0.9,2.0
2018-04-08,SONPHU,1.2,1.9
2018-04-09,SONPHU,1.0,1.5
2018-04-10,SONPHU,0.9,2.0
2018-04-11,SONPHU,0.8,2.2
2018-04-12,SONPHU,1.2,2.5
2018-04-13,SONPHU,1.2,2.1
2018-04-14,SONPHU,1.2,2.2
2018-04-15,SONPHU,1.5,2.7
2018-04-16,SONPHU,0.9,2.2
2018-04-17,SONPHU,1.1,2.0
2018-04-18,SONPHU,1.2,1.8
