date,code,min,max
2017-01-01,TRACU,0.3,0.6
2017-01-02,TRACU,0.2,0.4
2017-01-03,TRACU,0.2,0.2
2017-01-04,TRACU,0.2,0.2
2017-01-05,TRACU,0.2,0.2
2017-01-06,TRACU,0.2,0.2
2017-01-07,TRACU,0.2,0.2
2017-01-08,TRACU,0.2,0.2
2017-01-09,TRACU,0.2,2.0
2017-01-10,TRACU,0.2,0.2
2017-01-11,TRACU,0.2,0.2
2017-01-12,TRACU,0.3,0.3
2017-01-13,TRACU,0.2,0.3
2017-01-14,TRACU,0.2,0.3
2017-01-15,TRACU,0.3,0.5
2017-01-16,TRACU,0.2,0.4
2017-01-17,TRACU,0.2,0.2
2017-01-18,TRACU,0.3,0.3
2017-01-19,TRACU,0.2,0.3
2017-01-20,TRACU,0.2,0.2
2017-01-21,TRACU,0.2,0.4
2017-01-22,TRACU,0.2,1.7
2017-01-23,TRACU,0.3,0.4
2017-01-24,TRACU,0.3,0.4
2017-01-25,TRACU,0.4,0.6
2017-01-26,TRACU,0.8,3.5
2017-01-27,TRACU,0.4,2.9
2017-01-28,TRACU,0.7,2.0
2017-01-29,TRACU,0.2,0.8
2017-01-30,TRACU,0.2,0.9
2017-01-31,TRACU,0.2,0.9
2017-02-01,TRACU,0.4,0.8
2017-02-02,TRACU,1.7,2.3
2017-02-03,TRACU,0.5,0.7
2017-02-04,TRACU,0.5,0.8
2017-02-05,TRACU,1.0,1.8
2017-02-06,TRACU,1.0,1.8
2017-02-07,TRACU,1.5,1.7
2017-02-08,TRACU,0.3,0.5
2017-02-09,TRACU,0.5,0.7
2017-02-10,TRACU,0.5,0.8
2017-02-11,TRACU,0.5,0.9
2017-02-12,TRACU,0.9,1.0
2017-02-13,TRACU,1.3,2.1
2017-02-14,TRACU,1.1,1.9
2017-02-15,TRACU,1.5,1.7
2017-02-16,TRACU,1.4,1.6
2017-02-17,TRACU,1.0,1.1
2017-02-18,TRACU,0.8,0.9
2017-02-19,TRACU,0.4,0.7
2017-02-20,TRACU,0.4,0.8
2017-02-21,TRACU,0.2,0.5
2017-02-22,TRACU,0.3,0.7
2017-02-23,TRACU,0.3,0.9
2017-02-24,TRACU,0.4,1.1
2017-02-25,TRACU,1.5,2.9
2017-02-26,TRACU,1.0,2.0
2017-02-27,TRACU,0.9,2.1
2017-02-28,TRACU,1.1,2.3
2017-03-01,TRACU,3.0,3.8
2017-03-02,TRACU,2.4,2.7
2017-03-03,TRACU,3.4,3.6
2017-03-04,TRACU,4.4,4.5
2017-03-05,TRACU,3.5,3.9
2017-03-06,TRACU,3.7,3.9
2017-03-07,TRACU,3.4,3.6
2017-03-08,TRACU,3.0,3.8
2017-03-09,TRACU,3.1,3.5
2017-03-10,TRACU,3.0,3.4
2017-03-11,TRACU,1.4,3.6
2017-03-12,TRACU,3.0,3.8
2017-03-13,TRACU,3.0,3.3
2017-03-14,TRACU,2.7,3.8
2017-03-15,TRACU,2.9,3.5
2017-03-16,TRACU,2.8,3.1
2017-03-17,TRACU,2.8,3.1
2017-03-18,TRACU,2.2,2.7
2017-03-19,TRACU,3.0,3.1
2017-03-20,TRACU,2.8,3.1
2017-03-21,TRACU,2.4,2.8
2017-03-22,TRACU,2.3,2.7
2017-03-23,TRACU,2.2,2.5
2017-03-24,TRACU,2.1,2.6
2017-03-25,TRACU,1.4,1.8
2017-03-26,TRACU,2.5,2.7
2017-03-27,TRACU,2.2,2.7
2017-03-28,TRACU,2.0,2.6
2017-03-29,TRACU,2.3,2.4
2017-03-30,TRACU,2.4,2.6
2017-03-31,TRACU,2.1,2.5
2017-04-01,TRACU,0.9,1.1
2017-04-02,TRACU,2.3,2.5
2017-04-03,TRACU,2.0,2.2
2017-04-04,TRACU,2.3,2.4
2017-04-05,TRACU,0.8,0.9
2017-04-06,TRACU,0.5,0.7
2017-04-07,TRACU,0.6,0.6
2017-04-08,TRACU,0.5,0.7
2017-04-09,TRACU,0.7,0.8
2017-04-10,TRACU,0.8,1.0
2017-04-11,TRACU,0.9,1.1
2017-04-12,TRACU,0.8,1.0
2017-04-13,TRACU,0.4,0.4
2017-04-14,TRACU,0.4,0.4
2017-04-15,TRACU,0.2,0.2
2017-04-16,TRACU,0.2,0.2
2017-04-17,TRACU,0.2,0.2
2017-04-18,TRACU,0.2,0.2
2017-04-19,TRACU,0.3,0.4
2017-04-20,TRACU,0.2,0.5
2017-04-21,TRACU,0.2,0.5
2017-04-22,TRACU,0.2,0.4
2017-04-23,TRACU,0.3,0.5
2017-04-24,TRACU,0.3,0.4
2017-04-25,TRACU,0.2,0.4
2017-04-26,TRACU,0.2,0.3
2017-04-27,TRACU,0.2,0.3
2017-04-28,TRACU,0.3,0.4
2017-04-29,TRACU,0.2,0.2
2017-04-30,TRACU,0.2,0.2
2017-05-01,TRACU,1.1,1.2
2017-05-02,TRACU,0.3,0.4
2017-05-03,TRACU,0.3,0.4
2017-05-04,TRACU,0.3,0.4
2017-05-05,TRACU,0.3,0.4
2017-05-06,TRACU,0.2,0.4
2017-05-07,TRACU,0.2,0.5
2017-05-08,TRACU,0.2,0.4
2017-05-09,TRACU,0.2,0.4
2017-05-10,TRACU,0.2,0.4
2017-05-11,TRACU,0.2,0.4
2017-05-12,TRACU,0.2,0.5
2017-05-13,TRACU,0.6,0.7
2017-05-14,TRACU,0.5,0.5
2017-05-15,TRACU,0.5,0.6
2017-05-16,TRACU,0.3,0.6
2017-05-17,TRACU,0.2,0.6
2017-05-18,TRACU,0.2,0.4
2017-05-19,TRACU,0.2,0.3
2017-05-20,TRACU,0.2,0.3
2017-05-21,TRACU,0.2,0.3
2017-05-22,TRACU,0.2,0.3
2017-05-23,TRACU,0.2,0.4
2017-05-24,TRACU,0.4,0.4
2017-05-25,TRACU,0.2,0.4
2017-05-26,TRACU,0.2,0.5
2017-05-27,TRACU,0.3,0.6
2017-05-28,TRACU,0.2,0.4
2017-05-29,TRACU,0.2,0.4
2017-05-30,TRACU,0.2,0.4
2017-05-31,TRACU,0.2,0.4
