date,code,min,max
2018-01-01,VUNGLIEM,0.0,0.0
2018-01-02,VUNGLIEM,0.0,0.0
2018-01-03,VUNGLIEM,0.0,0.0
2018-01-04,VUNGLIEM,0.0,0.0
2018-01-05,VUNGLIEM,0.0,0.0
2018-01-06,VUNGLIEM,0.0,0.0
2018-01-07,VUNGLIEM,0.0,0.0
2018-01-08,VUNGLIEM,0.0,0.0
2018-01-09,VUNGLIEM,0.0,0.0
2018-01-10,VUNGLIEM,0.0,0.0
2018-01-11,VUNGLIEM,0.0,0.0
2018-01-12,VUNGLIEM,0.0,0.0
2018-01-13,VUNGLIEM,0.0,0.0
2018-01-14,VUNGLIEM,0.0,0.0
2018-01-15,VUNGLIEM,0.0,0.0
2018-01-16,VUNGLIEM,0.0,0.0
2018-01-17,VUNGLIEM,0.0,0.0
2018-01-18,VUNGLIEM,0.0,0.0
2018-01-19,VUNGLIEM,0.0,0.0
2018-01-20,VUNGLIEM,0.0,0.0
2018-01-21,VUNGLIEM,0.0,0.0
2018-01-22,VUNGLIEM,0.0,0.0
2018-01-23,VUNGLIEM,0.0,0.0
2018-01-24,VUNGLIEM,0.0,0.0
2018-01-25,VUNGLIEM,0.0,0.0
2018-01-26,VUNGLIEM,0.0,0.0
2018-01-27,VUNGLIEM,0.0,0.0
2018-01-28,VUNGLIEM,0.0,0.0
2018-01-29,VUNGLIEM,0.0,0.0
2018-01-30,VUNGLIEM,0.0,0.0
2018-01-31,VUNGLIEM,0.0,0.0
2018-02-01,VUNGLIEM,0.0,0.0
2018-02-02,VUNGLIEM,0.0,0.0
2018-02-03,VUNGLIEM,0.0,0.0
2018-02-04,VUNGLIEM,0.0,0.0
2018-02-05,VUNGLIEM,0.0,0.0
2018-02-06,VUNGLIEM,0.0,0.0
2018-02-07,VUNGLIEM,0.0,0.0
2018-02-08,VUNGLIEM,0.0,0.0
2018-02-09,VUNGLIEM,0.0,0.0
2018-02-10,VUNGLIEM,0.0,0.0
2018-02-11,VUNGLIEM,0.0,0.0
2018-02-12,VUNGLIEM,0.0,0.0
2018-02-13,VUNGLIEM,0.0,0.0
2018-02-14,VUNGLIEM,0.0,0.0
2018-02-15,VUNGLIEM,0.0,0.0
2018-02-16,VUNGLIEM,0.0,0.0
2018-02-17,VUNGLIEM,0.0,0.0
2018-02-18,VUNGLIEM,0.0,0.0
2018-02-19,VUNGLIEM,0.0,0.0
2018-02-20,VUNGLIEM,0.0,0.0
2018-02-21,VUNGLIEM,0.0,0.0
2018-02-22,VUNGLIEM,0.0,0.0
2018-02-23,VUNGLIEM,0.0,0.0
2018-02-24,VUNGLIEM,0.0,0.0
2018-02-25,VUNGLIEM,0.0,0.0
2018-02-26,VUNGLIEM,0.0,0.0
2018-02-27,VUNGLIEM,0.0,0.0
2018-02-28,VUNGLIEM,0.0,0.0
