date,code,min,max
2002-01-01,ANTHUAN,3.5,6.0
2002-01-02,ANTHUAN,3.0,5.5
2002-01-03,ANTHUAN,3.1,5.2
2002-01-04,ANTHUAN,3.0,5.0
2002-01-05,ANTHUAN,3.1,6.0
2002-01-06,ANTHUAN,3.2,6.5
2002-01-07,ANTHUAN,3.3,6.4
2002-01-08,ANTHUAN,3.0,6.4
2002-01-09,ANTHUAN,4.0,7.0
2002-01-10,ANTHUAN,3.8,7.1
2002-01-11,ANTHUAN,3.2,7.4
2002-01-12,ANTHUAN,4.5,6.5
2002-01-13,ANTHUAN,4.0,6.4
2002-01-14,ANTHUAN,4.0,6.2
2002-01-15,ANTHUAN,4.2,6.8
2002-01-16,ANTHUAN,3.8,6.8
2002-01-17,ANTHUAN,4.0,7.1
2002-01-18,ANTHUAN,3.9,7.0
2002-01-19,ANTHUAN,4.1,7.3
2002-01-20,ANTHUAN,2.8,6.0
2002-01-21,ANTHUAN,2.9,6.5
2002-01-22,ANTHUAN,3.0,7.1
2002-01-23,ANTHUAN,3.1,7.4
2002-01-24,ANTHUAN,3.0,7.5
2002-01-25,ANTHUAN,2.5,7.0
2002-01-26,ANTHUAN,1.5,6.8
2002-01-27,ANTHUAN,4.0,6.9
2002-01-28,ANTHUAN,3.5,7.3
2002-01-29,ANTHUAN,3.8,7.4
2002-01-30,ANTHUAN,2.8,7.5
2002-01-31,ANTHUAN,4.0,7.4
2002-02-01,ANTHUAN,5.0,8.5
2002-02-02,ANTHUAN,5.5,9.8
2002-02-03,ANTHUAN,7.0,10.8
2002-02-04,ANTHUAN,7.2,11.0
2002-02-05,ANTHUAN,8.2,11.5
2002-02-06,ANTHUAN,5.0,11.0
2002-02-07,ANTHUAN,3.0,9.5
2002-02-08,ANTHUAN,2.5,3.1
2002-02-09,ANTHUAN,3.2,4.5
2002-02-10,ANTHUAN,4.0,5.5
2002-02-11,ANTHUAN,5.1,6.5
2002-02-12,ANTHUAN,8.0,16.3
2002-02-13,ANTHUAN,6.8,17.5
2002-02-14,ANTHUAN,7.0,17.0
2002-02-15,ANTHUAN,6.0,16.0
2002-02-16,ANTHUAN,5.5,14.5
2002-02-17,ANTHUAN,4.7,13.8
2002-02-18,ANTHUAN,4.5,13.7
2002-02-19,ANTHUAN,10.0,13.6
2002-02-20,ANTHUAN,11.0,13.8
2002-02-21,ANTHUAN,7.7,12.2
2002-02-22,ANTHUAN,8.0,11.9
2002-02-23,ANTHUAN,7.6,9.1
2002-02-24,ANTHUAN,7.8,10.2
2002-02-25,ANTHUAN,6.5,11.0
2002-02-26,ANTHUAN,7.0,12.1
2002-02-27,ANTHUAN,7.5,18.5
2002-02-28,ANTHUAN,8.0,19.3
2002-03-01,ANTHUAN,16.1,19.8
2002-03-02,ANTHUAN,15.8,19.7
2002-03-03,ANTHUAN,15.0,19.0
2002-03-04,ANTHUAN,14.0,18.5
2002-03-05,ANTHUAN,11.2,17.0
2002-03-06,ANTHUAN,10.0,19.0
2002-03-07,ANTHUAN,11.0,21.0
2002-03-08,ANTHUAN,10.1,19.6
2002-03-09,ANTHUAN,9.5,17.0
